stn;time;prestah0;tre200h0;rre150h0;su2000h0
BAS;2021110100;967.3;13.1;0;0
BAS;2021110101;967.2;12.5;0.8;0
BAS;2021110102;968;11.9;3.9;0
BAS;2021110103;968.9;10.9;2.4;0
BAS;2021110104;969.5;10.3;0.6;0
BAS;2021110105;969.9;9.7;1.5;0
BAS;2021110106;970.2;9.3;2.3;0
BAS;2021110107;970.3;9.4;1.3;0
BAS;2021110108;970.1;9.7;0;0
BAS;2021110109;970;10.1;0;0
BAS;2021110110;969.9;10.4;0;0
BAS;2021110111;969.6;10.6;0;0
BAS;2021110112;968.9;11.3;0;0
BAS;2021110113;968.1;12.8;0;0.2
BAS;2021110114;967.6;13;0;0.2
BAS;2021110115;967.4;12.5;0;0
BAS;2021110116;967.8;11.1;2.7;0
BAS;2021110117;968.2;8.9;0.1;0
BAS;2021110118;968.4;7.8;0;0
BAS;2021110119;968.6;6.9;0;0
BAS;2021110120;968.6;6.1;0;0
BAS;2021110121;968.4;6;0;0
BAS;2021110122;968.2;6.5;0;0
BAS;2021110123;968;7.7;0;0
BAS;2021110200;967.8;7.7;0;0
BAS;2021110201;967.4;7;0.1;0
BAS;2021110202;967.2;7.4;0;0
BAS;2021110203;966.8;6.1;0;0
BAS;2021110204;966.4;5.5;0;0
BAS;2021110205;966.2;5.6;0;0
BAS;2021110206;966.4;5.6;0.5;0
BAS;2021110207;966.6;5.9;0.5;0
BAS;2021110208;967.1;6.2;0;0
BAS;2021110209;967.4;6.8;0.1;0
BAS;2021110210;967.5;8.8;0;0.1
BAS;2021110211;967.4;10.3;0;0.1
BAS;2021110212;967.3;10.9;0;0.4
BAS;2021110213;967.2;11.4;0;0.3
BAS;2021110214;967.3;11.6;0;0.6
BAS;2021110215;967.5;11.3;0;0.4
BAS;2021110216;967.3;10.8;0;0.6
BAS;2021110217;967.1;8.5;0;0
BAS;2021110218;967.3;6.4;0;0
BAS;2021110219;967.2;6.3;0;0
BAS;2021110220;967;5.8;0;0
BAS;2021110221;966.8;5.5;0;0
BAS;2021110222;966.2;5.9;0;0
BAS;2021110223;965.5;6.1;0;0
BAS;2021110300;965;6.4;0.1;0
BAS;2021110301;964.7;6.5;0.4;0
BAS;2021110302;964.5;6.4;0.3;0
BAS;2021110303;963.8;6.6;0.3;0
BAS;2021110304;963;6.6;0;0
BAS;2021110305;962.4;6.7;0;0
BAS;2021110306;962.3;7.3;0;0
BAS;2021110307;962.2;8.1;0;0
BAS;2021110308;963.1;7.4;0;0
BAS;2021110309;963.7;7.4;0.6;0
BAS;2021110310;964.2;7;1.6;0
BAS;2021110311;964.4;7;1.3;0
BAS;2021110312;964.2;7.3;0.3;0
BAS;2021110313;963.8;7.8;0;0
BAS;2021110314;963.7;8;0;0
BAS;2021110315;963.6;8.2;0;0
BAS;2021110316;963.8;8.4;0;0
BAS;2021110317;964.3;7.4;0.3;0
BAS;2021110318;964.8;7.2;0;0
BAS;2021110319;965.3;6.7;0;0
BAS;2021110320;965.4;6.8;0;0
BAS;2021110321;965.8;7.2;0;0
BAS;2021110322;966.5;6.6;0;0
BAS;2021110323;966.6;6.2;0;0
BAS;2021110400;966.4;6;0;0
BAS;2021110401;966.4;5.9;0;0
BAS;2021110402;966.3;6.1;0;0
BAS;2021110403;966.6;6;0;0
BAS;2021110404;967.1;6.2;0;0
BAS;2021110405;967.9;6.2;0;0
BAS;2021110406;968.3;6.3;0;0
BAS;2021110407;969.1;6.3;0;0
BAS;2021110408;970.3;6.3;0;0
BAS;2021110409;971.2;6.6;0;0
BAS;2021110410;971.9;7.1;0;0
BAS;2021110411;972.8;7.3;0;0
BAS;2021110412;973.2;8;0;0
BAS;2021110413;973.6;7.5;0.1;0.1
BAS;2021110414;974.1;8.2;0;0.2
BAS;2021110415;974.6;8.5;0;0.2
BAS;2021110416;975.1;7.7;0;0
BAS;2021110417;975.9;6.3;0;0
BAS;2021110418;976.7;6.2;0.2;0
BAS;2021110419;977.3;5.6;0;0
BAS;2021110420;977.6;5.8;0;0
BAS;2021110421;978.2;5.8;0;0
BAS;2021110422;978.8;5.9;0;0
BAS;2021110423;979;6.1;0;0
BAS;2021110500;979.4;5.8;0.1;0
BAS;2021110501;979.8;5.9;0;0
BAS;2021110502;980;6.2;0;0
BAS;2021110503;980.3;6.3;0;0
BAS;2021110504;980.8;6.2;0;0
BAS;2021110505;981.5;6.2;0;0
BAS;2021110506;982;6.3;0;0
BAS;2021110507;982.7;6.2;0.2;0
BAS;2021110508;983.7;6.5;0.2;0
BAS;2021110509;984.6;7;0;0
BAS;2021110510;985.3;7.6;0;0
BAS;2021110511;985.8;8.1;0;0
BAS;2021110512;986;8.3;0;0
BAS;2021110513;986.1;9;0;0.5
BAS;2021110514;986.3;9.6;0;0.5
BAS;2021110515;986.7;9.5;0;0.3
BAS;2021110516;987.3;8.5;2.4;0
BAS;2021110517;988.1;6.8;0;0
BAS;2021110518;988.8;7;0;0
BAS;2021110519;989.1;6.5;0;0
BAS;2021110520;989.6;6.1;0;0
BAS;2021110521;990.3;6.1;0;0
BAS;2021110522;990.7;5.4;0;0
BAS;2021110523;991;5.4;0;0
BAS;2021110600;991.2;5.7;0;0
BAS;2021110601;991.4;5.9;0;0
BAS;2021110602;991.4;5.6;0;0
BAS;2021110603;991.2;5.1;0;0
BAS;2021110604;991.3;4.5;0;0
BAS;2021110605;991.5;4.5;0;0
BAS;2021110606;991.7;4.1;0;0
BAS;2021110607;992;3.7;0;0
BAS;2021110608;992.5;3.8;0;0
BAS;2021110609;992.9;4.1;0;0
BAS;2021110610;993;4.7;0;0
BAS;2021110611;992.8;5.5;0;0.1
BAS;2021110612;992.1;6.9;0;0.8
BAS;2021110613;991.6;8.2;0;1
BAS;2021110614;991.2;8.1;0;1
BAS;2021110615;990.9;7.9;0;0.4
BAS;2021110616;990.5;7.4;0;0.4
BAS;2021110617;990.2;5.4;0;0
BAS;2021110618;990.3;4.4;0;0
BAS;2021110619;990.3;3.3;0;0
BAS;2021110620;990;2.2;0;0
BAS;2021110621;989.5;2.1;0;0
BAS;2021110622;989.4;1.8;0;0
BAS;2021110623;989.6;1.6;0;0
BAS;2021110700;989.6;2.2;0;0
BAS;2021110701;988.7;2.7;0;0
BAS;2021110702;989;2.1;0;0
BAS;2021110703;988.3;2.2;0;0
BAS;2021110704;987.8;2.4;0;0
BAS;2021110705;987.7;1.9;0;0
BAS;2021110706;987.8;1.2;0;0
BAS;2021110707;987.9;1.2;0;0
BAS;2021110708;987.4;2.2;0;0.5
BAS;2021110709;986.9;2.9;0;0.8
BAS;2021110710;986.5;4.4;0;0.6
BAS;2021110711;985.8;6.8;0;1
BAS;2021110712;984.7;9;0;1
BAS;2021110713;984.4;10.5;0;0.4
BAS;2021110714;984.1;10.1;0;0
BAS;2021110715;983.9;9.8;0;0
BAS;2021110716;983.8;9.6;0;0
BAS;2021110717;983.7;9.4;0;0
BAS;2021110718;984;9.2;0;0
BAS;2021110719;984.1;8.9;0;0
BAS;2021110720;984.2;8.8;0;0
BAS;2021110721;984.2;8.6;0;0
BAS;2021110722;984.2;8.3;0;0
BAS;2021110723;983.9;8;0;0
BAS;2021110800;984.2;7.8;0;0
