name,latitude,longitude,country,population,id
Zugdidi,42.5088,41.87088,GE,41494,610824
Zest’aponi,42.10916,43.03602,GE,25891,610864
Ts’khinvali,42.22764,43.96861,GE,32180,611403
Tqvarch'eli,42.84035,41.68007,GE,17847,611583
Telavi,41.91978,45.47315,GE,19599,611694
Tbilisi,41.69411,44.83368,GE,1049498,611717
Sokhumi,43.00697,40.9893,GE,65439,611847
Senak’i,42.27042,42.0675,GE,27752,612053
Samtredia,42.1537,42.33517,GE,28748,612126
Rustavi,41.56271,44.9787,GE,130100,612287
P’ot’i,42.14272,41.67384,GE,41498,612366
Och’amch’ire,42.71232,41.46863,GE,15517,612652
Marneuli,41.48713,44.80195,GE,18755,613074
Kutaisi,42.26791,42.69459,GE,135201,613607
Kobuleti,41.82143,41.77921,GE,18600,613762
Khashuri,41.99414,43.59994,GE,27811,613988
Gori,41.98422,44.11578,GE,45557,614455
Batumi,41.64228,41.63392,GE,172100,615532
Akhaltsikhe,41.63901,42.98262,GE,16943,615860
Stantsiya Novyy Afon,43.08056,40.83833,GE,26636,615912
Ts’q’alt’ubo,42.32858,42.59808,GE,16736,824288
