name,latitude,longitude,country,population,id
Törökszentmiklós,47.18333,20.41667,HU,22770,714581
Tiszaújváros,47.93333,21.08333,HU,17295,714697
Szolnok,47.18333,20.2,HU,71285,715126
Szeged,46.253,20.14824,HU,160766,715429
Szarvas,46.86667,20.55,HU,18170,715466
Sátoraljaújhely,48.39492,21.65871,HU,18052,715839
Püspökladány,47.31667,21.11667,HU,15990,716301
Ózd,48.21667,20.3,HU,38476,716671
Orosháza,46.56667,20.66667,HU,31373,716736
Nyíregyháza,47.95539,21.71671,HU,117689,716935
Miskolc,48.10306,20.77806,HU,154521,717582
Mezőtúr,47.0,20.63333,HU,19168,717635
Mezőkövesd,47.81667,20.58333,HU,17701,717652
Mátészalka,47.95528,22.32348,HU,18718,717771
Makó,46.21667,20.48333,HU,25135,717902
Kisvárda,48.21667,22.08333,HU,18190,718739
Kazincbarcika,48.25,20.63333,HU,32396,719311
Karcag,47.31667,20.93333,HU,22370,719404
Hódmezővásárhely,46.41667,20.33333,HU,44009,719965
Hajdúszoboszló,47.45,21.4,HU,23781,720276
Hajdúnánás,47.85,21.43333,HU,18032,720284
Hajdúböszörmény,47.66667,21.51667,HU,31957,720292
Gyula,46.65,21.28333,HU,32269,720334
Gyomaendrőd,46.93333,20.83333,HU,15194,720364
Eger,47.90265,20.37329,HU,53876,721239
Debrecen,47.53167,21.62444,HU,202402,721472
Csongrád,46.71332,20.14241,HU,18580,721592
Békéscsaba,46.68333,21.1,HU,59732,722437
Békés,46.76667,21.13333,HU,21198,722439
Balmazújváros,47.61667,21.35,HU,18012,722636
Abony,47.1899,20.00476,HU,16342,723030
Zugló,47.51758,19.10549,HU,130000,3042430
Zalaegerszeg,46.84,16.84389,HU,61898,3042638
Veszprém,47.09327,17.91149,HU,56927,3042929
Veresegyház,47.6459,19.29536,HU,18122,3042968
Vecsés,47.40705,19.28648,HU,19327,3043019
Várpalota,47.19936,18.13954,HU,21299,3043095
Vác,47.77591,19.13612,HU,35108,3043293
Tatabánya,47.58494,18.39325,HU,65849,3044082
Tata,47.65289,18.31838,HU,23217,3044083
Tapolca,46.88152,17.44117,HU,17598,3044141
Szombathely,47.23088,16.62155,HU,78025,3044310
Szigetszentmiklós,47.34382,19.04335,HU,24874,3044475
Szentendre,47.66943,19.07561,HU,23606,3044681
Szekszárd,46.35014,18.70905,HU,34174,3044760
