name,latitude,longitude,country,population,id
Wexford,52.33417,-6.4575,IE,19913,2960964
Waterford,52.25833,-7.11194,IE,53504,2960992
Tralee,52.27042,-9.70264,IE,22941,2961123
Tallaght,53.2859,-6.37344,IE,80339,2961284
Swords,53.45972,-6.21806,IE,42738,2961297
Sligo,54.26969,-8.46943,IE,19199,2961423
Rathfarnham,53.30056,-6.28278,IE,17333,2961911
Droichead Nua,53.18194,-6.79667,IE,22742,2962290
Navan,53.65278,-6.68139,IE,24545,2962308
Naas,53.21583,-6.66694,IE,20713,2962334
An Muileann gCearr,53.52466,-7.3385,IE,17262,2962361
Malahide,53.45083,-6.15444,IE,16550,2962725
Lucan,53.35736,-6.44859,IE,15269,2962785
Limerick,52.66472,-8.62306,IE,94192,2962943
Letterkenny,54.95,-7.73333,IE,19274,2962961
Leixlip,53.36583,-6.49556,IE,15504,2962974
Kilkenny,52.65417,-7.25222,IE,21589,2963398
Greystones,53.14083,-6.06306,IE,18140,2963848
Galway,53.27245,-9.05095,IE,83456,2964180
Finglas,53.38917,-6.29694,IE,19768,2964303
Ennis,52.84361,-8.98639,IE,25276,2964405
Dún Laoghaire,53.29395,-6.13586,IE,26525,2964506
Dundalk,54.0,-6.41667,IE,39004,2964540
Dublin,53.33306,-6.24889,IE,1024027,2964574
Drogheda,53.71889,-6.34778,IE,40956,2964661
Douglas,51.87444,-8.435,IE,26883,2964690
Cork,51.89797,-8.47061,IE,190384,2965140
Cluain Meala,52.355,-7.70389,IE,17140,2965353
Celbridge,53.34165,-6.54419,IE,20288,2965529
Carrigaline,51.81167,-8.39861,IE,15770,2965715
Carlow,52.84083,-6.92611,IE,24272,2965768
Bray,53.20278,-6.09833,IE,32600,2966022
Blanchardstown,53.38806,-6.37556,IE,16511,2966110
Ballincollig,51.88333,-8.58333,IE,18621,2966749
Balbriggan,53.60846,-6.1831,IE,21722,2966794
Athlone,53.42278,-7.93722,IE,21351,3313472
Sandyford,53.2747,-6.2253,IE,22288,3315278
Donaghmede,53.39845,-6.16179,IE,15299,6691033
South Dublin,53.29026,-6.34151,IE,278749,6697759
