name,latitude,longitude,country,population,id
Zhanaozen,43.34116,52.86192,KZ,103598,607610
Shalqar,47.83172,59.62111,KZ,27399,608359
Shalkar,48.03333,48.9,KZ,27072,608362
Oral,51.23333,51.36667,KZ,330000,608668
Kandyagash,49.46912,57.41914,KZ,28196,608679
Qulsary,46.95307,54.01978,KZ,51216,609123
Khromtau,50.25161,58.43574,KZ,23715,609404
Karagandy,49.80187,73.10211,KZ,497777,609655
Embi,48.82981,58.15042,KZ,18760,609924
Balykshi,47.06667,51.86667,KZ,19260,610445
Atyrau,47.11667,51.88333,KZ,290700,610529
Aktobe,50.27969,57.20718,KZ,500757,610611
Shevchenko,43.64806,51.17222,KZ,147443,610612
Aqsay,51.1681,52.99782,KZ,34799,610613
Altay,49.73626,84.25416,KZ,44929,1516438
Zhosaly,45.48778,64.07806,KZ,20065,1516519
Zhezqazghan,47.78746,67.71118,KZ,104357,1516589
Zhitikara,52.19019,61.19894,KZ,43104,1516601
Zhangatas,43.56222,69.73428,KZ,33492,1516788
Novokazalinsk,45.84806,62.15254,KZ,35883,1516789
Taraz,42.9,71.36667,KZ,358153,1516905
Zaysan,47.46657,84.87144,KZ,17600,1517060
Yanykurgan,43.90652,67.24637,KZ,21339,1517323
Turar Ryskulov,42.5334,70.3496,KZ,18421,1517501
Ushtobe,45.25258,77.98284,KZ,20492,1517637
Turkestan,43.29733,68.25175,KZ,227098,1517945
Temirtau,50.05494,72.96464,KZ,170600,1518262
Tekeli,44.8678,78.72807,KZ,26678,1518296
Tasbuget,44.77018,65.55461,KZ,16455,1518431
Talghar,43.30235,77.23811,KZ,42194,1518518
Taldykorgan,45.01556,78.37389,KZ,116558,1518542
Shymkent,42.3,69.6,KZ,1200000,1518980
Chu,43.60334,73.75919,KZ,39785,1519030
Shemonaikha,50.62899,81.91092,KZ,20087,1519226
Shchuchinsk,52.93592,70.18895,KZ,47290,1519244
Shakhtinsk,49.70885,72.59212,KZ,41602,1519327
Semey,50.42675,80.26669,KZ,292780,1519422
Saryaghash,41.46042,69.16791,KZ,25139,1519673
Sarkand,45.41322,79.91713,KZ,76919,1519691
Soran,49.7908,72.83744,KZ,42552,1519725
Rudnyy,52.97244,63.11055,KZ,124000,1519843
Kyzylorda,44.85278,65.50917,KZ,354800,1519922
Kostanay,53.21435,63.62463,KZ,210000,1519928
Karatau,43.17869,70.46768,KZ,37881,1519938
Konayev,43.86681,77.06304,KZ,42167,1519948
Petropavl,54.86667,69.15,KZ,200920,1520172
Pavlodar,52.28333,76.96667,KZ,329002,1520240
Zharkent,44.1666,80.00655,KZ,34422,1520253
Ust-Kamenogorsk,49.97143,82.60586,KZ,319067,1520316
Sarykemer,43.0,71.5,KZ,15132,1520947
Merke,42.86976,73.18463,KZ,15934,1520969
Makinsk,52.6329,70.41911,KZ,17711,1521230
Lisakovsk,52.54488,62.49893,KZ,40000,1521315
Baikonur,45.61667,63.31667,KZ,70000,1521368
Ridder,50.34524,83.51562,KZ,52664,1521370
Lenger,42.18152,69.88582,KZ,21238,1521379
Kokshetau,53.28333,69.4,KZ,150649,1522203
Kentau,43.51672,68.50463,KZ,57408,1522751
Esik,43.3552,77.45245,KZ,32995,1523741
Kalbatau,49.33009,81.57275,KZ,22047,1524245
Aksu,52.04023,76.92748,KZ,44808,1524298
Otegen Batyra,43.41949,77.0202,KZ,18864,1524308
Ekibastuz,51.72371,75.32287,KZ,121470,1524325
Chiili,44.17057,66.73376,KZ,29832,1524801
Shardara,41.25832,67.96991,KZ,25356,1524889
Burunday,43.35567,76.85477,KZ,20996,1524958
Aksu,42.42193,69.82709,KZ,26115,1525462
Balqash,46.84806,74.995,KZ,81364,1525798
Ayagoz,47.96447,80.43437,KZ,33479,1525988
Atbasar,51.80854,68.35823,KZ,34797,1526038
Arys,42.43015,68.8087,KZ,36285,1526168
Arkalyk,50.25031,66.90384,KZ,42000,1526193
Aral,46.80174,61.66312,KZ,33017,1526265
Astana,51.1801,71.44598,KZ,345604,1526273
Almaty,43.25,76.91667,KZ,1977011,1526384
Akkol’,53.29617,69.59997,KZ,16773,1526797
Abay,49.63575,72.86164,KZ,35454,1526970
Stepnogorsk,52.35062,71.88161,KZ,46736,1537939
