name,latitude,longitude,country,population,id
Zimnicea,43.65638,25.36454,RO,15228,662187
Zărnești,45.56093,25.31787,RO,24926,662284
Zalău,47.2,23.05,RO,63232,662334
Vulcan,45.38333,23.26667,RO,28869,662432
Voluntari,44.49002,26.17338,RO,30323,662476
Vişeu de Sus,47.71667,24.43333,RO,16938,662699
Vatra Dornei,47.35,25.36667,RO,16054,663100
Vaslui,46.63333,27.73333,RO,69225,663118
Urziceni,44.71667,26.63333,RO,16770,664074
Turnu Măgurele,43.7469,24.86846,RO,28783,664437
Turda,46.56667,23.78333,RO,54586,664460
Tulcea,45.1787,28.80501,RO,92475,664518
Târnăveni,46.33191,24.29662,RO,28634,664963
Târgu Secuiesc,46.0,26.13333,RO,20067,665000
Târgu Neamţ,47.2,26.36667,RO,20473,665003
Târgu-Mureş,46.54245,24.55747,RO,146863,665004
Târgu Jiu,45.05,23.28333,RO,97179,665010
Târgovişte,44.92543,25.4567,RO,88435,665024
Timişoara,45.75372,21.22571,RO,315053,665087
Tecuci,45.84973,27.43441,RO,41154,665355
Suceava,47.63333,26.25,RO,105796,665850
Slatina,44.43333,24.36667,RO,78988,666767
Şimleu Silvaniei,47.23333,22.8,RO,15721,667101
Sighetu Marmaţiei,47.93195,23.88603,RO,40653,667227
Sibiu,45.8,24.15,RO,151894,667268
Sfântu Gheorghe,45.86667,25.78333,RO,60677,667303
Sebeş,45.95646,23.571,RO,27246,667526
Satu Mare,47.79926,22.86255,RO,112490,667873
Salonta,46.8,21.65,RO,17561,668129
Săcele,45.61674,25.71101,RO,29918,668314
Roșiorii de Vede,44.11667,24.98333,RO,27416,668605
Roman,46.92119,26.92646,RO,67819,668732
Râşnov,45.58333,25.45,RO,15253,668828
Râmnicu Vâlcea,45.1,24.36667,RO,107558,668872
Râmnicu Sărat,45.38333,27.05,RO,38526,668873
Reşiţa,45.30083,21.88917,RO,81228,668954
Reghin-Sat,46.78333,24.71667,RO,35490,668995
Rădăuți,47.85,25.91667,RO,23822,669289
Popeşti-Leordeni,44.38333,26.16667,RO,15279,669870
Ploieşti,44.95,26.01667,RO,228851,670474
Piteşti,44.85,24.86667,RO,167669,670609
Piatra Neamţ,46.91667,26.33333,RO,102688,670889
Petroşani,45.41667,23.36667,RO,44187,670938
Petrila,45.45,23.41667,RO,25234,670969
Pantelimon,44.45,26.2,RO,16206,671382
Orăştie,45.83333,23.2,RO,20763,671757
Oradea,47.0458,21.91833,RO,206614,671768
Olteniţa,44.08333,26.63333,RO,26356,671832
Odorheiu Secuiesc,46.3,25.3,RO,36532,671964
Ocna Mureş,46.38333,23.85,RO,15316,672024
Năvodari,44.31667,28.6,RO,33106,672486
Motru,44.80333,22.97194,RO,22319,672757
Moreni,44.98301,25.64415,RO,20596,672862
Moineşti,46.47523,26.48907,RO,23981,672926
Mizil,45.01667,26.45,RO,15532,673033
Miercurea-Ciuc,46.35,25.8,RO,41282,673441
Mediaş,46.16667,24.35,RO,53040,673634
Medgidia,44.25,28.28333,RO,43315,673636
Mangalia,43.81623,28.57656,RO,39619,673921
Lupeni,45.36029,23.23832,RO,30488,674295
Lugoj,45.68861,21.90306,RO,43243,674531
Luduş,46.48333,24.1,RO,17165,674541
Iaşi,47.16667,27.6,RO,378954,675810
Huşi,46.67361,28.05944,RO,29129,675892
Hunedoara,45.75,22.9,RO,69136,675918
Gura Humorului,47.55,25.9,RO,15728,676527
Giurgiu,43.88664,25.9627,RO,69067,677106
Gherla,47.03333,23.91667,RO,23741,677429
Gheorgheni,46.72292,25.60055,RO,19777,677458
Galaţi,45.43687,28.05028,RO,294087,677697
Găeşti,44.71667,25.31667,RO,15037,677742
Focșani,45.7,27.18333,RO,77313,678015
