name,latitude,longitude,country,population,id
Zrenjanin,45.38361,20.38194,RS,79773,783814
Zemun,44.8458,20.40116,RS,155591,783920
Zaječar,43.90358,22.26405,RS,49800,784024
Vršac,45.11667,21.30361,RS,36300,784136
Vranje,42.55139,21.90028,RS,56199,784227
Trstenik,43.61694,21.0025,RS,49043,784873
Stara Pazova,44.985,20.16083,RS,16217,785559
Sremčica,44.67653,20.39232,RS,23000,785615
Smederevska Palanka,44.36548,20.95885,RS,27000,785753
Smederevo,44.66436,20.92763,RS,62000,785756
Senta,45.9275,20.07722,RS,20302,785965
Prokuplje,43.23417,21.58806,RS,27673,786690
Požarevac,44.62133,21.18782,RS,41736,786827
Pirot,43.15306,22.58611,RS,40678,787050
Pančevo,44.87177,20.64167,RS,76654,787237
Obrenovac,44.65486,20.20017,RS,16821,787516
Novi Pazar,43.13667,20.51222,RS,85996,787595
Nova Pazova,44.94366,20.21931,RS,15488,787615
Niš,43.32472,21.90333,RS,250000,787657
Negotin,44.22639,22.53083,RS,17612,787718
Leskovac,42.99806,21.94611,RS,94758,788709
Lazarevac,44.38534,20.2557,RS,23551,788771
Kruševac,43.58,21.33389,RS,75256,788975
Kraljevo,43.72583,20.68944,RS,82846,789107
Kragujevac,44.01667,20.91667,RS,147473,789128
Kikinda,45.82972,20.46528,RS,41935,789518
Jagodina,43.97713,21.26121,RS,35589,789923
Inđija,45.04816,20.08165,RS,26247,790015
Gornji Milanovac,44.02603,20.46152,RS,23982,790367
Ćuprija,43.9275,21.37,RS,20585,791678
Čačak,43.89139,20.34972,RS,117072,792078
Bor,44.07488,22.09591,RS,39387,792456
Belgrade,44.80401,20.46513,RS,1273651,792680
Bečej,45.61632,20.03331,RS,25774,792814
Aranđelovac,44.30694,20.56,RS,24309,793111
Vrbas,45.57139,19.64083,RS,25907,3187297
Valjevo,44.27513,19.89821,RS,61035,3188402
Užice,43.85861,19.84878,RS,63577,3188434
Subotica,46.1,19.66667,RS,100000,3189595
Sremska Mitrovica,44.97639,19.61222,RS,39084,3190103
Sombor,45.77417,19.11222,RS,48454,3190342
Šabac,44.74667,19.69,RS,55114,3191376
Ruma,45.00806,19.82222,RS,32229,3191429
Novi Sad,45.25167,19.83694,RS,215400,3194360
Bačka Topola,45.81516,19.6318,RS,16154,3204672
Bačka Palanka,45.24966,19.39664,RS,29449,3204674
Apatin,45.6726,18.978,RS,18320,3204793
Knjazevac,43.56634,22.25701,RS,25000,6619277
