name,latitude,longitude,country,population,id
Udomlya,57.87944,34.9925,RU,32373,452949
Sosnovka,60.01667,30.35,RU,66227,461698
Sasovo,54.35369,41.91986,RU,29858,461699
Zyuzino,55.65608,37.56846,RU,121000,461740
Zyablikovo,55.61667,37.76667,RU,129000,461835
Zverevo,48.02108,40.12282,RU,24978,461910
Zvenigorod,55.73401,36.85918,RU,16395,461920
Zlatoust,55.17111,59.65083,RU,191366,462444
Zimovniki,47.1474,42.4721,RU,17678,462522
Zhulebino,55.7,37.85,RU,150000,462745
Zhukovskiy,55.59528,38.12028,RU,97200,462755
Zhukovka,53.53381,33.73075,RU,19690,462822
Zhirnovsk,50.98448,44.77347,RU,17887,462984
Zhigulevsk,53.39972,49.49528,RU,57094,463082
Zherdevka,51.84861,41.46056,RU,16019,463217
Zheleznovodsk,44.13944,43.01972,RU,24632,463340
Zheleznogorsk,52.331,35.3711,RU,97900,463343
Zheleznodorozhnyy,55.744,38.01684,RU,141648,463355
Zernograd,46.84518,40.30834,RU,29268,463637
Zelenokumsk,44.40694,43.88056,RU,41306,463824
Zelenogradsk,54.95893,20.47668,RU,15644,463828
Zelenograd,55.9825,37.18139,RU,215727,463829
Zelenodolsk,55.84376,48.51784,RU,99600,463835
Zelenchukskaya,43.85804,41.5894,RU,21117,463885
Zavolzh’ye,56.64051,43.39446,RU,42900,464101
Zavety Il’icha,56.04284,37.85153,RU,20000,464176
Zarechnyy,53.20356,45.19227,RU,63579,464625
Zaraysk,54.7605,38.87841,RU,24637,464687
Zapolyarnyy,69.41541,30.81355,RU,17789,464790
Zamoskvorech’ye,55.73333,37.63333,RU,55000,465057
Zainsk,55.3195,52.06942,RU,42044,465543
Yur’yev-Pol’skiy,56.50339,39.67911,RU,19906,466215
Yoshkar-Ola,56.63877,47.89078,RU,268272,466806
Yeysk,46.7055,38.2739,RU,87814,466885
Yessentukskaya,44.0328,42.8813,RU,19956,466989
Yessentuki,44.04444,42.86056,RU,81015,466990
Yershov,51.3513,48.2766,RU,23681,467120
Yemva,62.58999,50.85939,RU,16404,467525
Yelizavetinskaya,45.04616,38.79491,RU,19306,467854
Yelets,52.62366,38.50169,RU,115688,467978
Yelan’,50.949,43.73781,RU,15181,468063
Yelabuga,55.76127,52.06493,RU,72643,468082
Yegor’yevsk,55.38283,39.03233,RU,85200,468250
Yegorlykskaya,46.56564,40.65621,RU,17978,468307
Yefremov,53.14806,38.09924,RU,45497,468390
Yasnyy,51.0333,59.8742,RU,17359,468657
Yasnogorsk,54.48082,37.69854,RU,18022,468671
Yasenevo,55.60686,37.51991,RU,180000,468809
Yartsevo,55.06491,32.69693,RU,52706,468866
Yaroslavl,57.62987,39.87368,RU,608722,468902
Yaransk,57.30331,47.88611,RU,19557,469005
Yanaul,56.2751,54.9338,RU,27963,469178
Yagry,64.59417,39.81028,RU,40000,469707
Yablonovskiy,44.98901,38.94324,RU,33431,469844
Vyshniy Volochëk,57.59125,34.56453,RU,53800,470252
Vyselki,45.58128,39.66409,RU,18746,470338
Vyksa,55.3175,42.17444,RU,61664,470444
Vykhino-Zhulebino,55.70196,37.81178,RU,216000,470451
Vyborg,60.70763,28.75283,RU,78633,470546
Vyazniki,56.24057,42.15563,RU,39243,470666
Vyaz’ma,55.20997,34.29695,RU,55500,470676
Vyatskiye Polyany,56.22602,51.06557,RU,39534,470734
Vsevolozhsk,60.01512,30.67314,RU,48224,471101
Votkinsk,57.04865,53.98717,RU,98633,471430
Vostryakovo,55.66667,37.45,RU,30000,471456
Vostryakovo,55.39934,37.80829,RU,16509,471457
Voskresensk,55.31733,38.65264,RU,77086,471656
Voronezh,51.67204,39.1843,RU,1047549,472045
Altuf’yevskiy,55.88333,37.58333,RU,54000,472072
Vorob’yovo,55.71667,37.53333,RU,30000,472079
Volzhsky,48.78583,44.77973,RU,323293,472231
Volzhsk,55.86638,48.3594,RU,58000,472234
Vol’sk,52.04541,47.37993,RU,70500,472278
Volokolamsk,56.03361,35.96944,RU,25000,472433
Vologda,59.2239,39.88398,RU,312420,472459
Volkhov,59.9258,32.33819,RU,45673,472722
Nagornyy,55.65,37.61667,RU,76000,472732
Volgorechensk,57.43931,41.15553,RU,17700,472750
Volgograd,48.71939,44.50183,RU,1013533,472757
Volgodonsk,47.51361,42.15139,RU,167731,472761
Novovladykino,55.85,37.58333,RU,50000,473127
Vladimir,56.13655,40.39658,RU,357024,473247
Vladikavkaz,43.03667,44.66778,RU,306258,473249
Vidnoye,55.55239,37.70967,RU,51721,473778
Vichuga,57.21276,41.93012,RU,39071,473788
Veshnyaki,55.72393,37.81952,RU,122000,473972
Vereshchagino,58.07894,54.6557,RU,22451,475777
Venëv,54.35533,38.26843,RU,15700,475881
Vel’sk,61.07006,42.0983,RU,23126,475938
Velikiy Ustyug,60.76186,46.31352,RU,32642,476062
Velikiye Luki,56.34,30.54517,RU,103149,476077
Vatutino,55.88441,37.69055,RU,50000,476368
Valuyki,50.2035,38.1067,RU,35887,477192
Valday,57.97826,33.24737,RU,18549,477301
Vagonoremont,55.9,37.55,RU,50000,477377
Uzlovaya,53.98179,38.17118,RU,58458,477494
Uvarovo,51.98486,42.26147,RU,28771,477626
Uva,56.99081,52.18517,RU,19143,477656
Ust’-Labinsk,45.21077,39.68914,RU,44088,478044
Ust’-Katav,54.9366,58.1757,RU,25046,478071
Ust’-Dzheguta,44.0834,41.9763,RU,34001,478130
Usman’,52.04662,39.7288,RU,19910,478317
Uryupinsk,50.8047,42.0138,RU,41644,478544
Urus-Martan,43.13053,45.53791,RU,41480,478581
Uritsk,59.83889,30.17528,RU,55037,478724
Unecha,52.84294,32.68761,RU,29028,479028
Ulyanovsk,54.32824,48.38657,RU,626540,479123
Ukhta,63.56705,53.68348,RU,102187,479411
Uglich,57.5275,38.33167,RU,37732,479532
Ufa,54.74306,55.96779,RU,1120547,479561
Uchkeken,43.93778,42.51167,RU,15118,479687
Uchaly,54.35806,59.43611,RU,37788,479703
Tyrnyauz,43.38278,42.91833,RU,20104,479933
Tver,56.85836,35.90057,RU,420065,480060
Tuymazy,54.60666,53.7097,RU,68829,480089
Tutayev,57.88529,39.5406,RU,43828,480122
Tula,54.19609,37.61822,RU,482873,480562
Tuchkovo,55.60111,36.46806,RU,16826,480685
Tuapse,44.1053,39.0802,RU,64234,480716
Tsimlyansk,47.64611,42.10194,RU,15341,480876
Trubchevsk,52.58031,33.76574,RU,16100,481350
Troparëvo,55.65625,37.48496,RU,118000,481453
Troitskaya,43.30664,44.98395,RU,23745,481605
Troitsk,55.48498,37.30736,RU,37591,481608
Tosno,59.54,30.8775,RU,40198,481964
Torzhok,57.0436,34.96221,RU,48546,481985
Tomilino,55.65619,37.94713,RU,28310,482260
Tolyatti,53.5303,49.3461,RU,702879,482283
Timashyovsk,45.61694,38.94528,RU,53940,482965
Tikhvin,59.64511,33.52937,RU,62075,483019
Tikhoretsk,45.85472,40.12528,RU,64387,483029
Teykovo,56.85796,40.53692,RU,36015,483137
Terek,43.48333,44.13611,RU,21180,483495
Tyoply Stan,55.62047,37.49338,RU,125000,483551
Temryuk,45.27055,37.38716,RU,36546,483661
Tekstil’shchiki,55.70033,37.74271,RU,100000,483826
Tbilisskaya,45.36333,40.19,RU,24446,483883
Tambov,52.73169,41.44326,RU,293661,484646
Agidel’,55.9077,53.9355,RU,19217,484856
Taganrog,47.23627,38.9053,RU,279056,484907
Taganskiy,55.73333,37.66667,RU,116000,484912
Syzran’,53.1585,48.4681,RU,189338,484972
Syktyvkar,61.664,50.815,RU,245083,485239
Svobody,44.02556,43.05028,RU,17661,485432
Sviblovo,55.85,37.63333,RU,60000,485630
Svetogorsk,61.11213,28.86321,RU,15733,485639
Svetlyy,54.67501,20.13473,RU,22119,485660
Svetlograd,45.33528,42.85472,RU,39727,485698
Suvorovskaya,44.1901,42.6595,RU,17261,485871
Suvorov,54.1223,36.49657,RU,21059,485888
Surovikino,48.60734,42.84621,RU,20677,486071
Surkhakhi,43.1875,44.90194,RU,16215,486110
Sukhinichi,54.09989,35.34254,RU,16100,486665
Stupino,54.90083,38.07083,RU,60999,486968
Strunino,56.37328,38.58321,RU,15483,487095
Stroitel’,50.78816,36.47751,RU,18636,487147
Strogino,55.81838,37.41224,RU,152000,487150
Sterlitamak,53.62462,55.95015,RU,267231,487495
Stavropol’,45.0428,41.9734,RU,433931,487846
Staryy Oskol,51.29667,37.84167,RU,226977,487928
Staroshcherbinovskaya,46.6268,38.6739,RU,18785,488635
Starominskaya,46.53,39.04972,RU,30461,488742
Starodub,52.58501,32.76314,RU,18539,488852
Staraya Russa,57.99439,31.36081,RU,34303,489088
Staraya Kupavna,55.80799,38.1805,RU,22099,489162
Staraya Derevnya,59.98834,30.24296,RU,35000,489226
Sovetsk,57.58475,48.95844,RU,17869,490067
Sovetsk,55.08392,21.87851,RU,43309,490068
Sosnovyy Bor,59.8996,29.08574,RU,68563,490172
Sosnovaya Polyana,59.83528,30.14667,RU,48271,490377
Sosnogorsk,63.60229,53.88175,RU,29343,490391
Sortavala,61.71233,30.70953,RU,20760,490466
Sorochinsk,52.4338,53.1583,RU,30731,490554
Solntsevo,55.63711,37.38115,RU,120000,490971
Solnechnogorsk,56.18333,36.98333,RU,58891,490996
Sol’-Iletsk,51.1631,54.99176,RU,27419,491019
Solikamsk,59.6316,56.7685,RU,100812,491023
Sokol’niki,55.80202,37.67159,RU,57000,491250
Sokol,55.8,37.51667,RU,57000,491280
Sokol,59.46167,40.12056,RU,42174,491281
Sofrino,56.15,37.93333,RU,15265,491352
Sochi,43.59917,39.72569,RU,327608,491422
Sobinka,55.98553,40.01111,RU,20458,491480
Smolensk,54.77944,32.04371,RU,330025,491687
Slobodskoy,58.73222,50.17722,RU,32361,491882
Slobodka,55.86667,37.58333,RU,20000,491895
Slavyansk-na-Kubani,45.2558,38.1256,RU,65196,492094
Slantsy,59.11817,28.09137,RU,36209,492162
Skopin,53.82486,39.55053,RU,24357,492376
Skhodnya,55.94806,37.29778,RU,18897,492448
Sim,54.993,57.6982,RU,15632,492944
Sibay,52.71806,58.66583,RU,61590,493160
Shuya,56.84865,41.38833,RU,60705,493231
Shushary,59.80917,30.38167,RU,15503,493316
Shumerlya,55.5005,46.41288,RU,35220,493463
Mikhaylovsk,45.12833,42.02556,RU,59198,493702
Shilovo,54.3204,40.874,RU,16159,494427
Sheksna,59.20998,38.51066,RU,21197,495062
Shebekino,50.40967,36.9136,RU,45194,495112
Shchukino,55.8,37.45,RU,102000,495136
Shchigry,51.87555,36.90432,RU,19198,495206
Shcherbinka,55.49972,37.55972,RU,28065,495260
Shchelkovo,55.92497,37.97218,RU,113000,495344
Shchëkino,54.00513,37.52194,RU,60700,495394
Shatura,55.57253,39.53682,RU,30069,495518
Shar’ya,58.36909,45.51558,RU,29800,495619
Shali,43.14806,45.90194,RU,25000,495957
Shakhun’ya,57.67579,46.61136,RU,22400,496012
Shakhty,47.70911,40.21443,RU,221312,496015
Severskaya,44.85407,38.67686,RU,22849,496267
Severo-Zadonsk,54.03481,38.40172,RU,16569,496269
Severoural’sk,60.15328,59.95205,RU,33500,496275
