name,latitude,longitude,country,population,id
Umeå,63.82842,20.25972,SE,130224,602150
Skellefteå,64.75067,20.95279,SE,35516,602913
Piteå,65.31717,21.47944,SE,23067,603570
Luleå,65.58415,22.15465,SE,43574,604490
Kiruna,67.85572,20.22513,SE,17037,605155
Boden,65.82518,21.68864,SE,16830,606531
Ystad,55.42966,13.82041,SE,18806,2662149
Visby,57.64089,18.29602,SE,23402,2662689
Växjö,56.87767,14.80906,SE,65383,2663536
Västra Frölunda,57.64667,11.92944,SE,15924,2664050
Västervik,57.7584,16.63733,SE,21178,2664203
Västerås,59.61617,16.55276,SE,127799,2664454
Vasastan,59.34571,18.04985,SE,58458,2664740
Värnamo,57.18604,14.04001,SE,19061,2664855
Varberg,57.10557,12.25078,SE,34248,2664996
Vänersborg,58.38075,12.3234,SE,23119,2665171
Vallentuna,59.53436,18.07758,SE,31937,2665452
Uppsala,59.85882,17.63889,SE,177074,2666199
Upplands Väsby,59.51839,17.91128,SE,36534,2666238
Uddevalla,58.34784,11.9424,SE,34781,2666670
Tumba,59.19858,17.83317,SE,40832,2667094
Tullinge,59.2,17.9,SE,16000,2667109
Trollhättan,58.28365,12.28864,SE,48573,2667303
Trelleborg,55.37514,13.15691,SE,29316,2667402
Täby,59.4439,18.06872,SE,58123,2669772
Sundsvall,62.39129,17.3063,SE,57606,2670781
Sundbyberg,59.36128,17.97114,SE,34529,2670879
Stockholm,59.32938,18.06871,SE,1515017,2673730
Staffanstorp,55.64277,13.20638,SE,15373,2674649
Solna,59.36004,18.00086,SE,66909,2675397
Sollentuna,59.42804,17.95093,SE,139606,2675408
Södertälje,59.19554,17.62525,SE,70777,2676176
Södermalm,59.31278,18.07577,SE,127323,2676209
Skövde,58.39118,13.84506,SE,36842,2677234
Sandviken,60.61667,16.76667,SE,24724,2680075
Råsunda,59.36588,17.99569,SE,16877,2683034
Partille,57.7395,12.10642,SE,28648,2684395
Östersund,63.1792,14.63566,SE,49806,2685750
Östermalm,59.33879,18.08487,SE,36418,2685828
Oskarshamn,57.26455,16.44837,SE,18287,2686162
Örnsköldsvik,63.29091,18.71525,SE,32493,2686469
Örebro,59.27412,15.2066,SE,155989,2686657
Nyköping,58.753,17.00788,SE,38780,2687700
Norrtälje,59.75799,18.70496,SE,19365,2688250
Norrköping,58.59419,16.1826,SE,93765,2688368
Nässjö,57.65307,14.69676,SE,17719,2690170
Nacka,59.31053,18.16372,SE,25170,2690580
Motala,58.53706,15.03649,SE,30944,2690960
Mölnlycke,57.65893,12.11792,SE,17579,2691440
Mölndal,57.6554,12.01378,SE,59430,2691459
Märsta,59.62157,17.85476,SE,27034,2692475
Mariestad,58.70971,13.82367,SE,16122,2692613
Malmö,55.60587,13.00073,SE,351749,2692969
Lund,55.70584,13.19321,SE,87244,2693678
Ludvika,60.14959,15.18776,SE,15245,2693759
Ljungby,56.83324,13.94082,SE,15785,2694560
Linköping,58.41086,15.62157,SE,106502,2694762
Lidköping,58.50517,13.15765,SE,22988,2696329
Lidingö,59.36667,18.13333,SE,42466,2696334
Lerum,57.77051,12.26904,SE,26913,2696503
Landskrona,55.8708,12.83016,SE,32229,2697720
Kungsholmen,59.33183,18.04118,SE,69363,2698691
Kungsbacka,57.48719,12.07612,SE,18698,2698729
Kungälv,57.87096,11.98054,SE,24101,2698739
Kumla,59.1277,15.14341,SE,16663,2698767
Kristinehamn,59.30978,14.10808,SE,18557,2699282
Kristianstad,56.03129,14.15242,SE,39762,2699310
Köping,59.51404,15.99255,SE,18355,2699791
Kinna,57.50728,12.69463,SE,15019,2700839
Katrineholm,58.99587,16.20721,SE,23283,2701223
Karlstad,59.3793,13.50357,SE,61492,2701680
Karlskrona,56.16156,15.58661,SE,66675,2701713
Karlskoga,59.32667,14.52386,SE,27490,2701715
Karlshamn,56.1706,14.86188,SE,20112,2701727
Kalmar,56.66157,16.36163,SE,38408,2702261
Jönköping,57.78145,14.15618,SE,93797,2702979
Jakobsberg,59.42268,17.83508,SE,24046,2703396
Huskvarna,57.78596,14.30214,SE,21500,2704136
Hudiksvall,61.72744,17.10558,SE,16081,2704613
Huddinge,59.23705,17.98192,SE,90182,2704620
Helsingborg,56.04673,12.69437,SE,104250,2706767
Hässleholm,56.15905,13.76638,SE,19309,2707399
Härnösand,62.63228,17.93794,SE,18426,2707684
Haninge,59.16775,18.14478,SE,74968,2707953
Halmstad,56.67446,12.85676,SE,70480,2708365
Gustavsberg,59.32684,18.38975,SE,20774,2709628
Göteborg,57.70716,11.96679,SE,587549,2711537
Gävle,60.67452,17.14174,SE,74884,2712414
Gamla Uppsala,59.89817,17.63386,SE,16231,2712993
Falun,60.60357,15.62597,SE,37000,2715459
Falköping,58.17347,13.55068,SE,17170,2715568
Falkenberg,56.90552,12.49118,SE,24099,2715573
Eslöv,55.83928,13.30393,SE,18592,2715946
Eskilstuna,59.36661,16.5077,SE,67359,2715953
Enköping,59.63607,17.07768,SE,22553,2716166
Bromma,59.34,17.94,SE,61000,2719111
Borlänge,60.4858,15.43714,SE,41955,2720383
Borås,57.72101,12.9401,SE,71700,2720501
Boo,59.33333,18.28333,SE,24052,2721259
Björlanda,57.76667,11.83333,SE,23088,2721946
Årsta,59.2978,18.0514,SE,16807,2725201
Ängelholm,56.2428,12.86219,SE,23240,2725901
Alingsås,57.93033,12.53345,SE,26329,2726756
Åkersberga,59.47944,18.29967,SE,32659,2727234
Majorna,57.69195,11.91605,SE,29254,6619708
Tensta,59.3939,17.90111,SE,17083,7304427
