name,latitude,longitude,country,population,id
Sarandë,39.87534,20.00477,AL,15147,363243
Pogradec,40.9025,20.6525,AL,61530,781988
Kukës,42.07694,20.42194,AL,17832,782661
Korçë,40.61861,20.78083,AL,58259,782756
Gjirokastër,40.07583,20.13889,AL,23437,783148
Elbasan,41.1125,20.08222,AL,100903,783263
Burrel,41.61028,20.00889,AL,15405,783493
Vlorë,40.4686,19.48318,AL,89546,3183719
Tirana,41.3275,19.81889,AL,418495,3183875
Shkodër,42.06828,19.51258,AL,88245,3184081
Patos Fshat,40.64278,19.65083,AL,22679,3184517
Patos,40.68333,19.61944,AL,16000,3184518
Lushnjë,40.94194,19.705,AL,41469,3184862
Lezhë,41.78361,19.64361,AL,18695,3184935
Laç,41.63556,19.71306,AL,24825,3185012
Krujë,41.50917,19.79278,AL,21286,3185082
Kavajë,41.18556,19.55694,AL,29354,3185211
Fier-Çifçi,40.71667,19.56667,AL,60995,3185670
Fier,40.72389,19.55611,AL,56297,3185672
Durrës,41.32355,19.45469,AL,122034,3185728
Berat,40.70583,19.95222,AL,46866,3186084
