name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Sarandë,39.87534,20.00477,AL,15147,363243,Sarandë,0.11,0.47,0.32,0.01,0.11,0.15,0.03,0.08,0.0,0.06,0.4,0.12
Pogradec,40.9025,20.6525,AL,61530,781988,Pogradec,0.05,0.11,0.15,0.04,0.12,0.15,0.07,0.06,0.0,0.03,0.08,0.03
Kukës,42.07694,20.42194,AL,17832,782661,Kukës,0.07,0.15,0.19,0.05,0.11,0.17,0.05,0.08,0.01,0.04,0.12,0.06
Korçë,40.61861,20.78083,AL,58259,782756,Korçë,0.07,0.28,0.28,0.06,0.24,0.16,0.07,0.07,0.01,0.05,0.18,0.07
Gjirokastër,40.07583,20.13889,AL,23437,783148,Gjirokastër,0.11,0.47,0.32,0.01,0.11,0.15,0.03,0.08,0.0,0.06,0.4,0.12
Elbasan,41.1125,20.08222,AL,100903,783263,Elbasan,0.09,0.31,0.32,0.03,0.21,0.16,0.07,0.07,0.01,0.03,0.2,0.1
Burrel,41.61028,20.00889,AL,15405,783493,Burrel,0.19,0.3,0.5,0.04,0.3,0.18,0.03,0.1,0.01,0.05,0.24,0.16
Vlorë,40.4686,19.48318,AL,89546,3183719,Vlorë,0.09,0.33,0.27,0.01,0.16,0.12,0.08,0.08,0.01,0.04,0.23,0.1
Tirana,41.3275,19.81889,AL,418495,3183875,Tirana,0.12,0.29,0.35,0.03,0.16,0.11,0.06,0.04,0.01,0.02,0.19,0.1
Shkodër,42.06828,19.51258,AL,88245,3184081,Shkodër,0.27,0.41,0.68,0.05,0.2,0.11,0.01,0.04,0.02,0.13,0.41,0.25
Patos Fshat,40.64278,19.65083,AL,22679,3184517,Patos Fshat,0.09,0.31,0.32,0.03,0.21,0.16,0.07,0.07,0.01,0.03,0.2,0.1
Patos,40.68333,19.61944,AL,16000,3184518,Patos,0.09,0.33,0.27,0.01,0.16,0.12,0.08,0.08,0.01,0.04,0.23,0.1
Lushnjë,40.94194,19.705,AL,41469,3184862,Lushnjë,0.12,0.29,0.35,0.03,0.16,0.11,0.06,0.04,0.01,0.02,0.19,0.1
Lezhë,41.78361,19.64361,AL,18695,3184935,Lezhë,0.25,0.4,0.66,0.06,0.22,0.11,0.03,0.02,0.01,0.06,0.34,0.22
Laç,41.63556,19.71306,AL,24825,3185012,Laç,0.25,0.4,0.66,0.06,0.22,0.11,0.03,0.02,0.01,0.06,0.34,0.22
Krujë,41.50917,19.79278,AL,21286,3185082,Krujë,0.18,0.31,0.46,0.07,0.27,0.2,0.1,0.07,0.01,0.03,0.21,0.12
Kavajë,41.18556,19.55694,AL,29354,3185211,Kavajë,0.12,0.33,0.33,0.02,0.13,0.09,0.07,0.04,0.02,0.02,0.26,0.12
Fier-Çifçi,40.71667,19.56667,AL,60995,3185670,Fier-Çifçi,0.09,0.33,0.27,0.01,0.16,0.12,0.08,0.08,0.01,0.04,0.23,0.1
Fier,40.72389,19.55611,AL,56297,3185672,Fier,0.09,0.33,0.27,0.01,0.16,0.12,0.08,0.08,0.01,0.04,0.23,0.1
Durrës,41.32355,19.45469,AL,122034,3185728,Durrës,0.12,0.33,0.33,0.02,0.13,0.09,0.07,0.04,0.02,0.02,0.26,0.12
Berat,40.70583,19.95222,AL,46866,3186084,Berat,0.12,0.29,0.35,0.03,0.16,0.11,0.06,0.04,0.01,0.02,0.19,0.1
