name,latitude,longitude,country,population,id
Kapan,39.20755,46.40576,AM,33160,174875
Goris,39.51111,46.34168,AM,20379,174895
Hats’avan,39.46405,45.97047,AM,15208,174972
Artashat,39.96144,44.54447,AM,20562,174979
Ararat,39.83069,44.70569,AM,28832,174991
Yerevan,40.18111,44.51361,AM,1093485,616052
Vagharshapat,40.16557,44.29462,AM,46200,616062
Stepanavan,41.00995,44.38531,AM,23782,616194
Spitak,40.83221,44.26731,AM,15059,616199
Sevan,40.5473,44.94171,AM,17083,616250
Masis,40.06572,44.41913,AM,18911,616435
Vanadzor,40.80456,44.4939,AM,101098,616530
Gavar,40.35398,45.12386,AM,21680,616599
Hrazdan,40.49748,44.7662,AM,40795,616629
Armavir,40.15446,44.03815,AM,25963,616631
Gyumri,40.7942,43.84528,AM,148381,616635
Ch’arents’avan,40.40289,44.64447,AM,18500,616785
Ashtarak,40.2991,44.36204,AM,18779,616877
Abovyan,40.27368,44.63348,AM,35673,617026
