name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Wilten,47.25829,11.38808,AT,18142,2761164,Wilten,0.06,0.02,0.03,0.07,0.26,0.3,0.16,0.23,0.14,0.1,0.01,0.11
Wiener Neustadt,47.80485,16.23196,AT,44820,2761353,Wiener Neustadt,0.04,0.02,0.05,0.04,0.13,0.11,0.08,0.1,0.13,0.04,0.05,0.05
Vienna,48.20849,16.37208,AT,1691468,2761369,Vienna,0.05,0.01,0.04,0.03,0.07,0.08,0.06,0.07,0.11,0.03,0.04,0.09
Wetzelsdorf,47.05293,15.39923,AT,15687,2761436,Wetzelsdorf,0.04,0.02,0.07,0.07,0.23,0.14,0.1,0.19,0.11,0.06,0.07,0.01
Wels,48.16667,14.03333,AT,16857,2761524,Wels,0.11,0.02,0.04,0.03,0.06,0.16,0.07,0.09,0.1,0.06,0.04,0.17
Weinzierl bei Krems,48.4,15.6,AT,24092,2761669,Weinzierl bei Krems,0.05,0.02,0.04,0.03,0.07,0.1,0.05,0.06,0.09,0.04,0.04,0.09
Villach,46.61028,13.85583,AT,58882,2762372,Villach,0.11,0.08,0.28,0.17,0.22,0.16,0.13,0.16,0.18,0.38,0.17,0.02
Telfs,47.30707,11.06817,AT,15229,2763810,Telfs,0.06,0.02,0.03,0.07,0.26,0.3,0.16,0.23,0.14,0.1,0.01,0.11
Straßgang,47.03333,15.4,AT,16268,2764178,Straßgang,0.04,0.02,0.06,0.05,0.19,0.14,0.1,0.16,0.1,0.04,0.06,0.01
Stockerau,48.38333,16.21667,AT,16292,2764279,Stockerau,0.05,0.01,0.03,0.03,0.09,0.07,0.06,0.06,0.12,0.03,0.03,0.08
Steyr,48.04274,14.42127,AT,38331,2764359,Steyr,0.1,0.02,0.04,0.03,0.06,0.16,0.07,0.08,0.09,0.07,0.04,0.15
Simmering,48.18333,16.43333,AT,101420,2765028,Simmering,0.05,0.01,0.04,0.03,0.07,0.07,0.06,0.06,0.11,0.03,0.05,0.09
Sankt Pölten,48.2,15.63333,AT,21911,2766429,Sankt Pölten,0.05,0.02,0.04,0.03,0.07,0.1,0.05,0.06,0.09,0.04,0.04,0.09
Sankt Peter,47.05,15.46667,AT,15187,2766446,Sankt Peter,0.04,0.02,0.06,0.05,0.19,0.14,0.1,0.16,0.1,0.04,0.06,0.01
Sankt Peter,46.62978,14.34016,AT,20320,2766447,Sankt Peter,0.04,0.02,0.09,0.12,0.28,0.19,0.18,0.24,0.17,0.19,0.08,0.01
