name,latitude,longitude,country,population,id
Xankandi,39.8177,46.7528,AZ,53100,146970
Əhmədbəyli,39.88074,48.39158,AZ,17242,147059
Şuşa,39.76006,46.74989,AZ,18662,147105
Salyan,39.59621,48.98479,AZ,36555,147271
Saatlı,39.93214,48.36892,AZ,87000,147288
Neftçala,39.3768,49.247,AZ,18661,147425
Nakhchivan,39.20889,45.41222,AZ,64754,147429
Lerik,38.77388,48.41497,AZ,87000,147611
Lankaran,38.75428,48.85062,AZ,240300,147622
Imishli,39.87095,48.05995,AZ,34178,147982
Fizuli,39.60094,47.14529,AZ,26765,148106
Jalilabad,39.20963,48.49186,AZ,36259,148290
Pushkino,39.45833,48.545,AZ,18182,148340
Beylagan,39.77556,47.61861,AZ,15599,148354
Astara,38.45598,48.87498,AZ,15190,148445
Şirvan,39.93778,48.929,AZ,70220,148565
Ağdam,39.99096,46.92736,AZ,39451,148619
Zaqatala,41.6316,46.64479,AZ,32171,584596
Zabrat,40.47746,49.94174,AZ,21396,584614
Yevlakh,40.61832,47.15014,AZ,127400,584649
Göygöl,40.58584,46.3189,AZ,17816,584716
Xaçmaz,41.46426,48.80565,AZ,37175,584717
Ujar,40.51902,47.65423,AZ,15741,584791
Tovuz,40.99249,45.62838,AZ,177200,584821
Terter,40.34201,46.93161,AZ,18185,584871
Sumqayıt,40.58972,49.66861,AZ,358675,584923
Qaraçuxur,40.39667,49.97361,AZ,72989,585103
Shamkhor,40.82975,46.0178,AZ,35421,585152
Shamakhi,40.63141,48.64137,AZ,29403,585156
Sheki,41.19194,47.17056,AZ,68400,585170
Sabunçu,40.4425,49.94806,AZ,20996,585184
Sabirabad,40.00869,48.47701,AZ,30612,585187
Qusar,41.4275,48.4302,AZ,16022,585220
Quba,41.36108,48.51341,AZ,22405,585221
Hacıqabul,40.03874,48.94286,AZ,23102,585225
Qazax,41.09246,45.36561,AZ,18903,585226
Hacı Zeynalabdin,40.62333,49.55861,AZ,19019,585379
Mingelchaur,40.76395,47.05953,AZ,106048,585514
Maştağa,40.52983,50.00616,AZ,40092,585557
Mardakan,40.49182,50.14292,AZ,15267,585568
Lokbatan,40.3256,49.73376,AZ,30694,585630
Kyurdarmir,40.34257,48.15649,AZ,19088,585763
Khirdalan,40.44808,49.75502,AZ,37949,585915
İsmayıllı,40.78485,48.15141,AZ,28776,586318
Yeni Suraxanı,40.43026,50.03598,AZ,16127,586340
Göyçay,40.65055,47.74219,AZ,42500,586427
Hövsan,40.37444,50.08528,AZ,36293,586429
Ganja,40.68278,46.36056,AZ,335600,586523
Divichibazar,41.20117,48.98712,AZ,23248,586763
Buzovna,40.51903,50.11438,AZ,24795,586925
Biny Selo,40.45076,50.08686,AZ,24596,586968
Barda,40.37577,47.12619,AZ,37372,587057
Bilajari,40.4444,49.80566,AZ,42194,587078
Baku,40.37767,49.89201,AZ,1116513,587084
Amirdzhan,40.42639,49.98361,AZ,26798,587261
Aghsu,40.57028,48.40087,AZ,17209,587361
Ağdaş,40.64699,47.4738,AZ,23528,587378
Agdzhabedy,40.05015,47.45937,AZ,43000,587384
Bakıxanov,40.41894,49.96693,AZ,66686,824003
