name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Xankandi,39.8177,46.7528,AZ,53100,146970,Xankandi,0.0,0.01,0.04,0.15,0.19,0.15,0.04,0.02,0.1,0.07,0.1,0.03
Əhmədbəyli,39.88074,48.39158,AZ,17242,147059,Əhmədbəyli,0.01,0.06,0.09,0.08,0.04,0.04,0.01,0.0,0.01,0.02,0.06,0.02
Şuşa,39.76006,46.74989,AZ,18662,147105,Şuşa,0.0,0.0,0.01,0.09,0.22,0.2,0.04,0.02,0.07,0.05,0.06,0.01
Salyan,39.59621,48.98479,AZ,36555,147271,Salyan,0.02,0.08,0.09,0.12,0.05,0.04,0.02,0.0,0.03,0.01,0.07,0.02
Saatlı,39.93214,48.36892,AZ,87000,147288,Saatlı,0.01,0.05,0.09,0.07,0.03,0.06,0.01,0.0,0.01,0.02,0.06,0.02
Neftçala,39.3768,49.247,AZ,18661,147425,Neftçala,0.02,0.09,0.09,0.11,0.03,0.04,0.02,0.0,0.03,0.01,0.07,0.02
Nakhchivan,39.20889,45.41222,AZ,64754,147429,Nakhchivan,0.01,0.03,0.11,0.07,0.06,0.02,0.0,0.01,0.01,0.03,0.07,0.01
Lerik,38.77388,48.41497,AZ,87000,147611,Lerik,0.0,0.01,0.03,0.08,0.16,0.1,0.03,0.02,0.18,0.06,0.1,0.03
Lankaran,38.75428,48.85062,AZ,240300,147622,Lankaran,0.06,0.16,0.17,0.17,0.08,0.05,0.02,0.01,0.12,0.09,0.17,0.08
Imishli,39.87095,48.05995,AZ,34178,147982,Imishli,0.01,0.05,0.08,0.1,0.05,0.06,0.02,0.0,0.02,0.02,0.07,0.02
Fizuli,39.60094,47.14529,AZ,26765,148106,Fizuli,0.01,0.03,0.07,0.11,0.09,0.07,0.03,0.0,0.09,0.03,0.1,0.02
Jalilabad,39.20963,48.49186,AZ,36259,148290,Jalilabad,0.03,0.15,0.13,0.15,0.05,0.03,0.01,0.0,0.04,0.02,0.08,0.04
Pushkino,39.45833,48.545,AZ,18182,148340,Pushkino,0.01,0.07,0.09,0.1,0.04,0.02,0.0,0.0,0.02,0.01,0.06,0.02
Beylagan,39.77556,47.61861,AZ,15599,148354,Beylagan,0.01,0.04,0.09,0.11,0.05,0.07,0.02,0.01,0.02,0.04,0.08,0.02
Astara,38.45598,48.87498,AZ,15190,148445,Astara,0.07,0.22,0.19,0.19,0.11,0.09,0.02,0.03,0.24,0.12,0.25,0.13
Şirvan,39.93778,48.929,AZ,70220,148565,Şirvan,0.01,0.05,0.08,0.07,0.03,0.05,0.02,0.01,0.01,0.02,0.05,0.02
Ağdam,39.99096,46.92736,AZ,39451,148619,Ağdam,0.01,0.02,0.07,0.14,0.08,0.11,0.03,0.01,0.07,0.06,0.1,0.03
Zaqatala,41.6316,46.64479,AZ,32171,584596,Zaqatala,0.04,0.12,0.2,0.24,0.13,0.12,0.37,0.07,0.15,0.21,0.09,0.03
Zabrat,40.47746,49.94174,AZ,21396,584614,Zabrat,0.02,0.03,0.06,0.04,0.03,0.01,0.01,0.0,0.01,0.03,0.06,0.01
Yevlakh,40.61832,47.15014,AZ,127400,584649,Yevlakh,0.02,0.06,0.13,0.11,0.07,0.08,0.01,0.01,0.05,0.06,0.08,0.03
Göygöl,40.58584,46.3189,AZ,17816,584716,Göygöl,0.01,0.02,0.05,0.09,0.12,0.07,0.07,0.04,0.05,0.07,0.04,0.01
