name,latitude,longitude,country,population,id
Zenica,44.20169,17.90397,BA,164423,3186573
Visoko,43.98889,18.17806,BA,17890,3187609
Velika Kladuša,45.18497,15.80579,BA,19330,3188225
Tuzla,44.53842,18.66709,BA,142486,3188582
Trebinje,42.71197,18.34362,BA,33178,3188893
Travnik,44.22637,17.66583,BA,31127,3188924
Sarajevo,43.84864,18.35644,BA,696731,3191281
Prijedor,44.97991,16.71401,BA,36347,3192409
Mostar,43.34333,17.80806,BA,104518,3194828
Lukavac,44.54245,18.52618,BA,44520,3196079
Gradačac,44.87851,18.42764,BA,15659,3199744
Gračanica,44.70307,18.3101,BA,15758,3199779
Goražde,43.66795,18.97564,BA,17650,3200396
Doboj,44.73179,18.08698,BA,27235,3201984
Cazin,44.96694,15.94306,BA,21741,3202822
Bugojno,44.05722,17.45083,BA,41378,3203099
Brčko,44.86995,18.81012,BA,38968,3203521
Bosanska Krupa,44.8825,16.15139,BA,15193,3203653
Bijeljina,44.75874,19.21437,BA,37692,3204186
Bihać,44.81694,15.87083,BA,75641,3204222
Banja Luka,44.77842,17.19386,BA,221106,3204541
Konjic,43.65126,17.96082,BA,15950,3337476
