name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zenica,44.20169,17.90397,BA,164423,3186573,Zenica,0.03,0.01,0.03,0.07,0.11,0.05,0.07,0.03,0.14,0.18,0.05,0.04
Visoko,43.98889,18.17806,BA,17890,3187609,Visoko,0.03,0.01,0.03,0.09,0.12,0.11,0.09,0.06,0.12,0.19,0.06,0.03
Velika Kladuša,45.18497,15.80579,BA,19330,3188225,Velika Kladuša,0.02,0.03,0.02,0.05,0.14,0.05,0.06,0.07,0.1,0.11,0.11,0.04
Tuzla,44.53842,18.66709,BA,142486,3188582,Tuzla,0.04,0.01,0.02,0.06,0.09,0.05,0.09,0.09,0.1,0.19,0.04,0.03
Trebinje,42.71197,18.34362,BA,33178,3188893,Trebinje,0.37,0.12,0.01,0.15,0.03,0.03,0.01,0.02,0.19,0.4,0.52,0.18
Travnik,44.22637,17.66583,BA,31127,3188924,Travnik,0.03,0.01,0.03,0.07,0.11,0.05,0.07,0.03,0.14,0.18,0.05,0.04
Sarajevo,43.84864,18.35644,BA,696731,3191281,Sarajevo,0.04,0.02,0.02,0.06,0.09,0.11,0.06,0.04,0.1,0.23,0.09,0.04
Prijedor,44.97991,16.71401,BA,36347,3192409,Prijedor,0.01,0.02,0.02,0.04,0.08,0.06,0.07,0.05,0.06,0.12,0.06,0.04
Mostar,43.34333,17.80806,BA,104518,3194828,Mostar,0.3,0.1,0.0,0.14,0.04,0.02,0.02,0.02,0.21,0.31,0.41,0.13
Lukavac,44.54245,18.52618,BA,44520,3196079,Lukavac,0.04,0.01,0.02,0.06,0.09,0.05,0.09,0.09,0.1,0.19,0.04,0.03
Gradačac,44.87851,18.42764,BA,15659,3199744,Gradačac,0.03,0.01,0.02,0.04,0.07,0.04,0.08,0.06,0.07,0.16,0.04,0.03
Gračanica,44.70307,18.3101,BA,15758,3199779,Gračanica,0.02,0.01,0.03,0.06,0.09,0.05,0.07,0.05,0.09,0.17,0.04,0.04
Goražde,43.66795,18.97564,BA,17650,3200396,Goražde,0.04,0.02,0.02,0.06,0.1,0.1,0.07,0.04,0.09,0.14,0.05,0.03
Doboj,44.73179,18.08698,BA,27235,3201984,Doboj,0.02,0.01,0.03,0.05,0.09,0.05,0.06,0.05,0.1,0.17,0.04,0.04
Cazin,44.96694,15.94306,BA,21741,3202822,Cazin,0.02,0.03,0.03,0.06,0.14,0.08,0.07,0.08,0.11,0.12,0.11,0.04
Bugojno,44.05722,17.45083,BA,41378,3203099,Bugojno,0.03,0.01,0.03,0.1,0.14,0.15,0.11,0.06,0.14,0.19,0.07,0.04
Brčko,44.86995,18.81012,BA,38968,3203521,Brčko,0.03,0.01,0.01,0.03,0.07,0.03,0.08,0.09,0.08,0.17,0.04,0.03
Bosanska Krupa,44.8825,16.15139,BA,15193,3203653,Bosanska Krupa,0.01,0.02,0.02,0.05,0.1,0.07,0.08,0.06,0.07,0.12,0.08,0.04
Bijeljina,44.75874,19.21437,BA,37692,3204186,Bijeljina,0.04,0.01,0.02,0.05,0.09,0.04,0.08,0.12,0.09,0.18,0.03,0.03
Bihać,44.81694,15.87083,BA,75641,3204222,Bihać,0.02,0.03,0.03,0.06,0.14,0.08,0.07,0.08,0.11,0.12,0.11,0.04
Banja Luka,44.77842,17.19386,BA,221106,3204541,Banja Luka,0.02,0.01,0.02,0.04,0.09,0.06,0.06,0.04,0.06,0.13,0.06,0.04
Konjic,43.65126,17.96082,BA,15950,3337476,Konjic,0.04,0.02,0.02,0.06,0.09,0.11,0.06,0.04,0.1,0.23,0.09,0.04
