name,latitude,longitude,country,population,id
Zwijndrecht,51.21979,4.32664,BE,18249,2783081
Zwevegem,50.81268,3.33848,BE,23358,2783089
Zottegem,50.86955,3.81052,BE,24434,2783175
Zonhoven,50.99064,5.36819,BE,19922,2783188
Zolder,51.02455,5.30983,BE,17289,2783197
Zemst,50.98318,4.46079,BE,21096,2783274
Zele,51.06566,4.0403,BE,20236,2783293
Zedelgem,51.14236,3.1368,BE,21968,2783308
Zaventem,50.88365,4.47298,BE,28188,2783310
Wondelgem,51.08705,3.70909,BE,23546,2783456
Woluwe-Saint-Lambert,50.84389,4.42912,BE,56584,2783476
Wilrijk,51.16734,4.39513,BE,41403,2783615
Willebroek,51.06041,4.36019,BE,22808,2783632
Wevelgem,50.8,3.16667,BE,30954,2783759
Wetteren,51.00526,3.88341,BE,22930,2783763
Westerlo,51.09049,4.91544,BE,22579,2783801
Wervik,50.78069,3.03854,BE,17340,2783820
Wavre,50.71717,4.60138,BE,34305,2783941
Watermael-Boitsfort,50.80154,4.41436,BE,25157,2783979
Waterloo,50.71469,4.3991,BE,29778,2783985
Waregem,50.88898,3.42756,BE,35896,2784068
Walcourt,50.25401,4.43796,BE,17501,2784189
Visé,50.7376,5.69907,BE,17054,2784548
Vilvoorde,50.92814,4.42938,BE,36955,2784604
Verviers,50.58907,5.86241,BE,52824,2784821
Uccle,50.80225,4.33943,BE,82929,2785123
Turnhout,51.32254,4.94471,BE,44000,2785141
Tubize,50.69059,4.2009,BE,18000,2785169
Tournai,50.60715,3.38932,BE,69554,2785341
Torhout,51.0656,3.10085,BE,18933,2785364
Tongeren,50.78054,5.46484,BE,29816,2785389
Tienen,50.80745,4.9378,BE,31743,2785470
Tielt,50.99931,3.32707,BE,19299,2785476
Tessenderlo,51.06513,5.08856,BE,16574,2785612
Tervuren,50.82372,4.51418,BE,20623,2785622
Temse,51.12794,4.21372,BE,26054,2785778
Stekene,51.2099,4.03651,BE,16989,2786087
Stabroek,51.33189,4.37127,BE,17294,2786229
Soumagne,50.61385,5.74679,BE,15237,2786344
Soignies,50.57904,4.07129,BE,24869,2786420
Sint-Truiden,50.81679,5.18647,BE,37859,2786545
Sint-Pieters-Leeuw,50.77926,4.24355,BE,30446,2786559
Sint-Niklaas,51.16509,4.1437,BE,69010,2786578
Sint-Kruis,51.21399,3.24949,BE,16000,2786634
Sint-Katelijne-Waver,51.06691,4.53469,BE,19487,2786641
Sint-Gillis-Waas,51.21914,4.12374,BE,17658,2786694
Sint-Genesius-Rode,50.74645,4.35754,BE,17990,2786700
Sint-Andries,51.19696,3.17891,BE,19336,2786739
Sint-Amandsberg,51.05947,3.74943,BE,32115,2786743
Seraing,50.58362,5.50115,BE,60737,2786824
Schoten,51.25251,4.50268,BE,33622,2786963
Schilde,51.24107,4.58336,BE,20373,2787048
Schaerbeek,50.86935,4.37737,BE,132761,2787149
Saint-Nicolas,50.62837,5.53243,BE,22586,2787356
Saint-Josse-ten-Noode,50.8538,4.37282,BE,27366,2787387
Saint-Gilles,50.82763,4.34389,BE,50221,2787413
Saint-Ghislain,50.44816,3.81886,BE,22500,2787416
Rotselaar,50.95302,4.71665,BE,15007,2787662
Ronse,50.74574,3.6005,BE,24204,2787769
Roeselare,50.94653,3.12269,BE,56016,2787889
Rixensart,50.71229,4.52529,BE,21616,2787989
Riemst,50.80995,5.60131,BE,15809,2788088
Ranst,51.18983,4.56533,BE,17405,2788348
Quaregnon,50.44067,3.8653,BE,18491,2788499
Puurs,51.07409,4.28844,BE,15944,2788506
Putte,51.05337,4.63263,BE,15276,2788521
Poperinge,50.85386,2.72659,BE,19537,2788726
Pont-à-Celles,50.50518,4.36887,BE,15909,2788765
Péruwelz,50.50819,3.59373,BE,16647,2789162
Peer,51.1303,5.45952,BE,15551,2789232
Overijse,50.77436,4.53461,BE,23486,2789413
Oupeye,50.71184,5.6468,BE,23594,2789471
Oudenaarde,50.85168,3.60891,BE,31866,2789529
Oostkamp,51.15432,3.23128,BE,21489,2789751
Ostend,51.21551,2.927,BE,69011,2789786
Nivelles,50.59833,4.32848,BE,24149,2790101
Ninove,50.82776,4.02657,BE,34795,2790114
Nijlen,51.16096,4.67008,BE,20792,2790135
Neerpelt,51.22807,5.4427,BE,16122,2790357
Namur,50.4669,4.86746,BE,110939,2790471
Mouscron,50.74497,3.20639,BE,52069,2790595
Mortsel,51.16697,4.45127,BE,24525,2790676
Morlanwelz-Mariemont,50.45502,4.24519,BE,18233,2790697
Montignies-sur-Sambre,50.41081,4.49109,BE,18765,2790796
Mons,50.45413,3.95229,BE,95299,2790869
Molenbeek-Saint-Jean,50.8499,4.31248,BE,97037,2791018
Mol,51.19188,5.11662,BE,32659,2791067
Middelkerke,51.18532,2.82077,BE,17789,2791194
Merksem,51.24623,4.44903,BE,44435,2791301
Merelbeke,50.99447,3.74621,BE,16684,2791315
Menen,50.79722,3.12245,BE,31916,2791343
Meise,50.93934,4.32655,BE,18497,2791424
Mechelen-aan-de-Maas,50.96589,5.69144,BE,15374,2791534
Mechelen,51.02574,4.47762,BE,77530,2791537
Mariakerke,51.07476,3.68289,BE,17062,2791700
Marcinelle,50.39216,4.44388,BE,23696,2791726
Marchienne-au-Pont,50.40573,4.3953,BE,15154,2791735
Marche-en-Famenne,50.22678,5.34416,BE,16856,2791744
Manage,50.50312,4.23589,BE,22196,2791814
Maldegem,51.20737,3.44511,BE,22092,2791857
Maasmechelen,50.96545,5.69452,BE,36251,2791961
Maaseik,51.09802,5.78379,BE,25201,2791964
Louvain-la-Neuve,50.66829,4.61443,BE,29521,2792073
Lommel,51.23074,5.31349,BE,31993,2792179
Lokeren,51.10364,3.99339,BE,41438,2792196
Lochristi,51.09644,3.83194,BE,19696,2792235
Lille,51.24197,4.82313,BE,15466,2792360
Lier,51.13128,4.57041,BE,33272,2792397
Liège,50.63373,5.56749,BE,195278,2792413
Leuven,50.87959,4.70093,BE,101032,2792482
Lessines,50.71104,3.83579,BE,17687,2792567
Lede,50.96626,3.98594,BE,16813,2793077
Lebbeke,51.00464,4.13457,BE,17372,2793144
Lanaken,50.89318,5.6468,BE,24771,2793446
