name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Yambol,42.48333,26.5,BG,63656,725578,Yambol,0.04,0.11,0.12,0.01,0.06,0.1,0.07,0.01,0.04,0.02,0.11,0.03
Vratsa,43.21,23.5625,BG,64941,725712,Vratsa,0.02,0.04,0.1,0.03,0.1,0.2,0.24,0.02,0.01,0.01,0.04,0.02
Vidin,43.99159,22.88236,BG,40422,725905,Vidin,0.02,0.04,0.05,0.02,0.1,0.17,0.15,0.03,0.0,0.01,0.05,0.01
Velingrad,42.02754,23.99155,BG,24036,725988,Velingrad,0.03,0.1,0.08,0.04,0.08,0.15,0.09,0.02,0.02,0.01,0.05,0.02
Veliko Tŭrnovo,43.08124,25.62904,BG,66217,725993,Veliko Tŭrnovo,0.02,0.07,0.08,0.02,0.06,0.15,0.15,0.02,0.01,0.03,0.07,0.03
Varna,43.21667,27.91667,BG,312770,726050,Varna,0.06,0.06,0.09,0.01,0.08,0.08,0.17,0.01,0.04,0.02,0.1,0.04
Targovishte,43.2512,26.57215,BG,34793,726174,Targovishte,0.02,0.06,0.07,0.02,0.06,0.15,0.2,0.02,0.04,0.02,0.06,0.03
Troyan,42.89427,24.71589,BG,21162,726320,Troyan,0.02,0.06,0.08,0.02,0.06,0.18,0.24,0.01,0.01,0.02,0.05,0.03
Dobrich,43.56667,27.83333,BG,79269,726418,Dobrich,0.04,0.06,0.1,0.02,0.1,0.1,0.23,0.03,0.04,0.04,0.08,0.03
Svishtov,43.61875,25.35033,BG,30157,726534,Svishtov,0.02,0.06,0.08,0.02,0.05,0.16,0.2,0.03,0.01,0.02,0.05,0.03
Svilengrad,41.76667,26.2,BG,19279,726546,Svilengrad,0.05,0.13,0.11,0.0,0.07,0.12,0.1,0.0,0.07,0.04,0.13,0.04
Stara Zagora,42.43278,25.64194,BG,143431,726848,Stara Zagora,0.02,0.1,0.09,0.01,0.06,0.14,0.12,0.01,0.05,0.04,0.13,0.05
Dupnitsa,42.26667,23.11667,BG,34764,726872,Dupnitsa,0.03,0.06,0.1,0.03,0.04,0.11,0.07,0.01,0.02,0.0,0.05,0.03
Sofia,42.69751,23.32415,BG,1152556,727011,Sofia,0.01,0.03,0.1,0.02,0.09,0.2,0.23,0.01,0.02,0.01,0.04,0.02
Smolyan,41.57439,24.71204,BG,26167,727030,Smolyan,0.01,0.07,0.11,0.04,0.16,0.32,0.34,0.01,0.09,0.05,0.09,0.04
Sliven,42.68583,26.32917,BG,83740,727079,Sliven,0.02,0.1,0.11,0.01,0.06,0.1,0.07,0.01,0.03,0.03,0.11,0.03
Silistra,44.1171,27.26056,BG,29498,727221,Silistra,0.03,0.06,0.07,0.01,0.04,0.08,0.12,0.02,0.02,0.02,0.05,0.04
Shumen,43.27064,26.92286,BG,72342,727233,Shumen,0.04,0.07,0.09,0.01,0.08,0.1,0.13,0.02,0.03,0.03,0.09,0.03
Sevlievo,43.02583,25.11361,BG,24582,727337,Sevlievo,0.02,0.07,0.08,0.02,0.08,0.17,0.23,0.02,0.01,0.03,0.06,0.03
Sandanski,41.56667,23.28333,BG,28510,727447,Sandanski,0.03,0.13,0.14,0.03,0.1,0.15,0.06,0.05,0.01,0.0,0.1,0.04
Samokov,42.337,23.5528,BG,26765,727462,Samokov,0.01,0.05,0.1,0.04,0.1,0.15,0.18,0.05,0.02,0.01,0.03,0.02
Ruse,43.84872,25.9534,BG,143417,727523,Ruse,0.02,0.07,0.07,0.02,0.03,0.11,0.15,0.01,0.02,0.02,0.06,0.03
Razgrad,43.53333,26.51667,BG,38285,727696,Razgrad,0.02,0.06,0.07,0.02,0.07,0.14,0.2,0.02,0.03,0.02,0.07,0.03
Rakovski,42.27408,24.94083,BG,15782,727791,Rakovski,0.01,0.08,0.07,0.01,0.11,0.15,0.09,0.02,0.02,0.03,0.1,0.04
Parvomay,42.1,25.21667,BG,17000,727886,Parvomay,0.03,0.1,0.1,0.01,0.07,0.17,0.08,0.0,0.05,0.04,0.13,0.05
Popovo,43.35,26.23333,BG,16571,728075,Popovo,0.02,0.06,0.07,0.02,0.07,0.15,0.19,0.02,0.03,0.02,0.06,0.03
Plovdiv,42.15,24.75,BG,346893,728193,Plovdiv,0.02,0.08,0.06,0.02,0.1,0.15,0.07,0.01,0.02,0.02,0.09,0.03
Pleven,43.41667,24.61667,BG,100952,728203,Pleven,0.02,0.05,0.08,0.02,0.06,0.2,0.22,0.02,0.01,0.02,0.04,0.02
Petrich,41.39846,23.20702,BG,30722,728288,Petrich,0.03,0.13,0.14,0.03,0.1,0.15,0.06,0.05,0.01,0.0,0.1,0.04
Peshtera,42.03372,24.29995,BG,18676,728317,Peshtera,0.03,0.1,0.07,0.04,0.08,0.15,0.07,0.02,0.02,0.01,0.06,0.02
Pernik,42.6,23.03333,BG,82467,728330,Pernik,0.02,0.06,0.11,0.03,0.04,0.11,0.09,0.02,0.01,0.01,0.04,0.03
Pazardzhik,42.2,24.33333,BG,65671,728378,Pazardzhik,0.02,0.09,0.06,0.03,0.09,0.16,0.06,0.02,0.01,0.01,0.08,0.03
Panagyurishte,42.49518,24.19021,BG,19389,728448,Panagyurishte,0.03,0.1,0.07,0.04,0.08,0.15,0.07,0.02,0.02,0.01,0.06,0.02
Nova Zagora,42.48333,26.01667,BG,23625,728742,Nova Zagora,0.03,0.1,0.12,0.01,0.06,0.12,0.08,0.01,0.04,0.03,0.11,0.04
Montana,43.4125,23.225,BG,47445,729114,Montana,0.03,0.04,0.07,0.03,0.08,0.14,0.15,0.02,0.0,0.01,0.05,0.02
Lovech,43.13333,24.71667,BG,29659,729559,Lovech,0.02,0.06,0.08,0.02,0.06,0.18,0.24,0.01,0.01,0.02,0.05,0.03
Lom,43.82106,23.23677,BG,26594,729581,Lom,0.02,0.06,0.07,0.01,0.05,0.11,0.09,0.01,0.0,0.01,0.05,0.02
Kyustendil,42.28389,22.69111,BG,37799,729730,Kyustendil,0.03,0.06,0.1,0.03,0.04,0.11,0.07,0.01,0.02,0.0,0.05,0.03
Kardzhali,41.65,25.36667,BG,51000,729794,Kardzhali,0.02,0.11,0.11,0.01,0.13,0.21,0.1,0.01,0.05,0.05,0.13,0.05
Haskovo,41.93415,25.55557,BG,67086,730435,Haskovo,0.03,0.1,0.1,0.01,0.07,0.17,0.08,0.0,0.05,0.04,0.13,0.05
Harmanli,41.93333,25.9,BG,18931,730442,Harmanli,0.05,0.13,0.11,0.0,0.07,0.12,0.1,0.0,0.07,0.04,0.13,0.04
Kazanlak,42.61667,25.4,BG,47918,730496,Kazanlak,0.02,0.08,0.11,0.01,0.1,0.15,0.21,0.03,0.03,0.05,0.09,0.04
Karnobat,42.65,26.98333,BG,19709,730559,Karnobat,0.04,0.09,0.11,0.01,0.09,0.14,0.18,0.01,0.05,0.03,0.1,0.03
Karlovo,42.63333,24.8,BG,30340,730565,Karlovo,0.01,0.06,0.09,0.02,0.11,0.14,0.27,0.02,0.03,0.03,0.07,0.03
Gotse Delchev,41.56667,23.73333,BG,20522,731108,Gotse Delchev,0.03,0.11,0.18,0.04,0.14,0.15,0.15,0.06,0.02,0.01,0.1,0.04
Gorna Oryahovitsa,43.12778,25.70167,BG,32792,731233,Gorna Oryahovitsa,0.02,0.07,0.08,0.02,0.06,0.15,0.15,0.02,0.01,0.03,0.07,0.03
Gabrovo,42.87472,25.33417,BG,66175,731549,Gabrovo,0.01,0.05,0.1,0.02,0.14,0.2,0.27,0.02,0.03,0.05,0.07,0.03
Dimitrovgrad,42.05,25.6,BG,38015,732263,Dimitrovgrad,0.03,0.1,0.1,0.01,0.07,0.17,0.08,0.0,0.05,0.04,0.13,0.05
Chirpan,42.2,25.33333,BG,15109,732452,Chirpan,0.01,0.08,0.08,0.01,0.1,0.15,0.11,0.02,0.03,0.04,0.11,0.04
Burgas,42.50606,27.46781,BG,195966,732770,Burgas,0.08,0.11,0.09,0.01,0.09,0.08,0.13,0.01,0.07,0.05,0.1,0.04
Botevgrad,42.9,23.78333,BG,20909,733014,Botevgrad,0.02,0.04,0.1,0.03,0.1,0.2,0.24,0.02,0.01,0.01,0.04,0.02
Blagoevgrad,42.01667,23.1,BG,67810,733191,Blagoevgrad,0.03,0.06,0.1,0.03,0.04,0.11,0.07,0.01,0.02,0.0,0.05,0.03
Berkovitsa,43.23581,23.12738,BG,15027,733264,Berkovitsa,0.02,0.03,0.09,0.05,0.11,0.19,0.23,0.03,0.01,0.02,0.04,0.02
Aytos,42.7,27.25,BG,20986,733579,Aytos,0.08,0.11,0.09,0.01,0.09,0.08,0.13,0.01,0.07,0.05,0.1,0.04
Asparuhovo,43.18067,27.88823,BG,27000,733606,Asparuhovo,0.06,0.06,0.09,0.01,0.08,0.08,0.17,0.01,0.04,0.02,0.1,0.04
Asenovgrad,42.01667,24.86667,BG,54778,733618,Asenovgrad,0.01,0.08,0.07,0.01,0.11,0.15,0.09,0.02,0.02,0.03,0.1,0.04
