name,latitude,longitude,country,population,id
Horad Zhodzina,54.0985,28.3331,BY,65451,618800
Zhlobin,52.8926,30.024,BY,76078,618806
Vitebsk,55.1904,30.2049,BY,342700,620127
Vilyeyka,54.4914,26.9111,BY,30000,620181
Volkovysk,53.1561,24.4513,BY,47300,620391
Svyetlahorsk,52.6329,29.7389,BY,67054,621074
Stowbtsy,53.4785,26.7434,BY,15400,621266
Smarhoń,54.4798,26.3957,BY,35908,621713
Smaliavičy,54.0249,28.0894,BY,16594,621729
Slutsk,53.0274,27.5597,BY,61802,621741
Slonim,53.0869,25.3163,BY,51434,621754
Shchuchyn,53.6014,24.7465,BY,15475,622113
Salihorsk,52.7876,27.5415,BY,106627,622428
Rahachow,53.0934,30.0495,BY,34700,622739
Rechytsa,52.3617,30.3916,BY,65400,622794
Pruzhany,52.556,24.4573,BY,19135,622997
Polatsk,55.4879,28.7856,BY,82258,623317
Pinsk,52.1229,26.0951,BY,130777,623549
Pastavy,55.11676,26.83263,BY,19800,623760
Asipovichy,53.3011,28.6386,BY,34591,624034
Orsha,54.5081,30.4172,BY,125347,624079
Navapolatsk,55.5318,28.5987,BY,108000,624784
Novogrudok,53.5942,25.8191,BY,29441,624785
Minsk,53.9,27.56667,BY,1742124,625144
Mazyr,52.0495,29.2456,BY,112348,625324
Mosty,53.4122,24.5387,BY,15770,625367
Mar’’ina Horka,53.509,28.147,BY,20100,625409
Maladziečna,54.3167,26.854,BY,101300,625625
Mahilyow,53.9168,30.3449,BY,369200,625665
Lyepyel’,54.8814,28.699,BY,17400,625743
Luninyets,52.2472,26.8047,BY,25000,625818
Lida,53.88333,25.29972,BY,102700,626081
Krychaw,53.69571,31.71233,BY,27681,626450
Kalodzishchy,53.944,27.7823,BY,17000,627083
Kobryn,52.2138,24.3564,BY,50691,627145
Kalinkavichy,52.1323,29.3257,BY,37190,627751
Ivatsevichy,52.709,25.3401,BY,24200,627800
Hrodna,53.6884,23.8258,BY,373547,627904
Horki,54.2862,30.9863,BY,33897,627905
Homyel',52.4345,30.9754,BY,526872,627907
Hlybokaye,55.1384,27.6905,BY,22000,627908
Dzyarzhynsk,53.6832,27.138,BY,25164,628634
Dobrush,52.42671,31.31219,BY,18300,629018
Bykhaw,53.521,30.2454,BY,17500,629447
Byaroza,52.5314,24.9786,BY,29645,629454
Brest,52.09755,23.68775,BY,362641,629634
Barysaw,54.2279,28.505,BY,144945,630376
Baranovichi,53.1327,26.0139,BY,179000,630429
Babruysk,53.1384,29.2214,BY,209675,630468
