name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Horad Zhodzina,54.0985,28.3331,BY,65451,618800,Horad Zhodzina,0.0,0.0,0.01,0.03,0.09,0.06,0.16,0.1,0.02,0.07,0.02,0.01
Zhlobin,52.8926,30.024,BY,76078,618806,Zhlobin,0.01,0.0,0.01,0.05,0.08,0.04,0.09,0.13,0.07,0.15,0.03,0.01
Vitebsk,55.1904,30.2049,BY,342700,620127,Vitebsk,0.0,0.0,0.01,0.03,0.15,0.1,0.08,0.19,0.03,0.11,0.03,0.01
Vilyeyka,54.4914,26.9111,BY,30000,620181,Vilyeyka,0.01,0.0,0.01,0.03,0.14,0.06,0.16,0.11,0.04,0.07,0.02,0.01
Volkovysk,53.1561,24.4513,BY,47300,620391,Volkovysk,0.02,0.0,0.02,0.04,0.1,0.07,0.09,0.09,0.03,0.08,0.05,0.03
Svyetlahorsk,52.6329,29.7389,BY,67054,621074,Svyetlahorsk,0.01,0.0,0.02,0.04,0.08,0.03,0.09,0.12,0.05,0.15,0.03,0.01
Stowbtsy,53.4785,26.7434,BY,15400,621266,Stowbtsy,0.01,0.0,0.01,0.03,0.12,0.05,0.2,0.06,0.03,0.06,0.03,0.02
Smarhoń,54.4798,26.3957,BY,35908,621713,Smarhoń,0.01,0.0,0.01,0.03,0.14,0.06,0.18,0.12,0.04,0.07,0.02,0.02
Smaliavičy,54.0249,28.0894,BY,16594,621729,Smaliavičy,0.0,0.0,0.01,0.04,0.1,0.05,0.16,0.09,0.02,0.07,0.01,0.01
Slutsk,53.0274,27.5597,BY,61802,621741,Slutsk,0.01,0.0,0.01,0.03,0.08,0.05,0.17,0.05,0.02,0.07,0.03,0.02
Slonim,53.0869,25.3163,BY,51434,621754,Slonim,0.02,0.0,0.02,0.04,0.12,0.07,0.14,0.07,0.03,0.08,0.05,0.03
Shchuchyn,53.6014,24.7465,BY,15475,622113,Shchuchyn,0.02,0.0,0.02,0.04,0.11,0.06,0.11,0.12,0.04,0.08,0.04,0.03
Salihorsk,52.7876,27.5415,BY,106627,622428,Salihorsk,0.01,0.0,0.01,0.03,0.09,0.05,0.19,0.06,0.02,0.08,0.03,0.02
Rahachow,53.0934,30.0495,BY,34700,622739,Rahachow,0.01,0.0,0.01,0.05,0.08,0.04,0.09,0.13,0.07,0.15,0.03,0.01
Rechytsa,52.3617,30.3916,BY,65400,622794,Rechytsa,0.01,0.0,0.02,0.04,0.05,0.04,0.09,0.14,0.07,0.17,0.03,0.01
Pruzhany,52.556,24.4573,BY,19135,622997,Pruzhany,0.02,0.0,0.02,0.04,0.11,0.06,0.11,0.05,0.03,0.08,0.04,0.04
Polatsk,55.4879,28.7856,BY,82258,623317,Polatsk,0.0,0.0,0.01,0.04,0.15,0.09,0.13,0.15,0.03,0.07,0.04,0.01
Pinsk,52.1229,26.0951,BY,130777,623549,Pinsk,0.02,0.0,0.02,0.04,0.09,0.06,0.19,0.07,0.02,0.08,0.04,0.03
Pastavy,55.11676,26.83263,BY,19800,623760,Pastavy,0.01,0.0,0.01,0.04,0.16,0.07,0.15,0.13,0.06,0.08,0.03,0.02
Asipovichy,53.3011,28.6386,BY,34591,624034,Asipovichy,0.01,0.0,0.01,0.03,0.09,0.04,0.13,0.09,0.02,0.11,0.03,0.01
Orsha,54.5081,30.4172,BY,125347,624079,Orsha,0.0,0.0,0.01,0.03,0.12,0.05,0.08,0.15,0.05,0.11,0.03,0.01
Navapolatsk,55.5318,28.5987,BY,108000,624784,Navapolatsk,0.0,0.0,0.01,0.04,0.15,0.08,0.13,0.14,0.03,0.07,0.04,0.01
