name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zürich,47.36667,8.55,CH,341730,2657896,Zürich,0.07,0.01,0.04,0.08,0.1,0.07,0.11,0.05,0.04,0.15,0.09,0.04
Zug,47.17242,8.51745,CH,23435,2657908,Zug,0.07,0.01,0.04,0.08,0.1,0.07,0.11,0.05,0.04,0.15,0.09,0.04
Yverdon-les-Bains,46.77852,6.64115,CH,23702,2657941,Yverdon-les-Bains,0.09,0.01,0.04,0.1,0.09,0.04,0.1,0.08,0.08,0.23,0.09,0.05
Winterthur,47.50564,8.72413,CH,91908,2657970,Winterthur,0.07,0.01,0.04,0.08,0.1,0.07,0.11,0.05,0.04,0.15,0.09,0.04
Wil,47.46152,9.04552,CH,23955,2657996,Wil,0.06,0.01,0.04,0.07,0.12,0.07,0.11,0.06,0.07,0.17,0.09,0.05
Wetzikon,47.3264,8.79779,CH,24764,2658010,Wetzikon,0.06,0.01,0.04,0.07,0.12,0.07,0.11,0.06,0.07,0.17,0.09,0.05
Wettingen,47.46606,8.32663,CH,18191,2658011,Wettingen,0.07,0.01,0.04,0.08,0.1,0.07,0.11,0.05,0.04,0.15,0.09,0.04
Vevey,46.46299,6.84345,CH,15812,2658145,Vevey,0.09,0.01,0.04,0.1,0.09,0.04,0.1,0.08,0.08,0.23,0.09,0.05
Vernier,46.21702,6.08497,CH,30086,2658154,Vernier,0.13,0.03,0.07,0.13,0.13,0.08,0.15,0.16,0.13,0.34,0.11,0.09
Uster,47.34713,8.72091,CH,23279,2658216,Uster,0.07,0.01,0.04,0.08,0.1,0.07,0.11,0.05,0.04,0.15,0.09,0.04
Thun,46.75118,7.62166,CH,42136,2658377,Thun,0.06,0.02,0.04,0.09,0.09,0.06,0.1,0.06,0.07,0.19,0.08,0.04
Steffisburg,46.77807,7.63249,CH,15709,2658494,Steffisburg,0.06,0.02,0.04,0.09,0.09,0.06,0.1,0.06,0.07,0.19,0.08,0.04
Sitten,46.22739,7.35559,CH,28045,2658576,Sitten,0.06,0.0,0.05,0.09,0.16,0.12,0.17,0.12,0.14,0.2,0.06,0.05
Sierre,46.29192,7.53559,CH,15752,2658606,Sierre,0.04,0.0,0.04,0.08,0.2,0.18,0.2,0.13,0.13,0.16,0.03,0.03
Zürich (Kreis 11) / Seebach,47.42181,8.54779,CH,17851,2658656,Zürich (Kreis 11) / Seebach,0.07,0.01,0.04,0.08,0.1,0.07,0.11,0.05,0.04,0.15,0.09,0.04
