name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zwickau,50.72724,12.48839,DE,98796,2803560,Zwickau,0.09,0.0,0.04,0.06,0.09,0.05,0.1,0.02,0.1,0.1,0.04,0.06
Zweibrücken,49.24686,7.36977,DE,35221,2803620,Zweibrücken,0.11,0.02,0.03,0.07,0.11,0.05,0.08,0.04,0.05,0.11,0.06,0.06
Zülpich,50.69447,6.65414,DE,20208,2803723,Zülpich,0.08,0.01,0.06,0.08,0.09,0.06,0.08,0.07,0.08,0.08,0.06,0.07
Zossen,52.216,13.44909,DE,17138,2803870,Zossen,0.04,0.0,0.03,0.03,0.04,0.03,0.08,0.02,0.06,0.07,0.03,0.05
Zittau,50.89772,14.80764,DE,25785,2804008,Zittau,0.07,0.0,0.03,0.04,0.1,0.06,0.17,0.02,0.04,0.08,0.03,0.04
Zirndorf,49.4424,10.95414,DE,25734,2804034,Zirndorf,0.07,0.01,0.02,0.04,0.1,0.05,0.08,0.02,0.05,0.09,0.05,0.04
Zerbst,51.9662,12.08517,DE,15680,2804748,Zerbst,0.06,0.0,0.03,0.04,0.04,0.04,0.08,0.03,0.07,0.08,0.03,0.05
Zeitz,51.04962,12.1369,DE,29469,2804922,Zeitz,0.07,0.01,0.04,0.06,0.06,0.04,0.09,0.02,0.08,0.08,0.04,0.04
Zehlendorf,52.43333,13.25,DE,54328,2805059,Zehlendorf,0.04,0.0,0.04,0.03,0.03,0.03,0.09,0.02,0.06,0.07,0.03,0.05
Xanten,51.65877,6.45297,DE,21587,2805385,Xanten,0.1,0.02,0.05,0.07,0.1,0.07,0.09,0.05,0.07,0.07,0.04,0.09
Wurzen,51.3707,12.73939,DE,15233,2805597,Wurzen,0.07,0.01,0.04,0.05,0.06,0.05,0.08,0.02,0.08,0.09,0.04,0.05
Würzburg,49.79391,9.95121,DE,133731,2805615,Würzburg,0.07,0.01,0.03,0.03,0.08,0.03,0.04,0.02,0.03,0.07,0.06,0.04
