name,latitude,longitude,country,population,id
Vordingborg,55.00801,11.91057,DK,17868,2610020
Viborg,56.45319,9.40201,DK,41239,2610319
Vejle,55.70927,9.5357,DK,60231,2610613
Vanløse,55.68361,12.48713,DK,37115,2610734
Vallensbæk,55.62199,12.38511,DK,16515,2610789
Valby,55.66613,12.51388,DK,46161,2610802
Tønder,54.93306,8.86674,DK,16401,2611497
Taastrup,55.65006,12.3016,DK,35238,2611828
Svendborg,55.05982,10.60677,DK,27300,2612045
Stenløse,55.76828,12.19723,DK,19998,2612629
Sønderborg,54.90896,9.78917,DK,27766,2613102
Solrød Strand,55.53285,12.22227,DK,17337,2613233
Slagelse,55.40276,11.35459,DK,31896,2613460
Skive,56.56699,9.02707,DK,20190,2613731
Silkeborg,56.1697,9.54508,DK,49747,2614030
Roskilde,55.64152,12.08035,DK,51916,2614481
Rødovre,55.68062,12.45373,DK,40652,2614600
Ringsted,55.4426,11.79011,DK,23086,2614764
Randers,56.4607,10.03639,DK,62802,2615006
Odense,55.39594,10.38831,DK,180863,2615876
Nykøbing Falster,54.76906,11.87425,DK,19976,2615961
Nyborg,55.31274,10.78964,DK,17525,2616015
Næstved,55.22992,11.76092,DK,44331,2616038
Nørresundby,57.05877,9.92284,DK,23718,2616235
Middelfart,55.50591,9.73054,DK,16277,2616933
Lillerød,55.87496,12.34579,DK,16741,2617658
Køge,55.45802,12.18214,DK,38304,2618415
Copenhagen,55.67594,12.56553,DK,1153615,2618425
Kolding,55.4904,9.47216,DK,61638,2618528
Kalundborg,55.67954,11.08864,DK,16211,2619154
Ishøj,55.61543,12.35182,DK,19453,2619377
Hvidovre,55.65719,12.47364,DK,53527,2619528
Horsens,55.86066,9.85034,DK,61074,2619771
Hørsholm,55.88098,12.50111,DK,47680,2619856
Holstebro,56.36009,8.61607,DK,32072,2620046
Holbæk,55.7175,11.71279,DK,29608,2620147
Hjørring,57.46417,9.98229,DK,25644,2620214
Hillerød,55.92791,12.30081,DK,35357,2620320
Herning,56.13615,8.97662,DK,50565,2620425
Helsingør,56.03606,12.6136,DK,35048,2620473
Hedensted,55.77043,9.7011,DK,47099,2620583
Haderslev,55.24943,9.48771,DK,22011,2620964
Greve,55.58333,12.3,DK,47671,2621215
Glostrup,55.6666,12.40377,DK,23128,2621356
Frederikssund,55.83956,12.06896,DK,16850,2621912
Frederikshavn,57.44073,10.53661,DK,22672,2621927
Frederiksberg,55.67938,12.53463,DK,95029,2621942
Fredericia,55.56568,9.75257,DK,40886,2621951
Farum,55.80858,12.36066,DK,20312,2622306
Esbjerg,55.47028,8.45187,DK,71698,2622447
Charlottenlund,55.75238,12.5745,DK,40000,2623188
Brøndbyvester,55.6455,12.41008,DK,20000,2623340
Birkerød,55.84759,12.42791,DK,20877,2624112
Ballerup,55.73165,12.36328,DK,40000,2624341
Århus,56.15674,10.21076,DK,285273,2624652
Allerød,55.87035,12.35737,DK,25867,2624843
Aalborg,57.048,9.9187,DK,142937,2624886
Albertslund,55.65691,12.36381,DK,30000,2624906
Aabenraa,55.04434,9.41741,DK,16401,2625070
