name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Vordingborg,55.00801,11.91057,DK,17868,2610020,Vordingborg,0.03,0.0,0.01,0.05,0.09,0.08,0.08,0.05,0.08,0.06,0.04,0.06
Viborg,56.45319,9.40201,DK,41239,2610319,Viborg,0.04,0.01,0.02,0.08,0.13,0.13,0.12,0.04,0.07,0.04,0.08,0.06
Vejle,55.70927,9.5357,DK,60231,2610613,Vejle,0.04,0.01,0.02,0.06,0.09,0.13,0.12,0.06,0.06,0.05,0.07,0.06
Vanløse,55.68361,12.48713,DK,37115,2610734,Vanløse,0.04,0.0,0.01,0.06,0.11,0.1,0.12,0.05,0.07,0.06,0.06,0.07
Vallensbæk,55.62199,12.38511,DK,16515,2610789,Vallensbæk,0.04,0.0,0.01,0.06,0.11,0.1,0.12,0.05,0.07,0.06,0.06,0.07
Valby,55.66613,12.51388,DK,46161,2610802,Valby,0.04,0.0,0.01,0.06,0.11,0.1,0.12,0.05,0.07,0.06,0.06,0.07
Tønder,54.93306,8.86674,DK,16401,2611497,Tønder,0.05,0.02,0.03,0.06,0.1,0.12,0.08,0.06,0.05,0.07,0.09,0.09
Taastrup,55.65006,12.3016,DK,35238,2611828,Taastrup,0.04,0.0,0.01,0.06,0.11,0.11,0.13,0.05,0.07,0.05,0.06,0.06
Svendborg,55.05982,10.60677,DK,27300,2612045,Svendborg,0.03,0.0,0.01,0.06,0.1,0.07,0.1,0.05,0.03,0.04,0.06,0.05
Stenløse,55.76828,12.19723,DK,19998,2612629,Stenløse,0.04,0.0,0.01,0.06,0.11,0.11,0.13,0.05,0.07,0.05,0.06,0.06
Sønderborg,54.90896,9.78917,DK,27766,2613102,Sønderborg,0.03,0.01,0.02,0.07,0.08,0.08,0.09,0.05,0.03,0.04,0.05,0.05
Solrød Strand,55.53285,12.22227,DK,17337,2613233,Solrød Strand,0.04,0.0,0.01,0.06,0.1,0.09,0.1,0.05,0.07,0.06,0.06,0.07
Slagelse,55.40276,11.35459,DK,31896,2613460,Slagelse,0.04,0.01,0.01,0.06,0.1,0.08,0.1,0.05,0.03,0.05,0.07,0.07
Skive,56.56699,9.02707,DK,20190,2613731,Skive,0.04,0.01,0.03,0.07,0.13,0.13,0.11,0.03,0.07,0.04,0.1,0.07
Silkeborg,56.1697,9.54508,DK,49747,2614030,Silkeborg,0.04,0.01,0.02,0.08,0.12,0.13,0.13,0.04,0.07,0.04,0.08,0.06
Roskilde,55.64152,12.08035,DK,51916,2614481,Roskilde,0.04,0.0,0.01,0.07,0.11,0.11,0.14,0.05,0.08,0.05,0.05,0.06
Rødovre,55.68062,12.45373,DK,40652,2614600,Rødovre,0.04,0.0,0.01,0.06,0.11,0.1,0.12,0.05,0.07,0.06,0.06,0.07
Ringsted,55.4426,11.79011,DK,23086,2614764,Ringsted,0.03,0.0,0.01,0.06,0.11,0.09,0.12,0.05,0.05,0.05,0.05,0.06
Randers,56.4607,10.03639,DK,62802,2615006,Randers,0.04,0.0,0.02,0.09,0.12,0.11,0.13,0.04,0.07,0.03,0.08,0.06
Odense,55.39594,10.38831,DK,180863,2615876,Odense,0.03,0.0,0.01,0.06,0.1,0.08,0.12,0.05,0.03,0.04,0.06,0.05
Nykøbing Falster,54.76906,11.87425,DK,19976,2615961,Nykøbing Falster,0.03,0.0,0.01,0.04,0.09,0.06,0.1,0.04,0.06,0.07,0.05,0.06
Nyborg,55.31274,10.78964,DK,17525,2616015,Nyborg,0.03,0.0,0.01,0.06,0.1,0.07,0.1,0.05,0.03,0.04,0.06,0.05
Næstved,55.22992,11.76092,DK,44331,2616038,Næstved,0.03,0.0,0.01,0.05,0.11,0.09,0.12,0.04,0.06,0.06,0.04,0.06
