name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zubia,37.11906,-3.584,ES,18995,2509305,Zubia,0.02,0.0,0.01,0.11,0.11,0.0,0.0,0.0,0.01,0.1,0.08,0.15
Zafra,38.42539,-6.41734,ES,16424,2509377,Zafra,0.02,0.01,0.03,0.12,0.09,0.01,0.0,0.0,0.01,0.03,0.07,0.19
Yecla,38.61365,-1.11468,ES,35025,2509402,Yecla,0.02,0.0,0.01,0.02,0.04,0.0,0.01,0.01,0.02,0.07,0.02,0.01
Villena,38.6373,-0.86568,ES,35222,2509463,Villena,0.03,0.0,0.02,0.03,0.05,0.01,0.0,0.01,0.01,0.12,0.03,0.01
Villarrobledo,39.26992,-2.60119,ES,26642,2509491,Villarrobledo,0.01,0.0,0.04,0.08,0.03,0.01,0.0,0.0,0.01,0.06,0.05,0.08
Vila-real,39.9383,-0.10087,ES,50577,2509509,Vila-real,0.06,0.0,0.03,0.04,0.02,0.04,0.0,0.0,0.02,0.17,0.01,0.02
Villanueva de la Serena,38.97655,-5.7974,ES,25838,2509553,Villanueva de la Serena,0.03,0.01,0.03,0.12,0.08,0.01,0.0,0.0,0.01,0.04,0.11,0.19
Villajoyosa,38.50754,-0.23346,ES,33797,2509588,Villajoyosa,0.09,0.0,0.02,0.02,0.02,0.01,0.0,0.0,0.02,0.13,0.04,0.01
Vícar,36.83155,-2.64273,ES,22853,2509650,Vícar,0.02,0.0,0.02,0.03,0.06,0.0,0.0,0.0,0.02,0.13,0.01,0.06
Vélez-Málaga,36.78107,-4.10266,ES,74190,2509769,Vélez-Málaga,0.04,0.0,0.02,0.16,0.09,0.0,0.0,0.0,0.01,0.13,0.1,0.22
Valencia,39.46975,-0.37739,ES,789744,2509954,Valencia,0.04,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.19,0.01,0.01
Valdepeñas,38.76211,-3.38483,ES,31147,2509982,Valdepeñas,0.01,0.0,0.02,0.1,0.1,0.02,0.0,0.0,0.01,0.05,0.07,0.1
Utrera,37.18516,-5.78093,ES,50665,2510073,Utrera,0.01,0.0,0.02,0.15,0.07,0.0,0.0,0.0,0.02,0.05,0.08,0.19
Ubrique,36.67777,-5.446,ES,16979,2510112,Ubrique,0.07,0.0,0.03,0.24,0.07,0.0,0.0,0.0,0.02,0.1,0.13,0.35
Úbeda,38.01328,-3.3705,ES,35649,2510116,Úbeda,0.02,0.0,0.02,0.15,0.07,0.0,0.0,0.01,0.03,0.09,0.14,0.16
Totana,37.7688,-1.50229,ES,29211,2510224,Totana,0.02,0.0,0.01,0.01,0.03,0.0,0.0,0.0,0.01,0.11,0.02,0.01
Torrox,36.75793,-3.95233,ES,16890,2510245,Torrox,0.04,0.0,0.02,0.16,0.09,0.0,0.0,0.0,0.01,0.13,0.1,0.22
Torrevieja,37.97872,-0.68222,ES,101792,2510253,Torrevieja,0.03,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.12,0.03,0.01
Torre-Pacheco,37.74293,-0.95396,ES,35614,2510271,Torre-Pacheco,0.03,0.0,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.12,0.02,0.01
Torrent,39.43705,-0.46546,ES,78543,2510279,Torrent,0.04,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.19,0.01,0.01
Torremolinos,36.62035,-4.49976,ES,65448,2510281,Torremolinos,0.04,0.0,0.02,0.12,0.05,0.0,0.0,0.0,0.01,0.09,0.07,0.19
Torre del Mar,36.742,-4.09291,ES,21980,2510309,Torre del Mar,0.04,0.0,0.02,0.16,0.09,0.0,0.0,0.0,0.01,0.13,0.1,0.22
Tomelloso,39.15759,-3.02156,ES,36091,2510392,Tomelloso,0.01,0.0,0.03,0.09,0.05,0.01,0.0,0.0,0.0,0.05,0.06,0.08
Tomares,37.37281,-6.04589,ES,22772,2510394,Tomares,0.02,0.0,0.03,0.19,0.09,0.0,0.0,0.0,0.02,0.04,0.08,0.23
Toledo,39.8581,-4.02263,ES,84282,2510409,Toledo,0.03,0.01,0.03,0.12,0.07,0.0,0.0,0.01,0.01,0.05,0.1,0.14
Tías,28.96108,-13.64502,ES,19849,2510485,Tías,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Telde,27.99243,-15.41915,ES,100015,2510542,Telde,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Teguise,29.06049,-13.56397,ES,19418,2510573,Teguise,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Tarifa,36.01393,-5.60695,ES,17793,2510599,Tarifa,0.03,0.0,0.02,0.19,0.06,0.0,0.0,0.0,0.03,0.11,0.1,0.28
Talavera de la Reina,39.96348,-4.83076,ES,88856,2510693,Talavera de la Reina,0.04,0.01,0.03,0.16,0.07,0.0,0.0,0.0,0.01,0.05,0.15,0.25
Tacoronte,28.47688,-16.41016,ES,23562,2510725,Tacoronte,0.02,0.03,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.07
Tavernes de la Valldigna,39.07195,-0.26623,ES,18195,2510743,Tavernes de la Valldigna,0.04,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.19,0.01,0.01
Sueca,39.2026,-0.31114,ES,28908,2510764,Sueca,0.04,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.19,0.01,0.01
Silla,39.36257,-0.41169,ES,18979,2510880,Silla,0.04,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.19,0.01,0.01
Sevilla,37.38283,-5.97317,ES,684234,2510911,Sevilla,0.02,0.0,0.02,0.18,0.09,0.0,0.0,0.0,0.01,0.04,0.07,0.23
San Vicent del Raspeig,38.3964,-0.5255,ES,56715,2511032,San Vicent del Raspeig,0.03,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.1,0.02,0.01
Santomera,38.06147,-1.04877,ES,15319,2511050,Santomera,0.02,0.0,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.12,0.02,0.01
Santa Pola,38.19165,-0.5658,ES,31760,2511102,Santa Pola,0.03,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.12,0.03,0.01
Santa Lucía,27.91174,-15.54071,ES,71863,2511150,Santa Lucía,0.05,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02
Santafé,37.18856,-3.71887,ES,15430,2511160,Santafé,0.02,0.0,0.02,0.16,0.1,0.01,0.0,0.0,0.01,0.09,0.07,0.18
Santa Eulària des Riu,38.98457,1.53409,ES,31314,2511162,Santa Eulària des Riu,0.05,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.03,0.03,0.04,0.03
Santa Cruz de Tenerife,28.46824,-16.25462,ES,204856,2511174,Santa Cruz de Tenerife,0.05,0.03,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.03,0.04
Santa Cruz de la Palma,28.68351,-17.76421,ES,15674,2511180,Santa Cruz de la Palma,0.04,0.03,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.02,0.03,0.05
Santa Brígida,28.03197,-15.50425,ES,19154,2511202,Santa Brígida,0.05,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02
San Roque,36.21067,-5.38415,ES,29249,2511239,San Roque,0.13,0.0,0.03,0.29,0.08,0.0,0.0,0.0,0.01,0.09,0.12,0.37
