name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Ylöjärvi,61.55632,23.59606,FI,22140,630752,Ylöjärvi,0.01,0.02,0.0,0.04,0.06,0.1,0.13,0.1,0.02,0.07,0.12,0.04
Vuosaari,60.20963,25.14195,FI,35826,631077,Vuosaari,0.02,0.02,0.02,0.05,0.05,0.08,0.13,0.08,0.04,0.08,0.15,0.04
Vihti,60.41699,24.31965,FI,26280,631707,Vihti,0.02,0.02,0.01,0.04,0.05,0.09,0.16,0.09,0.04,0.07,0.12,0.04
Varkaus,62.31533,27.873,FI,22365,632370,Varkaus,0.0,0.01,0.0,0.03,0.05,0.12,0.17,0.1,0.03,0.06,0.05,0.04
Vantaa,60.29414,25.04099,FI,190058,632453,Vantaa,0.02,0.02,0.02,0.05,0.05,0.08,0.15,0.09,0.04,0.09,0.14,0.04
Valkeakoski,61.26421,24.03122,FI,20376,632672,Valkeakoski,0.01,0.02,0.0,0.04,0.06,0.09,0.14,0.1,0.02,0.07,0.11,0.04
Vaasa,63.096,21.61577,FI,67631,632978,Vaasa,0.02,0.03,0.01,0.07,0.06,0.07,0.12,0.13,0.03,0.06,0.07,0.03
Uusikaupunki,60.80043,21.40841,FI,16226,633221,Uusikaupunki,0.02,0.02,0.02,0.04,0.07,0.07,0.18,0.07,0.03,0.09,0.11,0.05
Tuusula,60.40368,25.02638,FI,34725,633591,Tuusula,0.01,0.02,0.02,0.04,0.05,0.09,0.15,0.07,0.04,0.07,0.13,0.04
Turku,60.45148,22.26869,FI,195301,633679,Turku,0.02,0.03,0.02,0.04,0.05,0.07,0.21,0.1,0.05,0.08,0.12,0.04
Tornio,65.84811,24.14662,FI,21236,634093,Tornio,0.01,0.0,0.0,0.04,0.03,0.15,0.14,0.08,0.05,0.08,0.07,0.01
Tampere,61.49911,23.78712,FI,244315,634963,Tampere,0.01,0.02,0.0,0.04,0.06,0.1,0.14,0.1,0.02,0.07,0.12,0.04
Siilinjärvi,63.08333,27.66667,FI,20209,636947,Siilinjärvi,0.0,0.01,0.0,0.03,0.05,0.14,0.1,0.15,0.04,0.05,0.07,0.02
Sibbo,60.37752,25.26906,FI,19430,637067,Sibbo,0.01,0.02,0.02,0.04,0.05,0.09,0.16,0.07,0.04,0.07,0.13,0.04
Seinäjoki,62.79446,22.82822,FI,64743,637219,Seinäjoki,0.01,0.03,0.0,0.05,0.06,0.1,0.12,0.13,0.03,0.04,0.08,0.04
Savonlinna,61.8699,28.87999,FI,27353,637292,Savonlinna,0.0,0.01,0.0,0.02,0.04,0.12,0.17,0.09,0.04,0.06,0.07,0.03
