name,latitude,longitude,country,population,id
Yerres,48.71785,2.49338,FR,28897,2967245
Wittenheim,47.8109,7.32756,FR,15747,2967318
Wattrelos,50.70118,3.21812,FR,42826,2967421
Wasquehal,50.67043,3.13382,FR,19320,2967438
Voiron,45.36471,5.5856,FR,22114,2967758
Vitry-sur-Seine,48.78716,2.40332,FR,81001,2967849
Vitry-le-François,48.72472,4.58439,FR,17250,2967856
Vitrolles,43.46,5.24861,FR,38591,2967870
Vitré,48.12279,-1.20983,FR,17266,2967879
Viry-Châtillon,48.67211,2.39318,FR,31131,2967917
Viroflay,48.80078,2.16181,FR,16137,2967934
Vincennes,48.8486,2.43769,FR,45923,2968054
Villiers-sur-Marne,48.831,2.54844,FR,30252,2968142
Villiers-le-Bel,49.00875,2.39819,FR,27028,2968176
Villeurbanne,45.76601,4.8795,FR,131445,2968254
Villers-lès-Nancy,48.67333,6.15283,FR,15899,2968368
Villepinte,48.96203,2.53253,FR,37114,2968482
Villeparisis,48.94208,2.61463,FR,23931,2968496
Villeneuve-sur-Lot,44.40854,0.70415,FR,25869,2968515
Villeneuve-Saint-Georges,48.73219,2.44925,FR,30881,2968529
Villeneuve-le-Roi,48.73684,2.40081,FR,17575,2968546
Villeneuve-la-Garenne,48.93935,2.31478,FR,22036,2968555
Villenave-d'Ornon,44.77935,-0.56707,FR,30347,2968620
Villemomble,48.88333,2.5,FR,28001,2968653
Villejuif,48.7939,2.35992,FR,48048,2968705
Villefranche-sur-Saône,45.98967,4.71961,FR,32994,2968748
Villefontaine,45.61278,5.15058,FR,19749,2968771
Vigneux-sur-Seine,48.70291,2.41357,FR,26692,2969109
Vierzon,47.22186,2.0684,FR,29876,2969257
Vienne,45.52569,4.87484,FR,32293,2969284
Vichy,46.12709,3.42577,FR,27019,2969392
Vesoul,47.62604,6.14251,FR,19892,2969562
Vertou,47.16878,-1.4729,FR,22921,2969612
Versailles,48.80359,2.13424,FR,85416,2969679
Verrières-le-Buisson,48.74565,2.26796,FR,16789,2969692
Vernon,49.09292,1.46332,FR,26037,2969766
Verneuil-sur-Seine,48.97388,1.9648,FR,16790,2969796
Verdun,49.15964,5.3829,FR,21798,2969958
Vénissieux,45.69706,4.88593,FR,57584,2970072
Vendôme,47.79292,1.06556,FR,19226,2970110
Vence,43.72254,7.11183,FR,18668,2970148
Vélizy-Villacoublay,48.78198,2.19395,FR,21741,2970203
Vauréal,49.03333,2.03333,FR,20699,2970432
Vaulx-en-Velin,45.78693,4.9251,FR,37489,2970456
Vanves,48.82345,2.29025,FR,26068,2970761
Vannes,47.65688,-2.76205,FR,54020,2970777
Vandœuvre-lès-Nancy,48.66115,6.17114,FR,31785,2970797
Vallauris,43.57803,7.05451,FR,27286,2970962
Valenciennes,50.35909,3.52506,FR,44821,2971041
Valence,44.9256,4.90956,FR,63864,2971053
Tulle,45.26582,1.77233,FR,16969,2971482
Troyes,48.30073,4.08524,FR,60785,2971549
Tremblay-en-France,48.94956,2.5684,FR,35591,2971874
Trappes,48.77413,2.01781,FR,28367,2972049
Tours,47.39484,0.70398,FR,141621,2972191
Tournefeuille,43.58872,1.31922,FR,29124,2972237
Tourlaville,49.63829,-1.56639,FR,18273,2972270
Tourcoing,50.72391,3.16117,FR,98656,2972284
Toulouse,43.60426,1.44367,FR,493465,2972315
Toulon,43.12442,5.92836,FR,168701,2972328
Toul,48.68075,5.89115,FR,17680,2972350
Torcy,48.85064,2.65078,FR,24386,2972444
Thonon-les-Bains,46.37049,6.47985,FR,31684,2972742
Thionville,49.35994,6.16044,FR,44311,2972811
Thiais,48.76496,2.3961,FR,29724,2972893
Tergnier,49.65607,3.30107,FR,15475,2973146
Taverny,49.02542,2.21691,FR,27271,2973258
Tassin-la-Demi-Lune,45.75499,4.78812,FR,16920,2973317
Tarbes,43.23407,0.07139,FR,52106,2973385
Talence,44.80849,-0.58915,FR,42579,2973495
Suresnes,48.87143,2.22929,FR,44697,2973675
Sucy-en-Brie,48.76872,2.53474,FR,25014,2973745
Strasbourg,48.58392,7.74553,FR,274845,2973783
Stains,48.95,2.38333,FR,32601,2973841
Sotteville-lès-Rouen,49.40972,1.09005,FR,30619,2974153
Sorgues,44.01023,4.87381,FR,18681,2974188
Soisy-sous-Montmorency,48.98813,2.30156,FR,17436,2974385
Soissons,49.38167,3.32361,FR,31100,2974389
Six-Fours-les-Plages,43.09174,5.82465,FR,34779,2974427
Sin-le-Noble,50.36159,3.13113,FR,17682,2974494
Seynod,45.88549,6.08831,FR,18590,2974655
Sèvres,48.82292,2.21757,FR,23724,2974678
Sevran,48.94472,2.52746,FR,47334,2974681
Sète,43.4028,3.69278,FR,40736,2974733
Sens,48.19738,3.28328,FR,28700,2975050
Senlis,49.20724,2.58661,FR,19160,2975088
Sélestat,48.26195,7.4489,FR,18941,2975233
Sedan,49.70187,4.94028,FR,20620,2975349
Schiltigheim,48.60749,7.74931,FR,32289,2975446
Sceaux,48.77644,2.29026,FR,21511,2975469
Savigny-sur-Orge,48.67677,2.34835,FR,39698,2975525
Savigny-le-Temple,48.57409,2.58287,FR,25925,2975536
Saumur,47.25931,-0.07808,FR,33229,2975758
Sartrouville,48.9482,2.19169,FR,53980,2975921
Sarreguemines,49.10995,7.06747,FR,24446,2975964
Sarcelles,48.99739,2.37821,FR,57979,2976043
Saran,47.95013,1.87601,FR,16243,2976050
Sannois,48.96667,2.25,FR,26869,2976179
Sanary-sur-Mer,43.11985,5.80155,FR,19166,2976258
Salon-de-Provence,43.64229,5.09478,FR,41397,2976341
Sallanches,45.94423,6.63162,FR,16725,2976406
Saint-Sébastien-sur-Loire,47.20768,-1.50332,FR,29238,2976984
Saint-Raphaël,43.42332,6.7735,FR,34918,2977246
Saint-Quentin,49.84889,3.28757,FR,55407,2977295
Saint-Priest,45.69651,4.94385,FR,41641,2977356
Saint-Pol-sur-Mer,51.03116,2.33983,FR,23635,2977388
Saint-Pierre-des-Corps,47.38623,0.74849,FR,15284,2977491
Saint-Ouen-l'Aumône,49.04353,2.12134,FR,22977,2977800
Saint-Ouen,48.90654,2.33339,FR,39353,2977824
Saint-Omer,50.74834,2.26091,FR,18250,2977845
Saint-Nazaire,47.27506,-2.2179,FR,67054,2977921
Saint-Michel-sur-Orge,48.63479,2.30831,FR,20824,2977952
Saint-Médard-en-Jalles,44.8955,-0.71779,FR,29742,2978072
Saint-Maximin-la-Sainte-Baume,43.44813,5.86081,FR,15225,2978100
Saint-Maur-des-Fossés,48.79395,2.49323,FR,75402,2978179
Saint-Martin-d'Hères,45.1787,5.76281,FR,35528,2978317
Saint-Mandé,48.83864,2.41579,FR,21261,2978621
Saint-Malo,48.64738,-2.00877,FR,50676,2978640
Saint-Loup,43.27766,5.43133,FR,16084,2978722
Saint-Louis,47.59206,7.55923,FR,20871,2978742
Saint-Lô,49.11624,-1.09031,FR,21722,2978758
Saint-Leu-la-Forêt,49.01667,2.25,FR,16075,2978768
Saint-Leu,46.7306,4.50083,FR,29278,2978771
Saint-Laurent-du-Var,43.67323,7.19,FR,29516,2978891
Saint-Jean-de-la-Ruelle,47.91127,1.86483,FR,17522,2979316
Saint-Jean-de-Braye,47.91303,1.97705,FR,19874,2979341
Saint-Herblain,47.21154,-1.651,FR,46898,2979590
Saint-Gratien,48.9735,2.28729,FR,19737,2979627
Saint-Germain-en-Laye,48.89643,2.0904,FR,41142,2979783
Saint-Genis-Laval,45.69542,4.79316,FR,20883,2979985
Saint-Fons,45.70875,4.85325,FR,16053,2980097
Saint-Étienne-du-Rouvray,49.37794,1.10467,FR,28953,2980236
Saint-Étienne,45.43389,4.39,FR,176280,2980291
Saintes,45.74742,-0.63489,FR,29512,2980340
Sainte-Marguerite,43.26196,5.40125,FR,19997,2980467
Sainte-Geneviève-des-Bois,48.64682,2.31965,FR,33689,2980558
Sainte-Foy-lès-Lyon,45.73375,4.80259,FR,21893,2980586
Saint-Égrève,45.23313,5.68154,FR,15904,2980636
Saint-Dizier,48.63773,4.94892,FR,31918,2980816
Saint-Dié-des-Vosges,48.28429,6.94921,FR,24628,2980827
Saint-Denis,48.93564,2.35387,FR,96128,2980916
Saint-Cyr-sur-Loire,47.4,0.66667,FR,17337,2980935
Saint-Cyr-l'École,48.79865,2.06814,FR,16365,2980942
Saint-Cloud,48.84598,2.20289,FR,28839,2981041
Saint-Chamond,45.4759,4.51294,FR,38014,2981206
Saint-Brieuc,48.51513,-2.76838,FR,52774,2981280
Saint-Avold,49.10465,6.70402,FR,18281,2981492
Saint-Avertin,47.36357,0.73993,FR,16007,2981512
Saint-Amand-les-Eaux,50.44718,3.43076,FR,17808,2981839
Rueil-Malmaison,48.8765,2.18967,FR,76616,2982235
Royan,45.62811,-1.03153,FR,19017,2982343
Rouen,49.44313,1.09932,FR,234475,2982652
Roubaix,50.69421,3.17456,FR,98828,2982681
Rosny-sous-Bois,48.87017,2.4991,FR,41627,2982757
Ronchin,50.59883,3.09056,FR,18331,2982944
Romorantin-Lanthenay,47.36667,1.75,FR,19953,2982967
Romans-sur-Isère,45.0496,5.06602,FR,35002,2983011
Romainville,48.8854,2.43482,FR,24772,2983026
Roissy-en-Brie,48.79159,2.64747,FR,20933,2983074
Rodez,44.35258,2.57338,FR,28337,2983154
Rochefort,45.94304,-0.96774,FR,29427,2983276
Roanne,46.03624,4.06802,FR,39840,2983362
Ris-Orangis,48.6511,2.41406,FR,25082,2983440
Riom,45.89362,3.11264,FR,20142,2983489
Rillieux-la-Pape,45.81667,4.9,FR,28076,2983536
Rezé,47.19058,-1.56885,FR,39248,2983770
Rennes,48.11198,-1.67429,FR,220488,2983990
Reims,49.26526,4.02853,FR,196565,2984114
Rambouillet,48.64374,1.82992,FR,26674,2984513
Quimper,47.99597,-4.09795,FR,63849,2984701
Puteaux,48.88341,2.23894,FR,40646,2985034
Port-de-Bouc,43.40657,4.9809,FR,15934,2986025
Pontoise,49.05,2.1,FR,30290,2986140
Pontivy,48.06835,-2.96645,FR,16752,2986160
Pontarlier,46.90347,6.35542,FR,20313,2986302
Pont-à-Mousson,48.90702,6.05635,FR,15411,2986306
Poitiers,46.58261,0.34348,FR,85960,2986495
Poissy,48.92902,2.04952,FR,36431,2986501
Ploemeur,47.73512,-3.42952,FR,20652,2986732
Plaisir,48.82319,1.9541,FR,36121,2986930
Plaisance-du-Touch,43.56554,1.29645,FR,18501,2986933
Pierrefitte-sur-Seine,48.96691,2.36104,FR,27914,2987271
Pessac,44.80565,-0.6324,FR,57944,2987805
Pertuis,43.69415,5.50291,FR,19926,2987825
Perpignan,42.69764,2.89541,FR,110706,2987914
Périgueux,45.18691,0.71439,FR,34770,2987967
Pau,43.31117,-0.35583,FR,82697,2988358
Paris,48.85341,2.3488,FR,2138551,2988507
Pantin,48.89437,2.40935,FR,52922,2988621
Pamiers,43.1165,1.61079,FR,16997,2988670
Palaiseau,48.71828,2.2498,FR,31987,2988758
Ozoir-la-Ferrière,48.76699,2.66871,FR,22530,2988867
Oyonnax,46.25917,5.65727,FR,25697,2988888
Outreau,50.70535,1.5897,FR,15648,2988936
Oullins,45.71404,4.80755,FR,25592,2988998
Osny,49.0701,2.06277,FR,16545,2989130
Orvault,47.27117,-1.62361,FR,25338,2989170
Orsay,48.69572,2.18727,FR,17817,2989204
Orly,48.74792,2.39253,FR,20528,2989297
Orléans,47.90289,1.90389,FR,116269,2989317
Orange,44.13806,4.81025,FR,30530,2989460
Olivet,47.86219,1.8991,FR,22604,2989611
Octeville,49.62612,-1.64349,FR,16951,2989755
Noyon,49.58333,3.0,FR,15138,2989877
Noisy-le-Sec,48.89148,2.46451,FR,38955,2990187
Noisy-le-Grand,48.84979,2.56266,FR,62420,2990189
Noisiel,48.84868,2.62435,FR,15362,2990192
Nogent-sur-Oise,49.27158,2.47074,FR,19690,2990264
Nogent-sur-Marne,48.83669,2.48255,FR,31236,2990265
Niort,46.32313,-0.45877,FR,54660,2990355
Nîmes,43.83665,4.35788,FR,148236,2990363
Nice,43.70313,7.26608,FR,342669,2990440
Nevers,46.98956,3.159,FR,43988,2990474
Neuilly-sur-Seine,48.8846,2.26965,FR,61300,2990611
Neuilly-sur-Marne,48.85373,2.54903,FR,34465,2990612
Neuilly-Plaisance,48.86342,2.506,FR,18725,2990616
Narbonne,43.18396,3.00141,FR,50776,2990919
Nantes,47.21725,-1.55336,FR,318808,2990969
Nanterre,48.89198,2.20675,FR,86719,2990970
Nancy,48.68439,6.18496,FR,105058,2990999
Muret,43.45998,1.32541,FR,24313,2991153
Mulhouse,47.75205,7.32866,FR,111430,2991214
Moulins,46.56459,3.33243,FR,23095,2991481
Mougins,43.60068,6.99523,FR,18973,2991551
Morsang-sur-Orge,48.66181,2.35338,FR,19917,2991719
Morlaix,48.57784,-3.82792,FR,17516,2991772
Mont-Saint-Aignan,49.46307,1.09364,FR,23078,2992003
Montrouge,48.8162,2.31393,FR,38708,2992017
Montreuil,48.86415,2.44322,FR,111240,2992090
Montpellier,43.61093,3.87635,FR,248252,2992166
Montmorency,48.98826,2.3434,FR,21156,2992229
Montluçon,46.34015,2.60254,FR,44960,2992292
Montivilliers,49.54518,0.18769,FR,16706,2992367
Montigny-lès-Metz,49.0956,6.15271,FR,26369,2992402
Montigny-lès-Cormeilles,48.98201,2.20035,FR,17910,2992404
Montigny-le-Bretonneux,48.76636,2.03405,FR,39063,2992415
Montgeron,48.70543,2.45039,FR,22843,2992536
Montfermeil,48.8982,2.57913,FR,23829,2992616
Montesson,48.90924,2.13754,FR,15256,2992650
Montereau-Fault-Yonne,48.38333,2.95,FR,16993,2992671
Montélimar,44.55468,4.75469,FR,35637,2992703
Mont-de-Marsan,43.89022,-0.49713,FR,36205,2992771
Montceau-les-Mines,46.66667,4.36667,FR,20221,2992863
Montbrison,45.60752,4.06525,FR,16164,2992890
Montbéliard,47.50957,6.79823,FR,28865,2992938
Montauban,44.01759,1.3542,FR,52434,2993002
Montargis,47.99696,2.73261,FR,17457,2993024
Mons-en-Barœul,50.63333,3.11667,FR,23006,2993207
Moissy-Cramayel,48.62605,2.60125,FR,16259,2993572
Mitry-Mory,48.98333,2.61667,FR,18562,2993679
Miramas,43.58508,5.00268,FR,24173,2993760
Millau,44.09973,3.07848,FR,23307,2993875
Meyzieu,45.76637,5.00277,FR,28929,2994048
Meylan,45.20978,5.77762,FR,20267,2994087
Meudon,48.81381,2.235,FR,44652,2994144
Metz,49.11911,6.17269,FR,123914,2994160
Mérignac,44.84247,-0.64512,FR,69791,2994393
Menton,43.77649,7.50435,FR,29649,2994497
Melun,48.5457,2.65356,FR,38953,2994651
Meaux,48.96014,2.87885,FR,53811,2994798
Mazargues,43.24622,5.39788,FR,17527,2994895
Mayenne,48.30337,-0.61383,FR,15583,2994935
Maurepas,48.76486,1.92923,FR,19009,2995041
Mauguio,43.61692,4.00739,FR,18320,2995121
Maubeuge,50.27875,3.97267,FR,33684,2995150
Massy,48.72692,2.28301,FR,38768,2995206
Martigues,43.40735,5.05526,FR,45749,2995387
Marseille,43.29695,5.38107,FR,870731,2995469
Marmande,44.50361,0.16546,FR,19069,2995642
Marly-le-Roi,48.86667,2.08333,FR,17404,2995652
Marignane,43.41727,5.21462,FR,35873,2995750
Marcq-en-Barœul,50.66667,3.08333,FR,38629,2995908
Mantes-la-Ville,48.97374,1.70253,FR,19947,2996146
Mantes-la-Jolie,48.99048,1.7167,FR,44263,2996148
Manosque,43.82883,5.78688,FR,21351,2996180
Mandelieu-la-Napoule,43.54577,6.93734,FR,19292,2996255
Malakoff,48.81999,2.29998,FR,29420,2996514
Maisons-Laffitte,48.95264,2.14521,FR,22772,2996564
Maisons-Alfort,48.81171,2.43945,FR,53964,2996568
Mâcon,46.31407,4.82823,FR,35484,2996882
Lyon,45.74846,4.84671,FR,522969,2996944
Lunéville,48.59273,6.49383,FR,21582,2997110
Lunel,43.67778,4.13611,FR,26588,2997116
Lucé,48.43689,1.46359,FR,17780,2997246
Louviers,49.21667,1.16667,FR,19220,2997336
Lourdes,43.09461,-0.04611,FR,15786,2997395
Lormont,44.8765,-0.51919,FR,22636,2997556
Lorient,47.74817,-3.37177,FR,58112,2997577
Loos,50.60982,3.01874,FR,22107,2997620
Lons-le-Saunier,46.67535,5.55575,FR,20678,2997626
Longjumeau,48.69307,2.29431,FR,20771,2997712
Lomme,50.64358,2.98715,FR,29892,2997803
Lognes,48.83541,2.62998,FR,15519,2997904
Livry-Gargan,48.9193,2.54305,FR,39518,2998056
L'Isle-sur-la-Sorgue,43.91971,5.05141,FR,16968,2998127
Lisieux,49.1466,0.22925,FR,24473,2998150
Lingolsheim,48.55752,7.68253,FR,17284,2998224
Limoges,45.83362,1.24759,FR,141176,2998286
Limeil-Brévannes,48.7448,2.48705,FR,19104,2998305
Limay,48.99553,1.74081,FR,18559,2998311
Lille,50.63297,3.05858,FR,234475,2998324
Liévin,50.4198,2.78068,FR,34370,2998431
Libourne,44.91449,-0.24186,FR,24240,2998517
L'Haÿ-les-Roses,48.77935,2.33729,FR,29703,2998632
Le Vésinet,48.89281,2.13308,FR,16740,2998854
Levallois-Perret,48.89389,2.28864,FR,62178,2998975
Les Sables-d'Olonne,46.49687,-1.7847,FR,16105,2999683
Les Pennes-Mirabeau,43.41012,5.30838,FR,19871,3000047
Les Pavillons-sous-Bois,48.90683,2.50648,FR,19730,3000060
Les Olives,43.32393,5.4584,FR,15181,3000138
Les Mureaux,48.99173,1.90972,FR,32134,3000192
Les Lilas,48.87992,2.42057,FR,21124,3000491
Les Herbiers,46.87095,-1.0156,FR,15664,3000648
Les Clayes-sous-Bois,48.82206,1.98677,FR,17776,3001402
Le Puy-en-Velay,45.04366,3.88523,FR,22718,3002465
Le Pré-Saint-Gervais,48.88549,2.40422,FR,17786,3002499
Le Pontet,43.96119,4.86008,FR,16182,3002570
Le Plessis-Trévise,48.81074,2.57363,FR,18618,3002647
Le Plessis-Robinson,48.78889,2.27078,FR,22510,3002650
Le Petit-Quevilly,49.41338,1.06155,FR,22691,3002880
Le Perreux-sur-Marne,48.85,2.5,FR,32015,3002965
Le Pecq,48.89317,2.10371,FR,16534,3002984
Lens,50.43302,2.82791,FR,38265,3003093
Le Mée-sur-Seine,48.53157,2.62829,FR,22058,3003481
Le Mans,48.0021,0.20251,FR,144515,3003603
Le Kremlin-Bicêtre,48.81471,2.36073,FR,27867,3003737
Le Havre,49.49346,0.10785,FR,185972,3003796
Le Grand-Quevilly,49.40076,1.04582,FR,26522,3003952
Le Creusot,46.80714,4.41632,FR,25590,3004427
Le Chesnay,48.8222,2.12213,FR,29154,3004630
Le Cannet,43.57662,7.01912,FR,43353,3004871
Le Bouscat,44.86488,-0.59864,FR,24232,3005066
Le Blanc-Mesnil,48.93872,2.46138,FR,48077,3005269
Laxou,48.68372,6.14929,FR,16323,3005417
La Valette-du-Var,43.13763,5.98317,FR,23134,3005825
Laval,48.07247,-0.77019,FR,50489,3005866
Lattes,43.56775,3.90279,FR,17390,3006121
La Teste-de-Buch,44.63278,-1.14513,FR,27253,3006283
La Seyne-sur-Mer,43.10322,5.87816,FR,62330,3006414
La Roche-sur-Yon,46.66974,-1.42757,FR,59410,3006767
La Rochelle,46.16308,-1.15222,FR,76810,3006787
La Pomme,43.28987,5.44153,FR,17787,3007221
Laon,49.5631,3.62714,FR,28688,3007477
Lannion,48.73264,-3.45657,FR,21473,3007609
Lanester,47.76316,-3.3393,FR,24352,3007794
Landerneau,48.4515,-4.25175,FR,16052,3007874
Lambersart,50.65,3.03333,FR,28613,3008218
La Madeleine,50.64603,3.07585,FR,23572,3008379
Lagny-sur-Marne,48.86667,2.71667,FR,20649,3009071
La Garenne-Colombes,48.90472,2.2469,FR,26385,3009169
La Garde,43.12468,6.01033,FR,28257,3009223
La Flèche,47.69815,-0.07553,FR,18536,3009443
La Crau,43.14962,6.07399,FR,17905,3009791
La Courneuve,48.92805,2.39627,FR,37287,3009824
La Ciotat,43.17476,5.60449,FR,33113,3010025
La Chapelle-sur-Erdre,47.29964,-1.55239,FR,18481,3010237
La Celle-Saint-Cloud,48.85029,2.14523,FR,21539,3010529
Jouy-le-Moutier,49.01068,2.04028,FR,19087,3012162
Joué-lès-Tours,47.34907,0.66513,FR,37466,3012219
Joinville-le-Pont,48.82538,2.47458,FR,18154,3012313
Ivry-sur-Seine,48.81568,2.38487,FR,57897,3012621
Istres,43.51345,4.98747,FR,44373,3012647
Issy-les-Moulineaux,48.82104,2.27718,FR,61447,3012649
Issoire,45.54422,3.24901,FR,15984,3012664
Illzach,47.7742,7.35175,FR,15457,3012829
Illkirch-Graffenstaden,48.52894,7.71523,FR,27261,3012834
Hyères,43.12038,6.12857,FR,50487,3012937
Houilles,48.92161,2.19263,FR,31121,3013097
Hérouville-Saint-Clair,49.21088,-0.30653,FR,24258,3013403
Herblay,48.98994,2.1699,FR,25153,3013477
Hénin-Beaumont,50.41359,2.96485,FR,25371,3013525
Hem,50.65256,3.18681,FR,19699,3013549
Hazebrouck,50.72374,2.53729,FR,23307,3013619
Hayange,49.32881,6.06278,FR,15501,3013627
Hautmont,50.25077,3.92143,FR,15540,3013681
Yutz,49.35571,6.1926,FR,15659,3013701
Haubourdin,50.60826,2.99143,FR,15694,3013862
Halluin,50.78628,3.12611,FR,20171,3014034
Haguenau,48.81557,7.79051,FR,38721,3014078
Guyancourt,48.77334,2.07393,FR,31989,3014143
Gujan-Mestras,44.636,-1.06815,FR,19184,3014175
Guéret,46.17185,1.87166,FR,15853,3014383
Guérande,47.32829,-2.42934,FR,16523,3014392
Grigny,48.65412,2.39343,FR,24940,3014646
Grenoble,45.17869,5.71479,FR,158552,3014728
Grasse,43.65783,6.92537,FR,47581,3014856
Grande-Synthe,51.0154,2.29975,FR,23213,3015160
Gradignan,44.77362,-0.61395,FR,24385,3015419
Goussainville,49.01367,2.46595,FR,30047,3015490
Gonesse,48.98693,2.44892,FR,26758,3015689
Givors,45.59063,4.76878,FR,18198,3015902
Gif-sur-Yvette,48.68333,2.13333,FR,23541,3016078
Gien,47.69332,2.63094,FR,15966,3016097
Gentilly,48.81294,2.3417,FR,15939,3016292
Gennevilliers,48.93333,2.3,FR,42294,3016321
Garges-lès-Gonesse,48.96791,2.39781,FR,39847,3016621
Gardanne,43.45491,5.46913,FR,21140,3016667
Garches,48.84226,2.18232,FR,18930,3016675
Gap,44.55858,6.07868,FR,42715,3016702
Gagny,48.88333,2.53333,FR,38134,3016830
Frontignan,43.44775,3.75524,FR,22251,3016956
Fresnes,48.75568,2.32241,FR,24803,3017178
Fréjus,43.43325,6.73555,FR,53098,3017253
Franconville,48.98333,2.23333,FR,34284,3017341
Fougères,48.35157,-1.19961,FR,23719,3017609
Fos-sur-Mer,43.43774,4.94457,FR,17317,3017651
Forbach,49.18848,6.89255,FR,21358,3017805
Fontenay-sous-Bois,48.85442,2.48268,FR,52075,3017910
Fontenay-le-Comte,46.46671,-0.80624,FR,16316,3017921
Fontenay-aux-Roses,48.79325,2.29275,FR,24680,3017924
Fontainebleau,48.40908,2.70177,FR,19717,3018074
Fontaine,45.19275,5.68821,FR,24588,3018095
Floirac,44.83061,-0.52675,FR,16497,3018246
Fleury-les-Aubrais,47.93328,1.91811,FR,21085,3018280
Flers,48.73722,-0.57466,FR,17430,3018339
Firminy,45.38956,4.2886,FR,17902,3018455
Fécamp,49.75787,0.37457,FR,22003,3018794
Faches-Thumesnil,50.58333,3.06667,FR,16163,3019153
Eysines,44.88442,-0.65141,FR,21394,3019193
Évry,48.6328,2.44049,FR,51900,3019256
Évreux,49.02414,1.15082,FR,57795,3019265
Étampes,48.43507,2.16233,FR,23012,3019459
La Baule-Escoublac,47.29221,-2.36395,FR,17775,3019766
Ermont,48.99004,2.25804,FR,28117,3019897
Éragny,49.01667,2.1,FR,15385,3019952
