name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Yerres,48.71785,2.49338,FR,28897,2967245,Yerres,0.16,0.06,0.11,0.11,0.06,0.09,0.02,0.06,0.03,0.03,0.1,0.11
Wittenheim,47.8109,7.32756,FR,15747,2967318,Wittenheim,0.22,0.05,0.07,0.06,0.08,0.05,0.05,0.05,0.04,0.04,0.04,0.13
Wattrelos,50.70118,3.21812,FR,42826,2967421,Wattrelos,0.13,0.03,0.1,0.11,0.07,0.02,0.01,0.11,0.08,0.05,0.06,0.11
Wasquehal,50.67043,3.13382,FR,19320,2967438,Wasquehal,0.13,0.03,0.1,0.11,0.07,0.02,0.01,0.11,0.08,0.05,0.06,0.11
Voiron,45.36471,5.5856,FR,22114,2967758,Voiron,0.2,0.06,0.16,0.05,0.16,0.08,0.05,0.06,0.01,0.13,0.13,0.17
Vitry-sur-Seine,48.78716,2.40332,FR,81001,2967849,Vitry-sur-Seine,0.16,0.06,0.11,0.11,0.06,0.09,0.02,0.06,0.03,0.03,0.1,0.11
Vitry-le-François,48.72472,4.58439,FR,17250,2967856,Vitry-le-François,0.26,0.06,0.1,0.07,0.08,0.05,0.03,0.06,0.04,0.04,0.09,0.16
Vitrolles,43.46,5.24861,FR,38591,2967870,Vitrolles,0.13,0.07,0.15,0.12,0.17,0.1,0.02,0.06,0.0,0.25,0.21,0.05
Vitré,48.12279,-1.20983,FR,17266,2967879,Vitré,0.11,0.06,0.15,0.12,0.05,0.15,0.06,0.05,0.02,0.04,0.14,0.11
Viry-Châtillon,48.67211,2.39318,FR,31131,2967917,Viry-Châtillon,0.16,0.06,0.11,0.11,0.06,0.09,0.02,0.06,0.03,0.03,0.1,0.11
Viroflay,48.80078,2.16181,FR,16137,2967934,Viroflay,0.15,0.06,0.12,0.12,0.06,0.11,0.02,0.06,0.03,0.03,0.1,0.1
Vincennes,48.8486,2.43769,FR,45923,2968054,Vincennes,0.16,0.06,0.11,0.11,0.06,0.09,0.02,0.06,0.03,0.03,0.1,0.11
Villiers-sur-Marne,48.831,2.54844,FR,30252,2968142,Villiers-sur-Marne,0.16,0.06,0.11,0.11,0.06,0.09,0.02,0.06,0.03,0.03,0.1,0.11
Villiers-le-Bel,49.00875,2.39819,FR,27028,2968176,Villiers-le-Bel,0.15,0.05,0.11,0.11,0.05,0.11,0.02,0.06,0.03,0.03,0.1,0.11
Villeurbanne,45.76601,4.8795,FR,131445,2968254,Villeurbanne,0.2,0.06,0.18,0.06,0.13,0.06,0.08,0.06,0.02,0.11,0.14,0.14
Villers-lès-Nancy,48.67333,6.15283,FR,15899,2968368,Villers-lès-Nancy,0.24,0.04,0.08,0.09,0.09,0.06,0.02,0.04,0.04,0.02,0.08,0.15
Villepinte,48.96203,2.53253,FR,37114,2968482,Villepinte,0.15,0.05,0.11,0.11,0.05,0.11,0.02,0.06,0.03,0.03,0.1,0.11
Villeparisis,48.94208,2.61463,FR,23931,2968496,Villeparisis,0.15,0.05,0.11,0.11,0.05,0.11,0.02,0.06,0.03,0.03,0.1,0.11
Villeneuve-sur-Lot,44.40854,0.70415,FR,25869,2968515,Villeneuve-sur-Lot,0.14,0.09,0.14,0.13,0.12,0.12,0.07,0.05,0.03,0.1,0.1,0.12
Villeneuve-Saint-Georges,48.73219,2.44925,FR,30881,2968529,Villeneuve-Saint-Georges,0.16,0.06,0.11,0.11,0.06,0.09,0.02,0.06,0.03,0.03,0.1,0.11
Villeneuve-le-Roi,48.73684,2.40081,FR,17575,2968546,Villeneuve-le-Roi,0.16,0.06,0.11,0.11,0.06,0.09,0.02,0.06,0.03,0.03,0.1,0.11
Villeneuve-la-Garenne,48.93935,2.31478,FR,22036,2968555,Villeneuve-la-Garenne,0.15,0.06,0.12,0.12,0.06,0.11,0.02,0.06,0.02,0.04,0.1,0.11
Villenave-d'Ornon,44.77935,-0.56707,FR,30347,2968620,Villenave-d'Ornon,0.14,0.09,0.15,0.12,0.13,0.12,0.07,0.05,0.03,0.07,0.13,0.1
Villemomble,48.88333,2.5,FR,28001,2968653,Villemomble,0.15,0.05,0.11,0.11,0.05,0.11,0.02,0.06,0.03,0.03,0.1,0.11
Villejuif,48.7939,2.35992,FR,48048,2968705,Villejuif,0.15,0.06,0.12,0.12,0.06,0.11,0.02,0.06,0.03,0.03,0.1,0.1
