name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zugdidi,42.5088,41.87088,GE,41494,610824,Zugdidi,0.13,0.2,0.19,0.23,0.11,0.11,0.25,0.17,0.36,0.34,0.25,0.18
Zest’aponi,42.10916,43.03602,GE,25891,610864,Zest’aponi,0.08,0.07,0.07,0.17,0.09,0.13,0.12,0.11,0.17,0.28,0.26,0.15
Ts’khinvali,42.22764,43.96861,GE,32180,611403,Ts’khinvali,0.01,0.02,0.02,0.2,0.12,0.01,0.2,0.05,0.15,0.33,0.06,0.02
Tqvarch'eli,42.84035,41.68007,GE,17847,611583,Tqvarch'eli,0.14,0.16,0.12,0.2,0.1,0.09,0.24,0.14,0.31,0.32,0.21,0.15
Telavi,41.91978,45.47315,GE,19599,611694,Telavi,0.01,0.02,0.04,0.17,0.2,0.05,0.2,0.08,0.14,0.21,0.08,0.03
Tbilisi,41.69411,44.83368,GE,1049498,611717,Tbilisi,0.01,0.01,0.04,0.08,0.06,0.0,0.03,0.01,0.03,0.09,0.05,0.03
Sokhumi,43.00697,40.9893,GE,65439,611847,Sokhumi,0.14,0.2,0.14,0.2,0.06,0.05,0.23,0.14,0.32,0.3,0.21,0.14
Senak’i,42.27042,42.0675,GE,27752,612053,Senak’i,0.11,0.16,0.15,0.18,0.08,0.07,0.15,0.13,0.23,0.28,0.25,0.2
Samtredia,42.1537,42.33517,GE,28748,612126,Samtredia,0.11,0.15,0.16,0.18,0.07,0.08,0.13,0.1,0.2,0.27,0.26,0.19
Rustavi,41.56271,44.9787,GE,130100,612287,Rustavi,0.01,0.03,0.07,0.11,0.04,0.01,0.06,0.01,0.03,0.09,0.06,0.04
P’ot’i,42.14272,41.67384,GE,41498,612366,P’ot’i,0.12,0.17,0.15,0.18,0.07,0.06,0.19,0.14,0.26,0.29,0.26,0.2
Och’amch’ire,42.71232,41.46863,GE,15517,612652,Och’amch’ire,0.14,0.2,0.14,0.2,0.06,0.05,0.23,0.14,0.32,0.3,0.21,0.14
Marneuli,41.48713,44.80195,GE,18755,613074,Marneuli,0.01,0.01,0.04,0.08,0.06,0.0,0.03,0.01,0.03,0.09,0.05,0.03
Kutaisi,42.26791,42.69459,GE,135201,613607,Kutaisi,0.1,0.1,0.11,0.18,0.08,0.12,0.12,0.1,0.19,0.28,0.29,0.21
Kobuleti,41.82143,41.77921,GE,18600,613762,Kobuleti,0.11,0.13,0.14,0.14,0.06,0.07,0.16,0.17,0.2,0.24,0.32,0.2
Khashuri,41.99414,43.59994,GE,27811,613988,Khashuri,0.05,0.04,0.02,0.16,0.08,0.08,0.13,0.12,0.12,0.22,0.16,0.04
Gori,41.98422,44.11578,GE,45557,614455,Gori,0.01,0.02,0.02,0.2,0.12,0.01,0.2,0.05,0.15,0.33,0.06,0.02
Batumi,41.64228,41.63392,GE,172100,615532,Batumi,0.11,0.13,0.14,0.14,0.06,0.07,0.16,0.17,0.2,0.24,0.32,0.2
Akhaltsikhe,41.63901,42.98262,GE,16943,615860,Akhaltsikhe,0.03,0.02,0.01,0.14,0.12,0.05,0.18,0.14,0.15,0.26,0.13,0.01
Stantsiya Novyy Afon,43.08056,40.83833,GE,26636,615912,Stantsiya Novyy Afon,0.16,0.14,0.1,0.19,0.06,0.05,0.16,0.12,0.25,0.27,0.2,0.13
Ts’q’alt’ubo,42.32858,42.59808,GE,16736,824288,Ts’q’alt’ubo,0.11,0.15,0.16,0.18,0.07,0.08,0.13,0.1,0.2,0.27,0.26,0.19
