name,latitude,longitude,country,population,id
Zaprešić,45.85639,15.80778,HR,18768,3186781
Zagreb,45.81444,15.97798,HR,663592,3186886
Zadar,44.11578,15.22514,HR,67309,3186952
Vukovar,45.35161,19.00225,HR,22255,3187047
Vinkovci,45.28833,18.80472,HR,28111,3187719
Velika Gorica,45.7125,16.07556,HR,30036,3188244
Varaždin,46.30444,16.33778,HR,36187,3188383
Split,43.50891,16.43915,HR,149830,3190261
Solin,43.5432,16.49314,HR,20996,3190359
Slavonski Brod,45.16028,18.01556,HR,45005,3190586
Požega,45.34028,17.68528,HR,16867,3190589
Sisak,45.46611,16.37833,HR,27859,3190813
Šibenik,43.73429,15.8942,HR,31115,3190941
Sesvete,45.83111,16.11639,HR,55313,3190966
Samobor,45.80306,15.71806,HR,16911,3191316
Rijeka,45.32673,14.44241,HR,107964,3191648
Pula,44.86833,13.84806,HR,52220,3192224
Osijek,45.55111,18.69389,HR,75535,3193935
Koprivnica,46.16278,16.8275,HR,22262,3197728
Dubrovnik,42.64125,18.10909,HR,26922,3201047
Đakovo,45.30833,18.41056,HR,16875,3202220
Čakovec,46.38444,16.43389,HR,15078,3202888
Bjelovar,45.89861,16.84889,HR,24392,3203982
Karlovac,45.49167,15.55,HR,41869,3345300
Centar,45.81313,15.97753,HR,37000,6618983
