name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zaprešić,45.85639,15.80778,HR,18768,3186781,Zaprešić,0.02,0.02,0.02,0.05,0.11,0.08,0.11,0.09,0.09,0.11,0.09,0.05
Zagreb,45.81444,15.97798,HR,663592,3186886,Zagreb,0.02,0.02,0.02,0.05,0.09,0.08,0.12,0.08,0.08,0.11,0.09,0.05
Zadar,44.11578,15.22514,HR,67309,3186952,Zadar,0.22,0.03,0.03,0.05,0.02,0.04,0.03,0.01,0.07,0.19,0.13,0.1
Vukovar,45.35161,19.00225,HR,22255,3187047,Vukovar,0.03,0.02,0.02,0.03,0.05,0.04,0.09,0.04,0.07,0.15,0.03,0.03
Vinkovci,45.28833,18.80472,HR,28111,3187719,Vinkovci,0.03,0.02,0.02,0.03,0.05,0.04,0.08,0.04,0.07,0.14,0.03,0.03
Velika Gorica,45.7125,16.07556,HR,30036,3188244,Velika Gorica,0.02,0.02,0.02,0.05,0.09,0.08,0.12,0.08,0.08,0.11,0.09,0.05
Varaždin,46.30444,16.33778,HR,36187,3188383,Varaždin,0.01,0.0,0.01,0.04,0.05,0.08,0.13,0.09,0.1,0.12,0.08,0.05
Split,43.50891,16.43915,HR,149830,3190261,Split,0.27,0.04,0.01,0.06,0.01,0.01,0.02,0.02,0.13,0.18,0.27,0.13
Solin,43.5432,16.49314,HR,20996,3190359,Solin,0.27,0.04,0.01,0.06,0.01,0.01,0.02,0.02,0.13,0.18,0.27,0.13
Slavonski Brod,45.16028,18.01556,HR,45005,3190586,Slavonski Brod,0.02,0.01,0.02,0.03,0.05,0.06,0.09,0.06,0.06,0.13,0.05,0.03
Požega,45.34028,17.68528,HR,16867,3190589,Požega,0.02,0.02,0.02,0.04,0.07,0.07,0.09,0.06,0.06,0.12,0.06,0.03
Sisak,45.46611,16.37833,HR,27859,3190813,Sisak,0.01,0.01,0.02,0.05,0.07,0.08,0.1,0.06,0.07,0.11,0.1,0.04
Šibenik,43.73429,15.8942,HR,31115,3190941,Šibenik,0.27,0.04,0.01,0.06,0.01,0.01,0.02,0.02,0.13,0.18,0.27,0.13
Sesvete,45.83111,16.11639,HR,55313,3190966,Sesvete,0.02,0.02,0.02,0.05,0.09,0.08,0.12,0.08,0.08,0.11,0.09,0.05
Samobor,45.80306,15.71806,HR,16911,3191316,Samobor,0.02,0.02,0.02,0.05,0.11,0.08,0.11,0.09,0.09,0.11,0.09,0.05
Rijeka,45.32673,14.44241,HR,107964,3191648,Rijeka,0.13,0.06,0.02,0.07,0.03,0.07,0.03,0.07,0.07,0.32,0.17,0.11
Pula,44.86833,13.84806,HR,52220,3192224,Pula,0.11,0.05,0.03,0.08,0.02,0.06,0.01,0.03,0.09,0.31,0.17,0.14
Osijek,45.55111,18.69389,HR,75535,3193935,Osijek,0.02,0.01,0.01,0.03,0.04,0.05,0.08,0.03,0.06,0.13,0.03,0.03
Koprivnica,46.16278,16.8275,HR,22262,3197728,Koprivnica,0.02,0.01,0.01,0.04,0.04,0.07,0.11,0.08,0.09,0.13,0.08,0.05
Dubrovnik,42.64125,18.10909,HR,26922,3201047,Dubrovnik,0.32,0.11,0.01,0.14,0.04,0.03,0.02,0.02,0.18,0.38,0.45,0.13
Đakovo,45.30833,18.41056,HR,16875,3202220,Đakovo,0.02,0.01,0.02,0.03,0.05,0.03,0.08,0.05,0.06,0.14,0.04,0.03
Čakovec,46.38444,16.43389,HR,15078,3202888,Čakovec,0.01,0.0,0.01,0.04,0.06,0.08,0.1,0.06,0.11,0.1,0.07,0.04
Bjelovar,45.89861,16.84889,HR,24392,3203982,Bjelovar,0.03,0.01,0.01,0.05,0.05,0.09,0.13,0.07,0.09,0.13,0.1,0.05
Karlovac,45.49167,15.55,HR,41869,3345300,Karlovac,0.02,0.02,0.02,0.05,0.13,0.05,0.07,0.07,0.08,0.1,0.1,0.05
Centar,45.81313,15.97753,HR,37000,6618983,Centar,0.02,0.02,0.02,0.05,0.09,0.08,0.12,0.08,0.08,0.11,0.09,0.05
