name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Törökszentmiklós,47.18333,20.41667,HU,22770,714581,Törökszentmiklós,0.02,0.0,0.01,0.02,0.03,0.03,0.12,0.02,0.03,0.11,0.05,0.01
Tiszaújváros,47.93333,21.08333,HU,17295,714697,Tiszaújváros,0.01,0.0,0.02,0.03,0.05,0.03,0.12,0.03,0.07,0.09,0.04,0.01
Szolnok,47.18333,20.2,HU,71285,715126,Szolnok,0.02,0.0,0.01,0.02,0.03,0.03,0.11,0.02,0.03,0.11,0.05,0.01
Szeged,46.253,20.14824,HU,160766,715429,Szeged,0.03,0.01,0.01,0.03,0.04,0.03,0.07,0.02,0.05,0.1,0.04,0.04
Szarvas,46.86667,20.55,HU,18170,715466,Szarvas,0.02,0.0,0.01,0.03,0.04,0.04,0.07,0.02,0.04,0.11,0.04,0.03
Sátoraljaújhely,48.39492,21.65871,HU,18052,715839,Sátoraljaújhely,0.02,0.0,0.02,0.04,0.06,0.04,0.09,0.04,0.1,0.13,0.03,0.01
Püspökladány,47.31667,21.11667,HU,15990,716301,Püspökladány,0.02,0.0,0.01,0.02,0.03,0.03,0.13,0.02,0.06,0.13,0.04,0.01
Ózd,48.21667,20.3,HU,38476,716671,Ózd,0.01,0.0,0.01,0.03,0.06,0.07,0.16,0.05,0.06,0.09,0.04,0.01
Orosháza,46.56667,20.66667,HU,31373,716736,Orosháza,0.03,0.01,0.01,0.04,0.04,0.04,0.07,0.01,0.05,0.11,0.04,0.04
Nyíregyháza,47.95539,21.71671,HU,117689,716935,Nyíregyháza,0.02,0.0,0.02,0.03,0.05,0.03,0.12,0.02,0.07,0.14,0.04,0.01
Miskolc,48.10306,20.77806,HU,154521,717582,Miskolc,0.01,0.0,0.02,0.03,0.05,0.04,0.13,0.04,0.06,0.09,0.04,0.01
Mezőtúr,47.0,20.63333,HU,19168,717635,Mezőtúr,0.02,0.0,0.01,0.03,0.03,0.03,0.1,0.02,0.04,0.12,0.04,0.02
Mezőkövesd,47.81667,20.58333,HU,17701,717652,Mezőkövesd,0.01,0.0,0.01,0.03,0.04,0.04,0.14,0.03,0.04,0.09,0.04,0.01
Mátészalka,47.95528,22.32348,HU,18718,717771,Mátészalka,0.02,0.0,0.02,0.05,0.06,0.03,0.14,0.02,0.06,0.19,0.04,0.02
Makó,46.21667,20.48333,HU,25135,717902,Makó,0.03,0.01,0.01,0.04,0.04,0.03,0.06,0.01,0.05,0.11,0.04,0.04
Kisvárda,48.21667,22.08333,HU,18190,718739,Kisvárda,0.02,0.0,0.03,0.04,0.06,0.04,0.11,0.03,0.07,0.15,0.04,0.02
Kazincbarcika,48.25,20.63333,HU,32396,719311,Kazincbarcika,0.01,0.0,0.01,0.03,0.06,0.04,0.12,0.03,0.07,0.08,0.04,0.01
Karcag,47.31667,20.93333,HU,22370,719404,Karcag,0.02,0.0,0.01,0.02,0.03,0.03,0.13,0.02,0.06,0.13,0.04,0.01
Hódmezővásárhely,46.41667,20.33333,HU,44009,719965,Hódmezővásárhely,0.03,0.01,0.01,0.03,0.04,0.02,0.05,0.02,0.06,0.11,0.04,0.03
Hajdúszoboszló,47.45,21.4,HU,23781,720276,Hajdúszoboszló,0.02,0.0,0.02,0.02,0.04,0.02,0.12,0.02,0.07,0.15,0.04,0.01
Hajdúnánás,47.85,21.43333,HU,18032,720284,Hajdúnánás,0.02,0.0,0.02,0.02,0.05,0.02,0.13,0.02,0.07,0.14,0.04,0.01
Hajdúböszörmény,47.66667,21.51667,HU,31957,720292,Hajdúböszörmény,0.02,0.0,0.02,0.02,0.05,0.02,0.13,0.02,0.07,0.14,0.04,0.01
Gyula,46.65,21.28333,HU,32269,720334,Gyula,0.02,0.01,0.02,0.04,0.04,0.03,0.1,0.01,0.05,0.13,0.04,0.04
Gyomaendrőd,46.93333,20.83333,HU,15194,720364,Gyomaendrőd,0.02,0.0,0.01,0.03,0.03,0.03,0.1,0.02,0.04,0.12,0.04,0.02
Eger,47.90265,20.37329,HU,53876,721239,Eger,0.01,0.0,0.01,0.02,0.04,0.06,0.16,0.03,0.04,0.09,0.04,0.01
Debrecen,47.53167,21.62444,HU,202402,721472,Debrecen,0.02,0.0,0.02,0.02,0.04,0.02,0.12,0.02,0.07,0.15,0.04,0.01
Csongrád,46.71332,20.14241,HU,18580,721592,Csongrád,0.02,0.0,0.01,0.02,0.04,0.04,0.06,0.02,0.04,0.11,0.05,0.02
Békéscsaba,46.68333,21.1,HU,59732,722437,Békéscsaba,0.02,0.01,0.01,0.04,0.04,0.03,0.09,0.02,0.05,0.12,0.04,0.03
