name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Wexford,52.33417,-6.4575,IE,19913,2960964,Wexford,0.06,0.1,0.02,0.12,0.07,0.04,0.08,0.05,0.12,0.19,0.24,0.22
Waterford,52.25833,-7.11194,IE,53504,2960992,Waterford,0.07,0.11,0.02,0.12,0.08,0.04,0.09,0.05,0.12,0.19,0.25,0.22
Tralee,52.27042,-9.70264,IE,22941,2961123,Tralee,0.09,0.19,0.04,0.13,0.14,0.11,0.14,0.16,0.14,0.25,0.27,0.18
Tallaght,53.2859,-6.37344,IE,80339,2961284,Tallaght,0.06,0.07,0.02,0.13,0.09,0.06,0.07,0.13,0.18,0.12,0.24,0.16
Swords,53.45972,-6.21806,IE,42738,2961297,Swords,0.05,0.08,0.02,0.1,0.08,0.05,0.05,0.1,0.15,0.12,0.21,0.15
Sligo,54.26969,-8.46943,IE,19199,2961423,Sligo,0.11,0.19,0.09,0.14,0.11,0.12,0.09,0.15,0.17,0.25,0.18,0.17
Rathfarnham,53.30056,-6.28278,IE,17333,2961911,Rathfarnham,0.05,0.08,0.02,0.1,0.08,0.05,0.05,0.1,0.15,0.12,0.21,0.15
Droichead Nua,53.18194,-6.79667,IE,22742,2962290,Droichead Nua,0.06,0.09,0.02,0.12,0.11,0.06,0.08,0.11,0.15,0.12,0.21,0.14
Navan,53.65278,-6.68139,IE,24545,2962308,Navan,0.06,0.09,0.03,0.13,0.08,0.06,0.06,0.1,0.16,0.13,0.17,0.15
Naas,53.21583,-6.66694,IE,20713,2962334,Naas,0.06,0.09,0.02,0.12,0.11,0.06,0.08,0.11,0.15,0.12,0.21,0.14
An Muileann gCearr,53.52466,-7.3385,IE,17262,2962361,An Muileann gCearr,0.08,0.1,0.03,0.1,0.08,0.07,0.07,0.1,0.16,0.15,0.19,0.15
Malahide,53.45083,-6.15444,IE,16550,2962725,Malahide,0.05,0.08,0.02,0.1,0.08,0.05,0.05,0.1,0.15,0.12,0.21,0.15
