name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zhanaozen,43.34116,52.86192,KZ,103598,607610,Zhanaozen,0.0,0.0,0.05,0.02,0.02,0.03,0.02,0.0,0.0,0.05,0.02,0.01
Shalqar,47.83172,59.62111,KZ,27399,608359,Shalqar,0.0,0.0,0.01,0.03,0.06,0.09,0.08,0.01,0.01,0.04,0.02,0.0
Shalkar,48.03333,48.9,KZ,27072,608362,Shalkar,0.01,0.01,0.0,0.02,0.03,0.04,0.03,0.02,0.02,0.07,0.02,0.0
Oral,51.23333,51.36667,KZ,330000,608668,Oral,0.0,0.0,0.0,0.03,0.05,0.08,0.07,0.02,0.02,0.05,0.01,0.01
Kandyagash,49.46912,57.41914,KZ,28196,608679,Kandyagash,0.0,0.0,0.0,0.03,0.1,0.11,0.15,0.02,0.01,0.06,0.01,0.0
Qulsary,46.95307,54.01978,KZ,51216,609123,Qulsary,0.0,0.0,0.01,0.07,0.03,0.12,0.02,0.0,0.01,0.05,0.03,0.0
Khromtau,50.25161,58.43574,KZ,23715,609404,Khromtau,0.0,0.0,0.0,0.03,0.08,0.06,0.19,0.02,0.01,0.07,0.01,0.0
Karagandy,49.80187,73.10211,KZ,497777,609655,Karagandy,0.0,0.0,0.04,0.01,0.04,0.06,0.08,0.04,0.04,0.04,0.0,0.01
Embi,48.82981,58.15042,KZ,18760,609924,Embi,0.0,0.0,0.0,0.03,0.1,0.15,0.12,0.01,0.01,0.07,0.01,0.0
Balykshi,47.06667,51.86667,KZ,19260,610445,Balykshi,0.0,0.0,0.0,0.07,0.02,0.06,0.01,0.02,0.02,0.06,0.04,0.0
Atyrau,47.11667,51.88333,KZ,290700,610529,Atyrau,0.0,0.0,0.0,0.06,0.02,0.05,0.01,0.01,0.01,0.06,0.04,0.0
Aktobe,50.27969,57.20718,KZ,500757,610611,Aktobe,0.0,0.0,0.0,0.03,0.11,0.12,0.18,0.03,0.02,0.06,0.01,0.0
Shevchenko,43.64806,51.17222,KZ,147443,610612,Shevchenko,0.0,0.0,0.05,0.02,0.02,0.02,0.01,0.0,0.0,0.03,0.05,0.02
Aqsay,51.1681,52.99782,KZ,34799,610613,Aqsay,0.0,0.0,0.0,0.01,0.07,0.1,0.1,0.01,0.02,0.04,0.01,0.01
Altay,49.73626,84.25416,KZ,44929,1516438,Altay,0.0,0.0,0.02,0.02,0.07,0.05,0.16,0.04,0.07,0.06,0.0,0.0
Zhosaly,45.48778,64.07806,KZ,20065,1516519,Zhosaly,0.0,0.01,0.04,0.01,0.04,0.02,0.01,0.0,0.0,0.02,0.05,0.01
Zhezqazghan,47.78746,67.71118,KZ,104357,1516589,Zhezqazghan,0.0,0.0,0.02,0.01,0.04,0.08,0.08,0.01,0.0,0.03,0.01,0.0
Zhitikara,52.19019,61.19894,KZ,43104,1516601,Zhitikara,0.0,0.0,0.0,0.02,0.13,0.11,0.06,0.03,0.04,0.04,0.0,0.0
Zhangatas,43.56222,69.73428,KZ,33492,1516788,Zhangatas,0.05,0.06,0.09,0.12,0.16,0.06,0.04,0.0,0.0,0.02,0.14,0.04
Novokazalinsk,45.84806,62.15254,KZ,35883,1516789,Novokazalinsk,0.0,0.01,0.04,0.02,0.05,0.03,0.01,0.0,0.0,0.02,0.04,0.0
Taraz,42.9,71.36667,KZ,358153,1516905,Taraz,0.03,0.02,0.07,0.11,0.11,0.06,0.05,0.02,0.0,0.04,0.11,0.02
Zaysan,47.46657,84.87144,KZ,17600,1517060,Zaysan,0.0,0.0,0.01,0.01,0.02,0.03,0.11,0.01,0.03,0.04,0.01,0.0
Yanykurgan,43.90652,67.24637,KZ,21339,1517323,Yanykurgan,0.03,0.06,0.05,0.05,0.05,0.04,0.02,0.0,0.0,0.0,0.05,0.02
Turar Ryskulov,42.5334,70.3496,KZ,18421,1517501,Turar Ryskulov,0.07,0.07,0.13,0.22,0.22,0.12,0.03,0.01,0.0,0.06,0.17,0.07
Ushtobe,45.25258,77.98284,KZ,20492,1517637,Ushtobe,0.02,0.0,0.04,0.02,0.04,0.08,0.18,0.01,0.01,0.02,0.04,0.01
Turkestan,43.29733,68.25175,KZ,227098,1517945,Turkestan,0.04,0.08,0.06,0.07,0.15,0.04,0.01,0.0,0.0,0.0,0.09,0.03
Temirtau,50.05494,72.96464,KZ,170600,1518262,Temirtau,0.0,0.0,0.03,0.01,0.03,0.05,0.07,0.04,0.04,0.04,0.0,0.01
Tekeli,44.8678,78.72807,KZ,26678,1518296,Tekeli,0.02,0.0,0.04,0.06,0.09,0.17,0.31,0.02,0.03,0.02,0.04,0.0
Tasbuget,44.77018,65.55461,KZ,16455,1518431,Tasbuget,0.0,0.01,0.04,0.03,0.04,0.02,0.02,0.0,0.0,0.02,0.03,0.02
Talghar,43.30235,77.23811,KZ,42194,1518518,Talghar,0.01,0.0,0.1,0.14,0.16,0.17,0.12,0.02,0.03,0.06,0.08,0.0
Taldykorgan,45.01556,78.37389,KZ,116558,1518542,Taldykorgan,0.02,0.0,0.04,0.04,0.06,0.13,0.24,0.01,0.02,0.02,0.05,0.01
Shymkent,42.3,69.6,KZ,1200000,1518980,Shymkent,0.07,0.1,0.18,0.14,0.19,0.12,0.01,0.01,0.0,0.05,0.16,0.07
Chu,43.60334,73.75919,KZ,39785,1519030,Chu,0.03,0.02,0.07,0.09,0.1,0.18,0.17,0.03,0.01,0.06,0.12,0.01
Shemonaikha,50.62899,81.91092,KZ,20087,1519226,Shemonaikha,0.0,0.0,0.02,0.0,0.03,0.07,0.1,0.01,0.05,0.06,0.0,0.0
Shchuchinsk,52.93592,70.18895,KZ,47290,1519244,Shchuchinsk,0.0,0.0,0.0,0.02,0.07,0.07,0.09,0.03,0.03,0.02,0.0,0.0
Shakhtinsk,49.70885,72.59212,KZ,41602,1519327,Shakhtinsk,0.01,0.0,0.04,0.01,0.03,0.04,0.05,0.03,0.03,0.04,0.0,0.01
Semey,50.42675,80.26669,KZ,292780,1519422,Semey,0.0,0.0,0.02,0.01,0.02,0.03,0.07,0.01,0.03,0.03,0.01,0.0
Saryaghash,41.46042,69.16791,KZ,25139,1519673,Saryaghash,0.05,0.11,0.18,0.17,0.19,0.08,0.01,0.0,0.0,0.03,0.14,0.08
Sarkand,45.41322,79.91713,KZ,76919,1519691,Sarkand,0.01,0.0,0.03,0.03,0.1,0.15,0.18,0.04,0.02,0.03,0.03,0.0
Soran,49.7908,72.83744,KZ,42552,1519725,Soran,0.0,0.0,0.04,0.01,0.03,0.05,0.06,0.04,0.03,0.04,0.0,0.01
Rudnyy,52.97244,63.11055,KZ,124000,1519843,Rudnyy,0.0,0.0,0.0,0.02,0.13,0.09,0.09,0.03,0.06,0.03,0.0,0.0
Kyzylorda,44.85278,65.50917,KZ,354800,1519922,Kyzylorda,0.0,0.01,0.04,0.03,0.04,0.02,0.02,0.0,0.0,0.02,0.03,0.02
Kostanay,53.21435,63.62463,KZ,210000,1519928,Kostanay,0.0,0.0,0.0,0.02,0.12,0.1,0.1,0.03,0.07,0.03,0.0,0.0
Karatau,43.17869,70.46768,KZ,37881,1519938,Karatau,0.03,0.03,0.06,0.1,0.12,0.06,0.05,0.0,0.0,0.05,0.14,0.04
Konayev,43.86681,77.06304,KZ,42167,1519948,Konayev,0.02,0.01,0.06,0.08,0.04,0.07,0.12,0.0,0.02,0.02,0.08,0.0
Petropavl,54.86667,69.15,KZ,200920,1520172,Petropavl,0.0,0.0,0.0,0.02,0.05,0.08,0.08,0.04,0.03,0.03,0.0,0.01
Pavlodar,52.28333,76.96667,KZ,329002,1520240,Pavlodar,0.0,0.0,0.01,0.01,0.06,0.01,0.07,0.05,0.04,0.01,0.0,0.0
Zharkent,44.1666,80.00655,KZ,34422,1520253,Zharkent,0.0,0.0,0.01,0.03,0.04,0.04,0.06,0.01,0.01,0.01,0.03,0.0
Ust-Kamenogorsk,49.97143,82.60586,KZ,319067,1520316,Ust-Kamenogorsk,0.0,0.0,0.02,0.01,0.05,0.06,0.08,0.01,0.06,0.05,0.0,0.0
Sarykemer,43.0,71.5,KZ,15132,1520947,Sarykemer,0.04,0.02,0.07,0.11,0.12,0.06,0.05,0.01,0.0,0.04,0.12,0.02
Merke,42.86976,73.18463,KZ,15934,1520969,Merke,0.02,0.02,0.1,0.19,0.16,0.13,0.08,0.03,0.01,0.07,0.13,0.01
Makinsk,52.6329,70.41911,KZ,17711,1521230,Makinsk,0.0,0.0,0.0,0.02,0.05,0.08,0.08,0.03,0.03,0.01,0.0,0.0
Lisakovsk,52.54488,62.49893,KZ,40000,1521315,Lisakovsk,0.0,0.0,0.0,0.02,0.14,0.08,0.05,0.03,0.06,0.03,0.0,0.0
