name,latitude,longitude,country,population,id
Visaginas,55.59678,26.43984,LT,18024,593063
Vilnius,54.68916,25.2798,LT,542366,593116
Utena,55.49764,25.59918,LT,25397,593672
Ukmerge,55.25,24.75,LT,20154,593733
Telsiai,55.98139,22.24722,LT,21294,593926
Taurage,55.25222,22.28972,LT,21203,593959
Šiauliai,55.93333,23.31667,LT,99462,594739
Radviliskis,55.81667,23.53333,LT,16344,595449
Plunge,55.91139,21.84417,LT,18904,595689
Panevėžys,55.73186,24.35983,LT,85885,596128
Palanga,55.9175,21.06861,LT,18207,596238
Fabijoniškės,54.73333,25.24167,LT,37000,596479
Naujoji Vilnia,54.69515,25.41969,LT,36800,596713
Mazeikiai,56.31667,22.33333,LT,32470,597188
Marijampolė,54.55991,23.35412,LT,34975,597231
Kretinga,55.8888,21.24448,LT,17249,597989
Klaipėda,55.7068,21.13912,LT,172292,598098
Kėdainiai,55.28782,23.97275,LT,22677,598272
Kaunas,54.90272,23.90961,LT,289380,598316
Jonava,55.08014,24.27544,LT,26423,598818
Gargždai,55.70951,21.39441,LT,16433,599506
Antakalnis,54.70781,25.31706,LT,40000,601041
Alytus,54.39635,24.04142,LT,49195,601084
Aleksotas,54.88037,23.90842,LT,24270,601138
Dainava (Kaunas),54.91525,23.96831,LT,70000,6618486
Naujininkai,54.66425,25.28418,LT,33500,6955408
Karoliniškės,54.69034,25.21903,LT,31200,8714608
Šilainiai,54.92911,23.88599,LT,40600,9610004
Eiguliai,54.93133,23.93243,LT,40453,9610008
Pašilaičiai,54.73429,25.21912,LT,33056,10062599
Pilaitė,54.69981,25.18393,LT,20320,10062600
Justiniškės,54.71664,25.2174,LT,31000,10062601
Šeškinė,54.70972,25.25053,LT,36000,10062602
Lazdynai,54.66815,25.20684,LT,31097,10062605
Vilkpėdė,54.66969,25.2477,LT,21346,10062606
Naujamiestis,54.67951,25.26855,LT,28157,10062607
