name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Visaginas,55.59678,26.43984,LT,18024,593063,Visaginas,0.03,0.0,0.01,0.04,0.04,0.04,0.13,0.11,0.05,0.05,0.02,0.02
Vilnius,54.68916,25.2798,LT,542366,593116,Vilnius,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Utena,55.49764,25.59918,LT,25397,593672,Utena,0.04,0.0,0.01,0.05,0.04,0.04,0.13,0.1,0.08,0.06,0.02,0.03
Ukmerge,55.25,24.75,LT,20154,593733,Ukmerge,0.05,0.0,0.01,0.07,0.03,0.03,0.14,0.1,0.07,0.06,0.02,0.04
Telsiai,55.98139,22.24722,LT,21294,593926,Telsiai,0.05,0.01,0.01,0.08,0.04,0.06,0.1,0.09,0.04,0.09,0.02,0.04
Taurage,55.25222,22.28972,LT,21203,593959,Taurage,0.07,0.01,0.01,0.08,0.05,0.04,0.11,0.06,0.04,0.06,0.02,0.05
Šiauliai,55.93333,23.31667,LT,99462,594739,Šiauliai,0.04,0.0,0.01,0.07,0.05,0.05,0.09,0.07,0.03,0.05,0.03,0.03
Radviliskis,55.81667,23.53333,LT,16344,595449,Radviliskis,0.05,0.0,0.01,0.07,0.07,0.04,0.1,0.08,0.03,0.05,0.03,0.03
Plunge,55.91139,21.84417,LT,18904,595689,Plunge,0.06,0.01,0.01,0.08,0.03,0.05,0.12,0.09,0.05,0.1,0.02,0.04
Panevėžys,55.73186,24.35983,LT,85885,596128,Panevėžys,0.05,0.0,0.01,0.06,0.04,0.03,0.1,0.08,0.03,0.06,0.02,0.03
Palanga,55.9175,21.06861,LT,18207,596238,Palanga,0.06,0.01,0.02,0.07,0.01,0.03,0.08,0.1,0.1,0.13,0.02,0.05
Fabijoniškės,54.73333,25.24167,LT,37000,596479,Fabijoniškės,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Naujoji Vilnia,54.69515,25.41969,LT,36800,596713,Naujoji Vilnia,0.03,0.0,0.01,0.06,0.03,0.05,0.19,0.11,0.06,0.06,0.02,0.04
Mazeikiai,56.31667,22.33333,LT,32470,597188,Mazeikiai,0.04,0.01,0.01,0.07,0.03,0.05,0.09,0.08,0.04,0.08,0.02,0.03
Marijampolė,54.55991,23.35412,LT,34975,597231,Marijampolė,0.04,0.01,0.01,0.09,0.03,0.04,0.15,0.08,0.04,0.04,0.02,0.04
Kretinga,55.8888,21.24448,LT,17249,597989,Kretinga,0.06,0.01,0.02,0.07,0.02,0.04,0.11,0.09,0.06,0.11,0.01,0.05
Klaipėda,55.7068,21.13912,LT,172292,598098,Klaipėda,0.07,0.01,0.02,0.06,0.03,0.03,0.12,0.08,0.07,0.11,0.02,0.05
Kėdainiai,55.28782,23.97275,LT,22677,598272,Kėdainiai,0.05,0.01,0.01,0.07,0.03,0.03,0.12,0.08,0.03,0.06,0.02,0.04
Kaunas,54.90272,23.90961,LT,289380,598316,Kaunas,0.05,0.01,0.01,0.09,0.03,0.03,0.14,0.09,0.04,0.05,0.02,0.05
Jonava,55.08014,24.27544,LT,26423,598818,Jonava,0.05,0.01,0.01,0.08,0.03,0.03,0.14,0.09,0.05,0.06,0.02,0.05
Gargždai,55.70951,21.39441,LT,16433,599506,Gargždai,0.07,0.01,0.02,0.07,0.04,0.05,0.13,0.07,0.07,0.1,0.02,0.05
Antakalnis,54.70781,25.31706,LT,40000,601041,Antakalnis,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Alytus,54.39635,24.04142,LT,49195,601084,Alytus,0.04,0.01,0.01,0.09,0.02,0.04,0.15,0.08,0.05,0.05,0.02,0.05
Aleksotas,54.88037,23.90842,LT,24270,601138,Aleksotas,0.05,0.01,0.01,0.09,0.03,0.03,0.14,0.09,0.04,0.05,0.02,0.05
Dainava (Kaunas),54.91525,23.96831,LT,70000,6618486,Dainava (Kaunas),0.05,0.01,0.01,0.09,0.03,0.03,0.14,0.09,0.04,0.05,0.02,0.05
Naujininkai,54.66425,25.28418,LT,33500,6955408,Naujininkai,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Karoliniškės,54.69034,25.21903,LT,31200,8714608,Karoliniškės,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Šilainiai,54.92911,23.88599,LT,40600,9610004,Šilainiai,0.05,0.01,0.01,0.09,0.03,0.03,0.14,0.09,0.04,0.05,0.02,0.05
Eiguliai,54.93133,23.93243,LT,40453,9610008,Eiguliai,0.05,0.01,0.01,0.09,0.03,0.03,0.14,0.09,0.04,0.05,0.02,0.05
Pašilaičiai,54.73429,25.21912,LT,33056,10062599,Pašilaičiai,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Pilaitė,54.69981,25.18393,LT,20320,10062600,Pilaitė,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Justiniškės,54.71664,25.2174,LT,31000,10062601,Justiniškės,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Šeškinė,54.70972,25.25053,LT,36000,10062602,Šeškinė,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Lazdynai,54.66815,25.20684,LT,31097,10062605,Lazdynai,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Vilkpėdė,54.66969,25.2477,LT,21346,10062606,Vilkpėdė,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
Naujamiestis,54.67951,25.26855,LT,28157,10062607,Naujamiestis,0.04,0.0,0.01,0.07,0.03,0.04,0.19,0.1,0.06,0.06,0.02,0.04
