name,latitude,longitude,country,population,id
Valmiera,57.54108,25.42751,LV,26963,453754
Ventspils,57.39485,21.56121,LV,42644,454310
Tukums,56.96764,23.15554,LV,18348,454768
Salaspils,56.86014,24.36544,LV,17606,455898
Riga,56.946,24.10589,LV,742572,456172
Rēzekne,56.51028,27.34,LV,38340,456202
Ogre,56.8162,24.61401,LV,26760,457065
Liepāja,56.50474,21.01085,LV,85132,457954
Jūrmala,56.968,23.77038,LV,54088,459201
Jelgava,56.65,23.71278,LV,61791,459279
Jēkabpils,56.49903,25.85735,LV,27078,459283
Daugavpils,55.88333,26.53333,LV,111564,460413
Dārzciems,57.48253,26.44238,LV,18956,460433
Cēsis,57.31188,25.27456,LV,18198,460570
