name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Valmiera,57.54108,25.42751,LV,26963,453754,Valmiera,0.01,0.0,0.01,0.04,0.09,0.08,0.1,0.14,0.03,0.07,0.07,0.03
Ventspils,57.39485,21.56121,LV,42644,454310,Ventspils,0.02,0.0,0.02,0.04,0.05,0.05,0.07,0.14,0.05,0.08,0.07,0.07
Tukums,56.96764,23.15554,LV,18348,454768,Tukums,0.01,0.0,0.01,0.03,0.03,0.07,0.09,0.15,0.04,0.09,0.06,0.03
Salaspils,56.86014,24.36544,LV,17606,455898,Salaspils,0.01,0.0,0.01,0.04,0.04,0.09,0.09,0.13,0.05,0.08,0.07,0.04
Riga,56.946,24.10589,LV,742572,456172,Riga,0.01,0.0,0.01,0.04,0.03,0.08,0.07,0.2,0.05,0.1,0.08,0.04
Rēzekne,56.51028,27.34,LV,38340,456202,Rēzekne,0.01,0.0,0.01,0.04,0.18,0.11,0.14,0.15,0.03,0.05,0.06,0.01
Ogre,56.8162,24.61401,LV,26760,457065,Ogre,0.01,0.0,0.01,0.04,0.06,0.09,0.1,0.14,0.05,0.08,0.08,0.04
Liepāja,56.50474,21.01085,LV,85132,457954,Liepāja,0.02,0.0,0.01,0.04,0.03,0.07,0.08,0.17,0.04,0.1,0.07,0.08
Jūrmala,56.968,23.77038,LV,54088,459201,Jūrmala,0.01,0.0,0.01,0.04,0.03,0.08,0.08,0.16,0.05,0.1,0.07,0.04
Jelgava,56.65,23.71278,LV,61791,459279,Jelgava,0.01,0.0,0.01,0.03,0.04,0.08,0.09,0.11,0.05,0.07,0.06,0.03
Jēkabpils,56.49903,25.85735,LV,27078,459283,Jēkabpils,0.01,0.0,0.01,0.05,0.1,0.11,0.11,0.15,0.05,0.07,0.07,0.03
Daugavpils,55.88333,26.53333,LV,111564,460413,Daugavpils,0.01,0.0,0.01,0.05,0.15,0.08,0.11,0.15,0.05,0.06,0.05,0.02
Dārzciems,57.48253,26.44238,LV,18956,460433,Dārzciems,0.01,0.0,0.01,0.04,0.12,0.1,0.1,0.15,0.04,0.08,0.07,0.02
Cēsis,57.31188,25.27456,LV,18198,460570,Cēsis,0.02,0.0,0.01,0.04,0.08,0.11,0.11,0.19,0.05,0.08,0.07,0.03
