name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zelino,41.98028,21.06417,MK,25422,783926,Zelino,0.0,0.03,0.04,0.1,0.04,0.07,0.04,0.03,0.04,0.09,0.05,0.05
Vinica,41.88278,22.50917,MK,18218,784424,Vinica,0.0,0.03,0.03,0.07,0.06,0.01,0.02,0.01,0.01,0.06,0.01,0.01
Veles,41.71556,21.77556,MK,57873,785058,Veles,0.0,0.03,0.03,0.04,0.03,0.0,0.01,0.01,0.0,0.06,0.01,0.01
Tetovo,42.00973,20.97155,MK,63176,785082,Tetovo,0.0,0.03,0.04,0.1,0.04,0.07,0.04,0.03,0.04,0.09,0.05,0.05
Tearce,42.07666,21.0531,MK,23096,785113,Tearce,0.0,0.03,0.04,0.1,0.04,0.07,0.04,0.03,0.04,0.09,0.05,0.05
Studeničani,41.92208,21.53483,MK,18219,785345,Studeničani,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Strumica,41.4375,22.64333,MK,33825,785380,Strumica,0.01,0.08,0.04,0.06,0.05,0.02,0.02,0.01,0.01,0.1,0.07,0.02
Struga,41.17799,20.67784,MK,37387,785387,Struga,0.0,0.02,0.03,0.08,0.06,0.03,0.01,0.01,0.02,0.1,0.04,0.04
Shtip,41.74583,22.19583,MK,48279,785482,Shtip,0.0,0.03,0.03,0.04,0.03,0.0,0.01,0.01,0.0,0.06,0.01,0.01
Skopje,41.99646,21.43141,MK,474889,785842,Skopje,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Saraj,42.0,21.32778,MK,25379,786093,Saraj,0.01,0.03,0.04,0.06,0.03,0.03,0.02,0.0,0.01,0.07,0.02,0.02
Resen,41.08934,21.01092,MK,16539,786341,Resen,0.0,0.03,0.03,0.07,0.08,0.03,0.02,0.01,0.01,0.11,0.03,0.02
Radovis,41.63833,22.46472,MK,24984,786565,Radovis,0.01,0.05,0.03,0.06,0.04,0.02,0.02,0.0,0.01,0.07,0.03,0.01
Prilep,41.34514,21.55504,MK,73814,786735,Prilep,0.0,0.04,0.03,0.06,0.05,0.02,0.01,0.01,0.0,0.1,0.03,0.01
Ohrid,41.11722,20.80194,MK,42033,787487,Ohrid,0.0,0.02,0.03,0.08,0.06,0.03,0.01,0.01,0.02,0.1,0.04,0.04
Negotino,41.87792,20.88389,MK,17518,787715,Negotino,0.0,0.03,0.04,0.1,0.04,0.07,0.04,0.03,0.04,0.09,0.05,0.05
Negotino,41.48456,22.09056,MK,19515,787716,Negotino,0.0,0.03,0.03,0.04,0.03,0.0,0.01,0.01,0.0,0.06,0.01,0.01
Lipkovo,42.15639,21.58528,MK,28102,788654,Lipkovo,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Kumanovo,42.13222,21.71444,MK,75051,788886,Kumanovo,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Kriva Palanka,42.20088,22.33244,MK,20820,789045,Kriva Palanka,0.0,0.02,0.03,0.08,0.02,0.03,0.02,0.01,0.01,0.05,0.02,0.02
Kochani,41.91639,22.41278,MK,34258,789403,Kochani,0.0,0.03,0.03,0.07,0.06,0.01,0.02,0.01,0.01,0.06,0.01,0.01
Kičevo,41.51267,20.95886,MK,31123,789527,Kičevo,0.0,0.03,0.03,0.07,0.08,0.03,0.02,0.01,0.01,0.11,0.03,0.02
Kavadarci,41.43306,22.01194,MK,38799,789541,Kavadarci,0.0,0.03,0.03,0.04,0.03,0.0,0.01,0.01,0.0,0.06,0.01,0.01
Kamenjane,41.94568,20.92894,MK,15376,789611,Kamenjane,0.0,0.03,0.04,0.1,0.04,0.07,0.04,0.03,0.04,0.09,0.05,0.05
Gostivar,41.79601,20.90819,MK,50974,790295,Gostivar,0.0,0.02,0.03,0.07,0.05,0.06,0.02,0.01,0.02,0.09,0.02,0.03
Gevgelija,41.14166,22.50141,MK,20664,790744,Gevgelija,0.01,0.07,0.03,0.06,0.04,0.01,0.01,0.0,0.02,0.11,0.08,0.02
Gjorče Petro,42.00778,21.35306,MK,41000,791149,Gjorče Petro,0.01,0.03,0.04,0.06,0.03,0.03,0.02,0.0,0.01,0.07,0.02,0.02
Delcevo,41.96722,22.76944,MK,17415,791559,Delcevo,0.0,0.04,0.04,0.06,0.02,0.02,0.02,0.0,0.02,0.03,0.01,0.01
Debar,41.52444,20.52421,MK,18074,791606,Debar,0.03,0.09,0.09,0.21,0.07,0.04,0.05,0.02,0.08,0.08,0.15,0.13
Brvenica,41.96722,20.98083,MK,16267,792227,Brvenica,0.0,0.03,0.04,0.1,0.04,0.07,0.04,0.03,0.04,0.09,0.05,0.05
Bogovinje,41.92361,20.91361,MK,15166,792501,Bogovinje,0.0,0.03,0.04,0.1,0.04,0.07,0.04,0.03,0.04,0.09,0.05,0.05
Bitola,41.03143,21.33474,MK,69287,792578,Bitola,0.0,0.03,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.1,0.02,0.01
Šuto Orizare,42.04,21.425,MK,20800,833258,Šuto Orizare,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Butel,42.03083,21.44667,MK,36154,833260,Butel,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Čair,42.01528,21.44111,MK,64773,833262,Čair,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Ilinden,41.99451,21.58002,MK,16406,833357,Ilinden,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Kisela Voda,41.94889,21.50278,MK,58216,863675,Kisela Voda,0.01,0.03,0.04,0.05,0.02,0.01,0.02,0.01,0.0,0.06,0.02,0.02
Centar Župa,41.47849,20.55945,MK,45412,7886881,Centar Župa,0.03,0.09,0.09,0.21,0.07,0.04,0.05,0.02,0.08,0.08,0.15,0.13
