name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zwolle,52.5125,6.09444,NL,111805,2743477,Zwolle,0.09,0.02,0.04,0.08,0.13,0.08,0.09,0.03,0.06,0.06,0.05,0.09
Zwijndrecht,51.8175,4.63333,NL,45696,2743493,Zwijndrecht,0.09,0.02,0.03,0.06,0.11,0.07,0.1,0.03,0.05,0.07,0.06,0.1
Zutphen,52.13833,6.20139,NL,36188,2743608,Zutphen,0.09,0.02,0.04,0.08,0.12,0.08,0.09,0.04,0.06,0.07,0.05,0.09
Zoetermeer,52.0575,4.49306,NL,115845,2743856,Zoetermeer,0.09,0.02,0.03,0.06,0.11,0.06,0.09,0.02,0.06,0.07,0.07,0.12
Zevenaar,51.93,6.07083,NL,26063,2743949,Zevenaar,0.09,0.01,0.04,0.07,0.11,0.07,0.1,0.04,0.06,0.07,0.04,0.1
Zeist,52.09,5.23333,NL,60949,2743977,Zeist,0.09,0.02,0.03,0.07,0.11,0.07,0.11,0.03,0.05,0.07,0.05,0.1
Zeewolde,52.33,5.54167,NL,19022,2743997,Zeewolde,0.09,0.02,0.03,0.08,0.12,0.07,0.1,0.03,0.05,0.07,0.05,0.1
Zandvoort,52.37125,4.53306,NL,16868,2744042,Zandvoort,0.1,0.03,0.02,0.07,0.1,0.06,0.09,0.02,0.07,0.13,0.08,0.13
Zaltbommel,51.81,5.24444,NL,26383,2744102,Zaltbommel,0.09,0.02,0.04,0.07,0.1,0.06,0.1,0.03,0.05,0.07,0.05,0.1
Zaanstad,52.45313,4.81356,NL,140085,2744114,Zaanstad,0.09,0.02,0.03,0.06,0.1,0.06,0.1,0.02,0.06,0.11,0.08,0.12
Zaandam,52.43854,4.82643,NL,71708,2744118,Zaandam,0.09,0.02,0.03,0.06,0.1,0.06,0.1,0.02,0.06,0.11,0.08,0.12
Woerden,52.085,4.88333,NL,48431,2744248,Woerden,0.08,0.02,0.03,0.07,0.11,0.07,0.11,0.02,0.05,0.07,0.06,0.11
Wisch,51.92648,6.41705,NL,19496,2744324,Wisch,0.1,0.02,0.05,0.07,0.12,0.07,0.09,0.04,0.07,0.08,0.04,0.1
Winterswijk,51.9725,6.71944,NL,29623,2744332,Winterswijk,0.1,0.01,0.05,0.08,0.11,0.07,0.08,0.04,0.07,0.07,0.04,0.1
Winschoten,53.14417,7.03472,NL,18506,2744344,Winschoten,0.07,0.01,0.04,0.08,0.13,0.09,0.1,0.03,0.12,0.05,0.06,0.08
Wijk bij Duurstede,51.97417,5.34167,NL,17465,2744483,Wijk bij Duurstede,0.09,0.02,0.03,0.07,0.11,0.07,0.11,0.03,0.05,0.07,0.05,0.1
Wijchen,51.80917,5.725,NL,32693,2744514,Wijchen,0.09,0.02,0.05,0.06,0.11,0.07,0.11,0.04,0.06,0.07,0.04,0.1
Wierden,52.35917,6.59306,NL,23244,2744549,Wierden,0.09,0.02,0.05,0.08,0.13,0.07,0.08,0.04,0.06,0.07,0.04,0.1
Weesp,52.3075,5.04167,NL,17802,2744904,Weesp,0.08,0.02,0.03,0.08,0.11,0.07,0.1,0.02,0.05,0.07,0.06,0.1
Weert,51.25167,5.70694,NL,48662,2744911,Weert,0.09,0.02,0.06,0.07,0.11,0.07,0.11,0.05,0.05,0.07,0.04,0.09
Wassenaar,52.14583,4.40278,NL,25353,2744991,Wassenaar,0.1,0.03,0.02,0.07,0.1,0.06,0.09,0.02,0.07,0.13,0.08,0.13
Wageningen,51.97,5.66667,NL,35433,2745088,Wageningen,0.09,0.02,0.04,0.08,0.12,0.07,0.09,0.04,0.06,0.08,0.05,0.1
Waddinxveen,52.045,4.65139,NL,25338,2745096,Waddinxveen,0.08,0.02,0.03,0.07,0.12,0.07,0.11,0.02,0.06,0.07,0.07,0.11
Waalwijk,51.6825,5.07083,NL,45610,2745123,Waalwijk,0.09,0.02,0.04,0.07,0.1,0.07,0.1,0.03,0.05,0.07,0.05,0.1
Vught,51.65333,5.2875,NL,25043,2745154,Vught,0.09,0.02,0.04,0.07,0.1,0.06,0.1,0.03,0.05,0.07,0.05,0.1
Voorschoten,52.1275,4.44861,NL,22468,2745301,Voorschoten,0.1,0.03,0.02,0.07,0.1,0.06,0.09,0.02,0.07,0.13,0.08,0.13
Voorburg,52.07417,4.35972,NL,38000,2745321,Voorburg,0.09,0.02,0.02,0.06,0.1,0.06,0.08,0.02,0.07,0.09,0.07,0.13
Volendam,52.495,5.07083,NL,22000,2745340,Volendam,0.08,0.02,0.03,0.06,0.1,0.07,0.09,0.02,0.05,0.07,0.06,0.1
Vlissingen,51.4425,3.57361,NL,45273,2745392,Vlissingen,0.09,0.02,0.03,0.07,0.1,0.06,0.07,0.04,0.03,0.11,0.08,0.12
