name,latitude,longitude,country,population,id
Alta,69.96887,23.27165,NO,15094,847633
Trondheim,63.43049,10.39506,NO,147139,3133880
Tromsø,69.6489,18.95508,NO,64448,3133895
Tønsberg,59.26754,10.40762,NO,38914,3134331
Steinkjer,64.01487,11.49537,NO,20000,3136947
Stavanger,58.97005,5.73332,NO,144877,3137115
Skien,59.20962,9.60897,NO,50595,3139075
Sarpsborg,59.28391,11.10962,NO,56559,3140084
Sandnes,58.85244,5.73521,NO,85386,3140321
Sandefjord,59.13118,10.21665,NO,64345,3140390
Porsgrunn,59.14054,9.6561,NO,34377,3142657
Oslo,59.91273,10.74609,NO,580000,3143244
Nesttun,60.31821,5.35317,NO,35638,3144631
Moss,59.43403,10.65771,NO,49668,3145375
Molde,62.73752,7.15912,NO,31967,3145580
Mo i Rana,66.31278,14.14278,NO,18866,3145614
Lillestrøm,59.95597,11.04918,NO,89684,3147465
Lillehammer,61.11514,10.46628,NO,28425,3147474
Levanger,63.74644,11.29963,NO,20171,3147698
Larvik,59.05328,10.03517,NO,23113,3148129
Kristiansund,63.11045,7.72795,NO,24013,3149312
Kristiansand,58.14671,7.9956,NO,93205,3149318
Kongsvinger,60.19049,11.99772,NO,17949,3149533
Kongsberg,59.66858,9.65017,NO,17667,3149563
Horten,59.41721,10.48343,NO,27178,3151770
Haugesund,59.41378,5.268,NO,40321,3153623
Harstad,68.79833,16.54165,NO,20953,3153823
Hamar,60.7945,11.06798,NO,29479,3154084
Halden,59.12478,11.38754,NO,21970,3154209
Grimstad,58.3405,8.59343,NO,24017,3155041
Gjøvik,60.79574,10.69155,NO,17596,3155573
Fredrikstad,59.2181,10.9298,NO,83761,3156529
Drammen,59.74389,10.20449,NO,103007,3159016
Bodø,67.28,14.40501,NO,34073,3160881
Bergen,60.39299,5.32415,NO,285911,3161732
Asker,59.83333,10.43721,NO,61906,3162657
Arendal,58.46151,8.77253,NO,30916,3162955
Ålesund,62.47225,6.15492,NO,52626,3163392
Ytrebygda,60.30504,5.28236,NO,24044,6697344
