name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Alta,69.96887,23.27165,NO,15094,847633,Alta,0.01,0.0,0.0,0.01,0.08,0.2,0.05,0.13,0.08,0.04,0.08,0.0
Trondheim,63.43049,10.39506,NO,147139,3133880,Trondheim,0.01,0.0,0.01,0.08,0.03,0.1,0.05,0.21,0.27,0.18,0.03,0.13
Tromsø,69.6489,18.95508,NO,64448,3133895,Tromsø,0.02,0.0,0.0,0.04,0.14,0.33,0.04,0.19,0.18,0.12,0.15,0.02
Tønsberg,59.26754,10.40762,NO,38914,3134331,Tønsberg,0.05,0.0,0.0,0.05,0.03,0.04,0.07,0.06,0.15,0.06,0.11,0.03
Steinkjer,64.01487,11.49537,NO,20000,3136947,Steinkjer,0.01,0.0,0.02,0.08,0.03,0.13,0.04,0.23,0.3,0.15,0.04,0.1
Stavanger,58.97005,5.73332,NO,144877,3137115,Stavanger,0.26,0.12,0.03,0.09,0.08,0.1,0.06,0.29,0.55,0.36,0.18,0.14
Skien,59.20962,9.60897,NO,50595,3139075,Skien,0.09,0.01,0.0,0.07,0.04,0.05,0.06,0.1,0.2,0.07,0.19,0.11
Sarpsborg,59.28391,11.10962,NO,56559,3140084,Sarpsborg,0.07,0.01,0.0,0.05,0.03,0.05,0.05,0.07,0.16,0.06,0.1,0.05
Sandnes,58.85244,5.73521,NO,85386,3140321,Sandnes,0.26,0.12,0.03,0.09,0.08,0.1,0.06,0.29,0.55,0.36,0.18,0.14
Sandefjord,59.13118,10.21665,NO,64345,3140390,Sandefjord,0.06,0.01,0.0,0.06,0.03,0.05,0.07,0.09,0.2,0.07,0.18,0.06
Porsgrunn,59.14054,9.6561,NO,34377,3142657,Porsgrunn,0.09,0.01,0.0,0.07,0.04,0.05,0.06,0.1,0.2,0.07,0.19,0.11
Oslo,59.91273,10.74609,NO,580000,3143244,Oslo,0.02,0.0,0.0,0.06,0.03,0.05,0.07,0.08,0.15,0.06,0.14,0.04
Nesttun,60.31821,5.35317,NO,35638,3144631,Nesttun,0.22,0.09,0.05,0.14,0.08,0.11,0.1,0.36,0.79,0.49,0.17,0.18
Moss,59.43403,10.65771,NO,49668,3145375,Moss,0.05,0.0,0.0,0.05,0.03,0.04,0.07,0.06,0.15,0.06,0.11,0.03
Molde,62.73752,7.15912,NO,31967,3145580,Molde,0.05,0.02,0.04,0.1,0.04,0.1,0.06,0.29,0.59,0.43,0.03,0.21
Mo i Rana,66.31278,14.14278,NO,18866,3145614,Mo i Rana,0.01,0.0,0.0,0.05,0.09,0.21,0.06,0.38,0.31,0.19,0.14,0.02
Lillestrøm,59.95597,11.04918,NO,89684,3147465,Lillestrøm,0.02,0.0,0.0,0.06,0.03,0.05,0.07,0.08,0.15,0.06,0.14,0.04
Lillehammer,61.11514,10.46628,NO,28425,3147474,Lillehammer,0.0,0.0,0.0,0.03,0.04,0.05,0.06,0.13,0.12,0.04,0.08,0.02
