name,latitude,longitude,country,population,id
Żyrardów,52.0488,20.44599,PL,41179,752967
Żoliborz,52.26896,20.98644,PL,50934,753142
Zielonka,52.30376,21.16018,PL,17518,753276
Zamość,50.72314,23.25196,PL,66034,753866
Zambrów,52.9855,22.24319,PL,22857,753895
Ząbki,52.29271,21.10539,PL,23473,754351
Wyszków,52.59278,21.4584,PL,26500,754454
Wołomin,52.34006,21.24207,PL,36592,754800
Wola,52.2401,20.98869,PL,140958,755330
Włochy,52.17941,20.94612,PL,36276,755475
Wieliczka,49.98738,20.06473,PL,18677,755889
Wesoła,52.25451,21.22407,PL,20000,756004
Wawer,52.19656,21.17752,PL,77205,756092
Warsaw,52.22977,21.01178,PL,1702139,756135
Ursus,52.19517,20.88419,PL,47285,756320
Tomaszów Mazowiecki,51.53131,20.00855,PL,67197,756867
Tomaszów Lubelski,50.44767,23.41616,PL,20261,756868
Tarnów,50.01381,20.98698,PL,117799,757026
Tarnobrzeg,50.57304,21.67937,PL,50459,757033
Targówek,52.29185,21.04845,PL,124279,757065
Szczytno,53.56259,20.98747,PL,26044,757357
Świdnik,51.21898,22.69621,PL,40050,757692
Suwałki,54.11175,22.93087,PL,69222,757718
Sulejówek,52.25221,21.26902,PL,18414,757809
Staszów,50.56307,21.16593,PL,16137,758252
Starachowice,51.0374,21.07126,PL,53739,758390
Stalowa Wola,50.58286,22.05334,PL,66495,758445
Śródmieście,52.22904,21.01644,PL,134306,758470
Sokołów Podlaski,52.40677,22.25307,PL,18241,758626
Sokółka,53.40715,23.50228,PL,19079,758651
Sochaczew,52.22944,20.23838,PL,38267,758682
Skierniewice,51.95485,20.15837,PL,49042,759123
Skarżysko-Kamienna,51.11311,20.87162,PL,49410,759141
Siemiatycze,52.42719,22.86231,PL,15421,759320
Siedlce,52.16772,22.29006,PL,77185,759412
Sanok,49.55573,22.2056,PL,39684,759591
Sandomierz,50.68265,21.74898,PL,25087,759603
Rzeszów,50.04132,21.99901,PL,158382,759734
Ropczyce,50.05229,21.60891,PL,15279,760343
Rembertów,52.26059,21.16355,PL,21893,760503
Rawa Mazowiecka,51.76437,20.25493,PL,17770,760584
Radzyń Podlaski,51.78333,22.61667,PL,16071,760680
Radom,51.40253,21.14714,PL,226794,760778
Pułtusk,52.7025,21.08276,PL,19039,760917
Puławy,51.41655,21.96939,PL,49759,760924
Przeworsk,50.05912,22.49408,PL,15805,761131
Przemyśl,49.78498,22.76728,PL,67013,761168
