name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Żyrardów,52.0488,20.44599,PL,41179,752967,Żyrardów,0.03,0.01,0.02,0.02,0.08,0.06,0.16,0.05,0.07,0.07,0.01,0.08
Żoliborz,52.26896,20.98644,PL,50934,753142,Żoliborz,0.03,0.01,0.02,0.03,0.07,0.06,0.15,0.07,0.08,0.07,0.02,0.07
Zielonka,52.30376,21.16018,PL,17518,753276,Zielonka,0.03,0.01,0.02,0.03,0.06,0.06,0.16,0.06,0.07,0.07,0.02,0.07
Zamość,50.72314,23.25196,PL,66034,753866,Zamość,0.02,0.0,0.03,0.03,0.06,0.13,0.14,0.08,0.06,0.07,0.02,0.06
Zambrów,52.9855,22.24319,PL,22857,753895,Zambrów,0.03,0.01,0.01,0.05,0.05,0.06,0.13,0.07,0.06,0.05,0.02,0.07
Ząbki,52.29271,21.10539,PL,23473,754351,Ząbki,0.03,0.01,0.02,0.03,0.07,0.06,0.15,0.07,0.08,0.07,0.02,0.07
Wyszków,52.59278,21.4584,PL,26500,754454,Wyszków,0.03,0.01,0.02,0.04,0.05,0.06,0.16,0.06,0.08,0.06,0.02,0.07
Wołomin,52.34006,21.24207,PL,36592,754800,Wołomin,0.03,0.01,0.02,0.03,0.06,0.06,0.16,0.06,0.07,0.07,0.02,0.07
Wola,52.2401,20.98869,PL,140958,755330,Wola,0.03,0.01,0.02,0.03,0.07,0.06,0.15,0.07,0.08,0.07,0.02,0.07
Włochy,52.17941,20.94612,PL,36276,755475,Włochy,0.03,0.01,0.02,0.03,0.07,0.06,0.15,0.07,0.08,0.07,0.02,0.07
Wieliczka,49.98738,20.06473,PL,18677,755889,Wieliczka,0.02,0.01,0.04,0.03,0.06,0.11,0.18,0.09,0.08,0.07,0.02,0.08
Wesoła,52.25451,21.22407,PL,20000,756004,Wesoła,0.03,0.01,0.02,0.03,0.06,0.06,0.16,0.06,0.07,0.07,0.02,0.07
Wawer,52.19656,21.17752,PL,77205,756092,Wawer,0.03,0.01,0.02,0.03,0.06,0.06,0.16,0.06,0.07,0.07,0.02,0.07
Warsaw,52.22977,21.01178,PL,1702139,756135,Warsaw,0.03,0.01,0.02,0.03,0.07,0.06,0.15,0.07,0.08,0.07,0.02,0.07
Ursus,52.19517,20.88419,PL,47285,756320,Ursus,0.03,0.01,0.02,0.03,0.07,0.06,0.15,0.07,0.08,0.07,0.02,0.07
Tomaszów Mazowiecki,51.53131,20.00855,PL,67197,756867,Tomaszów Mazowiecki,0.04,0.01,0.02,0.03,0.08,0.08,0.16,0.06,0.07,0.07,0.01,0.07
Tomaszów Lubelski,50.44767,23.41616,PL,20261,756868,Tomaszów Lubelski,0.02,0.01,0.04,0.03,0.07,0.18,0.15,0.08,0.06,0.07,0.02,0.06
Tarnów,50.01381,20.98698,PL,117799,757026,Tarnów,0.02,0.01,0.06,0.04,0.07,0.11,0.22,0.1,0.08,0.09,0.02,0.08
Tarnobrzeg,50.57304,21.67937,PL,50459,757033,Tarnobrzeg,0.02,0.01,0.05,0.03,0.11,0.11,0.15,0.08,0.07,0.09,0.01,0.07
Targówek,52.29185,21.04845,PL,124279,757065,Targówek,0.03,0.01,0.02,0.03,0.07,0.06,0.15,0.07,0.08,0.07,0.02,0.07
Szczytno,53.56259,20.98747,PL,26044,757357,Szczytno,0.03,0.01,0.02,0.04,0.07,0.06,0.15,0.06,0.06,0.05,0.02,0.06
Świdnik,51.21898,22.69621,PL,40050,757692,Świdnik,0.02,0.01,0.03,0.05,0.06,0.08,0.13,0.07,0.09,0.07,0.02,0.07
Suwałki,54.11175,22.93087,PL,69222,757718,Suwałki,0.03,0.01,0.01,0.07,0.04,0.04,0.15,0.08,0.04,0.04,0.03,0.05
Sulejówek,52.25221,21.26902,PL,18414,757809,Sulejówek,0.03,0.01,0.02,0.03,0.06,0.06,0.16,0.06,0.07,0.07,0.02,0.07
Staszów,50.56307,21.16593,PL,16137,758252,Staszów,0.02,0.01,0.05,0.03,0.1,0.08,0.17,0.08,0.07,0.08,0.01,0.06
Starachowice,51.0374,21.07126,PL,53739,758390,Starachowice,0.02,0.01,0.03,0.03,0.13,0.08,0.16,0.08,0.07,0.09,0.02,0.08
