name,latitude,longitude,country,population,id
Vila Franca de Xira,38.95525,-8.98966,PT,18355,2261639
Vialonga,38.87206,-9.07805,PT,16088,2261697
Torres Vedras,39.09109,-9.2586,PT,24443,2262581
Torres Novas,39.47581,-8.54348,PT,15002,2262582
Tomar,39.60199,-8.40924,PT,19168,2262644
Tavira,37.12734,-7.64861,PT,15133,2262744
Sintra,38.80097,-9.37826,PT,26193,2262912
Sesimbra,38.44451,-9.10149,PT,41134,2262957
Setúbal,38.5244,-8.8882,PT,117110,2262963
São Martinho,32.6448,-16.93843,PT,26482,2263284
São João da Talha,38.82378,-9.09719,PT,18925,2263326
São Domingos de Rana,38.70194,-9.34083,PT,46718,2263352
Santarém,39.23333,-8.68333,PT,29385,2263480
Santa Iria da Azóia,38.8411,-9.09908,PT,18573,2263523
Sacavém,38.79202,-9.10801,PT,17718,2263667
Rio de Mouro,38.76613,-9.32804,PT,54695,2263827
Ramada,38.80368,-9.1877,PT,17535,2264087
Queluz,38.75657,-9.25451,PT,103399,2264268
Quarteira,37.06946,-8.10064,PT,18783,2264299
Póvoa de Santa Iria,38.86101,-9.06453,PT,28901,2264359
Portimão,37.13856,-8.53775,PT,38487,2264456
Portalegre,39.29379,-7.43122,PT,15581,2264508
Pontinha,38.76771,-9.19935,PT,23249,2264526
Pombal,39.91674,-8.62847,PT,17355,2264575
Pinhal Novo,38.63106,-8.91376,PT,23510,2264718
Piedade,38.67005,-9.15852,PT,19472,2264736
Peniche,39.3558,-9.38112,PT,15662,2264923
Parede,38.69282,-9.35412,PT,17212,2265169
Palmela,38.56902,-8.90126,PT,16934,2265223
Paço de Arcos,38.69569,-9.29143,PT,25974,2265326
Olivais,38.76994,-9.10674,PT,33788,2265432
Olhão,37.0286,-7.8411,PT,29239,2265447
Oeiras,38.69105,-9.31085,PT,35000,2265464
Odivelas,38.79269,-9.1838,PT,54624,2265467
Moscavide e Portela,38.77929,-9.10222,PT,22488,2265726
Montijo,38.70675,-8.97388,PT,30011,2265788
Monte Estoril,38.70636,-9.40595,PT,23375,2265927
Monsanto,39.46203,-8.7118,PT,50000,2266249
Moita,38.65078,-8.99038,PT,17795,2266319
Massamá,38.75279,-9.2811,PT,28112,2266621
Marinha Grande,39.74769,-8.93228,PT,28916,2266703
Loures,38.83091,-9.16845,PT,66231,2266977
Loulé,37.13772,-8.01968,PT,23109,2266988
