name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Vila Franca de Xira,38.95525,-8.98966,PT,18355,2261639,Vila Franca de Xira,0.1,0.14,0.09,0.11,0.0,0.01,0.01,0.01,0.04,0.18,0.11,0.09
Vialonga,38.87206,-9.07805,PT,16088,2261697,Vialonga,0.09,0.13,0.07,0.1,0.0,0.01,0.01,0.0,0.03,0.18,0.11,0.08
Torres Vedras,39.09109,-9.2586,PT,24443,2262581,Torres Vedras,0.12,0.15,0.07,0.1,0.0,0.01,0.01,0.01,0.04,0.19,0.13,0.1
Torres Novas,39.47581,-8.54348,PT,15002,2262582,Torres Novas,0.13,0.14,0.1,0.1,0.0,0.02,0.01,0.03,0.04,0.21,0.13,0.09
Tomar,39.60199,-8.40924,PT,19168,2262644,Tomar,0.13,0.14,0.1,0.1,0.0,0.02,0.01,0.03,0.04,0.21,0.13,0.09
Tavira,37.12734,-7.64861,PT,15133,2262744,Tavira,0.04,0.09,0.09,0.1,0.03,0.0,0.0,0.0,0.01,0.18,0.11,0.08
Sintra,38.80097,-9.37826,PT,26193,2262912,Sintra,0.12,0.15,0.07,0.1,0.0,0.01,0.01,0.01,0.04,0.19,0.13,0.1
Sesimbra,38.44451,-9.10149,PT,41134,2262957,Sesimbra,0.1,0.13,0.06,0.11,0.0,0.01,0.0,0.0,0.03,0.22,0.11,0.1
Setúbal,38.5244,-8.8882,PT,117110,2262963,Setúbal,0.1,0.13,0.06,0.11,0.0,0.01,0.0,0.0,0.03,0.22,0.11,0.1
São Martinho,32.6448,-16.93843,PT,26482,2263284,São Martinho,0.03,0.1,0.08,0.12,0.0,0.01,0.01,0.01,0.02,0.14,0.05,0.04
São João da Talha,38.82378,-9.09719,PT,18925,2263326,São João da Talha,0.09,0.13,0.07,0.1,0.0,0.01,0.01,0.0,0.03,0.18,0.11,0.08
São Domingos de Rana,38.70194,-9.34083,PT,46718,2263352,São Domingos de Rana,0.11,0.14,0.07,0.1,0.0,0.01,0.01,0.0,0.03,0.19,0.12,0.09
Santarém,39.23333,-8.68333,PT,29385,2263480,Santarém,0.1,0.14,0.11,0.1,0.0,0.01,0.01,0.01,0.04,0.19,0.11,0.09
Santa Iria da Azóia,38.8411,-9.09908,PT,18573,2263523,Santa Iria da Azóia,0.09,0.13,0.07,0.1,0.0,0.01,0.01,0.0,0.03,0.18,0.11,0.08
