name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zimnicea,43.65638,25.36454,RO,15228,662187,Zimnicea,0.0,0.03,0.04,0.08,0.01,0.05,0.04,0.01,0.13,0.0,0.03,0.01
Zărnești,45.56093,25.31787,RO,24926,662284,Zărnești,0.0,0.02,0.05,0.07,0.05,0.05,0.14,0.04,0.11,0.0,0.03,0.03
Zalău,47.2,23.05,RO,63232,662334,Zalău,0.01,0.04,0.1,0.08,0.06,0.06,0.11,0.02,0.15,0.01,0.03,0.09
Vulcan,45.38333,23.26667,RO,28869,662432,Vulcan,0.0,0.02,0.06,0.12,0.05,0.03,0.06,0.04,0.09,0.01,0.02,0.04
Voluntari,44.49002,26.17338,RO,30323,662476,Voluntari,0.0,0.05,0.07,0.09,0.02,0.06,0.06,0.02,0.12,0.01,0.03,0.01
Vişeu de Sus,47.71667,24.43333,RO,16938,662699,Vişeu de Sus,0.0,0.02,0.12,0.09,0.1,0.11,0.34,0.07,0.17,0.01,0.05,0.11
Vatra Dornei,47.35,25.36667,RO,16054,663100,Vatra Dornei,0.0,0.01,0.09,0.09,0.1,0.1,0.29,0.07,0.13,0.0,0.03,0.06
Vaslui,46.63333,27.73333,RO,69225,663118,Vaslui,0.0,0.03,0.03,0.06,0.02,0.05,0.11,0.04,0.12,0.0,0.06,0.03
Urziceni,44.71667,26.63333,RO,16770,664074,Urziceni,0.0,0.04,0.07,0.08,0.02,0.07,0.07,0.02,0.13,0.01,0.04,0.01
Turnu Măgurele,43.7469,24.86846,RO,28783,664437,Turnu Măgurele,0.0,0.02,0.03,0.09,0.01,0.04,0.04,0.01,0.1,0.0,0.03,0.01
Turda,46.56667,23.78333,RO,54586,664460,Turda,0.0,0.02,0.07,0.04,0.06,0.06,0.1,0.03,0.07,0.0,0.0,0.04
Tulcea,45.1787,28.80501,RO,92475,664518,Tulcea,0.0,0.04,0.02,0.07,0.02,0.07,0.02,0.04,0.17,0.01,0.07,0.01
Târnăveni,46.33191,24.29662,RO,28634,664963,Târnăveni,0.01,0.03,0.08,0.05,0.08,0.05,0.1,0.04,0.09,0.01,0.0,0.04
Târgu Secuiesc,46.0,26.13333,RO,20067,665000,Târgu Secuiesc,0.0,0.02,0.04,0.08,0.07,0.14,0.22,0.1,0.13,0.01,0.03,0.01
Târgu Neamţ,47.2,26.36667,RO,20473,665003,Târgu Neamţ,0.0,0.01,0.03,0.08,0.04,0.05,0.21,0.05,0.07,0.01,0.02,0.04
Târgu-Mureş,46.54245,24.55747,RO,146863,665004,Târgu-Mureş,0.01,0.03,0.08,0.05,0.09,0.1,0.14,0.04,0.1,0.0,0.01,0.06
Târgu Jiu,45.05,23.28333,RO,97179,665010,Târgu Jiu,0.0,0.03,0.05,0.1,0.02,0.01,0.03,0.01,0.06,0.01,0.03,0.04
Târgovişte,44.92543,25.4567,RO,88435,665024,Târgovişte,0.0,0.04,0.05,0.09,0.03,0.09,0.13,0.02,0.15,0.0,0.05,0.02
Timişoara,45.75372,21.22571,RO,315053,665087,Timişoara,0.02,0.03,0.07,0.1,0.06,0.03,0.07,0.01,0.04,0.01,0.02,0.07
Tecuci,45.84973,27.43441,RO,41154,665355,Tecuci,0.0,0.04,0.03,0.07,0.01,0.05,0.05,0.01,0.14,0.01,0.07,0.01
Suceava,47.63333,26.25,RO,105796,665850,Suceava,0.0,0.01,0.04,0.07,0.04,0.07,0.23,0.06,0.06,0.01,0.01,0.04
Slatina,44.43333,24.36667,RO,78988,666767,Slatina,0.0,0.03,0.03,0.09,0.03,0.05,0.11,0.02,0.09,0.01,0.03,0.02
Şimleu Silvaniei,47.23333,22.8,RO,15721,667101,Şimleu Silvaniei,0.01,0.04,0.11,0.09,0.07,0.07,0.12,0.03,0.16,0.01,0.03,0.09
Sighetu Marmaţiei,47.93195,23.88603,RO,40653,667227,Sighetu Marmaţiei,0.01,0.03,0.14,0.09,0.1,0.09,0.35,0.03,0.18,0.01,0.07,0.14
