name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zrenjanin,45.38361,20.38194,RS,79773,783814,Zrenjanin,0.06,0.05,0.09,0.05,0.06,0.14,0.12,0.08,0.04,0.01,0.04,0.03
Zemun,44.8458,20.40116,RS,155591,783920,Zemun,0.05,0.04,0.07,0.05,0.04,0.15,0.22,0.05,0.05,0.02,0.06,0.05
Zaječar,43.90358,22.26405,RS,49800,784024,Zaječar,0.04,0.05,0.06,0.02,0.07,0.13,0.11,0.03,0.0,0.01,0.05,0.01
Vršac,45.11667,21.30361,RS,36300,784136,Vršac,0.06,0.05,0.08,0.05,0.05,0.12,0.14,0.03,0.04,0.02,0.05,0.04
Vranje,42.55139,21.90028,RS,56199,784227,Vranje,0.02,0.04,0.12,0.05,0.06,0.13,0.15,0.05,0.02,0.02,0.05,0.04
Trstenik,43.61694,21.0025,RS,49043,784873,Trstenik,0.06,0.05,0.08,0.03,0.06,0.21,0.23,0.06,0.03,0.01,0.07,0.06
Stara Pazova,44.985,20.16083,RS,16217,785559,Stara Pazova,0.05,0.04,0.07,0.05,0.05,0.15,0.16,0.05,0.05,0.01,0.05,0.04
Sremčica,44.67653,20.39232,RS,23000,785615,Sremčica,0.05,0.05,0.1,0.04,0.05,0.16,0.26,0.04,0.04,0.01,0.08,0.05
Smederevska Palanka,44.36548,20.95885,RS,27000,785753,Smederevska Palanka,0.07,0.05,0.11,0.04,0.06,0.16,0.25,0.04,0.06,0.01,0.09,0.05
Smederevo,44.66436,20.92763,RS,62000,785756,Smederevo,0.06,0.05,0.09,0.05,0.06,0.11,0.21,0.04,0.05,0.02,0.07,0.05
Senta,45.9275,20.07722,RS,20302,785965,Senta,0.05,0.07,0.1,0.03,0.05,0.14,0.11,0.06,0.05,0.01,0.04,0.03
Prokuplje,43.23417,21.58806,RS,27673,786690,Prokuplje,0.03,0.03,0.09,0.03,0.04,0.12,0.1,0.03,0.01,0.01,0.05,0.04
Požarevac,44.62133,21.18782,RS,41736,786827,Požarevac,0.05,0.06,0.09,0.04,0.04,0.15,0.2,0.04,0.04,0.02,0.08,0.05
Pirot,43.15306,22.58611,RS,40678,787050,Pirot,0.02,0.03,0.09,0.06,0.12,0.23,0.29,0.04,0.03,0.02,0.04,0.03
Pančevo,44.87177,20.64167,RS,76654,787237,Pančevo,0.06,0.04,0.08,0.05,0.04,0.14,0.23,0.04,0.05,0.02,0.07,0.05
Obrenovac,44.65486,20.20017,RS,16821,787516,Obrenovac,0.05,0.04,0.07,0.04,0.04,0.14,0.18,0.05,0.04,0.01,0.05,0.04
Novi Pazar,43.13667,20.51222,RS,85996,787595,Novi Pazar,0.03,0.03,0.1,0.05,0.12,0.25,0.27,0.12,0.04,0.02,0.05,0.05
Nova Pazova,44.94366,20.21931,RS,15488,787615,Nova Pazova,0.05,0.04,0.07,0.05,0.05,0.15,0.16,0.05,0.05,0.01,0.05,0.04
Niš,43.32472,21.90333,RS,250000,787657,Niš,0.03,0.03,0.09,0.03,0.04,0.12,0.1,0.03,0.01,0.01,0.05,0.04
Negotin,44.22639,22.53083,RS,17612,787718,Negotin,0.02,0.04,0.05,0.02,0.09,0.16,0.13,0.03,0.0,0.01,0.05,0.01
Leskovac,42.99806,21.94611,RS,94758,788709,Leskovac,0.03,0.03,0.09,0.03,0.04,0.12,0.1,0.03,0.01,0.01,0.05,0.04
Lazarevac,44.38534,20.2557,RS,23551,788771,Lazarevac,0.05,0.05,0.08,0.04,0.04,0.14,0.2,0.05,0.03,0.01,0.06,0.05
Kruševac,43.58,21.33389,RS,75256,788975,Kruševac,0.06,0.05,0.08,0.03,0.06,0.21,0.23,0.06,0.03,0.01,0.07,0.06
Kraljevo,43.72583,20.68944,RS,82846,789107,Kraljevo,0.07,0.05,0.1,0.03,0.07,0.22,0.38,0.05,0.06,0.02,0.06,0.07
Kragujevac,44.01667,20.91667,RS,147473,789128,Kragujevac,0.07,0.05,0.1,0.03,0.07,0.22,0.38,0.05,0.06,0.02,0.06,0.07
Kikinda,45.82972,20.46528,RS,41935,789518,Kikinda,0.05,0.07,0.09,0.04,0.05,0.14,0.09,0.06,0.04,0.01,0.04,0.04
Jagodina,43.97713,21.26121,RS,35589,789923,Jagodina,0.07,0.05,0.11,0.04,0.06,0.16,0.25,0.04,0.06,0.01,0.09,0.05
Inđija,45.04816,20.08165,RS,26247,790015,Inđija,0.05,0.04,0.08,0.05,0.05,0.17,0.18,0.06,0.03,0.01,0.04,0.04
Gornji Milanovac,44.02603,20.46152,RS,23982,790367,Gornji Milanovac,0.05,0.03,0.09,0.04,0.1,0.22,0.33,0.07,0.04,0.03,0.06,0.06
Ćuprija,43.9275,21.37,RS,20585,791678,Ćuprija,0.07,0.05,0.11,0.04,0.06,0.16,0.25,0.04,0.06,0.01,0.09,0.05
Čačak,43.89139,20.34972,RS,117072,792078,Čačak,0.05,0.04,0.09,0.05,0.05,0.15,0.23,0.05,0.02,0.02,0.06,0.06
Bor,44.07488,22.09591,RS,39387,792456,Bor,0.02,0.03,0.08,0.04,0.07,0.21,0.18,0.05,0.02,0.01,0.04,0.02
Belgrade,44.80401,20.46513,RS,1273651,792680,Belgrade,0.05,0.04,0.07,0.05,0.04,0.15,0.22,0.05,0.05,0.02,0.06,0.05
Bečej,45.61632,20.03331,RS,25774,792814,Bečej,0.06,0.05,0.09,0.04,0.05,0.17,0.12,0.07,0.04,0.01,0.04,0.03
Aranđelovac,44.30694,20.56,RS,24309,793111,Aranđelovac,0.05,0.04,0.1,0.05,0.07,0.19,0.27,0.07,0.03,0.02,0.07,0.05
Vrbas,45.57139,19.64083,RS,25907,3187297,Vrbas,0.06,0.05,0.09,0.04,0.06,0.17,0.12,0.07,0.06,0.01,0.04,0.03
