name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Udomlya,57.87944,34.9925,RU,32373,452949,Udomlya,0.01,0.0,0.01,0.09,0.06,0.09,0.14,0.11,0.12,0.04,0.02,0.0
Sosnovka,60.01667,30.35,RU,66227,461698,Sosnovka,0.01,0.0,0.02,0.06,0.03,0.06,0.09,0.12,0.14,0.04,0.03,0.01
Sasovo,54.35369,41.91986,RU,29858,461699,Sasovo,0.0,0.03,0.0,0.06,0.03,0.03,0.08,0.01,0.05,0.06,0.01,0.0
Zyuzino,55.65608,37.56846,RU,121000,461740,Zyuzino,0.0,0.0,0.0,0.05,0.05,0.07,0.11,0.02,0.07,0.04,0.01,0.0
Zyablikovo,55.61667,37.76667,RU,129000,461835,Zyablikovo,0.0,0.0,0.0,0.05,0.06,0.06,0.11,0.03,0.07,0.04,0.01,0.0
Zverevo,48.02108,40.12282,RU,24978,461910,Zverevo,0.01,0.02,0.06,0.04,0.04,0.03,0.07,0.0,0.03,0.04,0.02,0.02
Zvenigorod,55.73401,36.85918,RU,16395,461920,Zvenigorod,0.0,0.0,0.0,0.04,0.06,0.08,0.12,0.03,0.08,0.04,0.01,0.0
Zlatoust,55.17111,59.65083,RU,191366,462444,Zlatoust,0.0,0.0,0.0,0.04,0.07,0.14,0.13,0.12,0.04,0.07,0.0,0.0
Zimovniki,47.1474,42.4721,RU,17678,462522,Zimovniki,0.03,0.02,0.05,0.03,0.01,0.0,0.07,0.0,0.02,0.04,0.02,0.03
Zhulebino,55.7,37.85,RU,150000,462745,Zhulebino,0.0,0.0,0.0,0.05,0.05,0.07,0.11,0.03,0.07,0.04,0.01,0.0
Zhukovskiy,55.59528,38.12028,RU,97200,462755,Zhukovskiy,0.0,0.0,0.0,0.05,0.05,0.06,0.1,0.03,0.06,0.05,0.01,0.0
Zhukovka,53.53381,33.73075,RU,19690,462822,Zhukovka,0.01,0.0,0.0,0.04,0.04,0.13,0.16,0.02,0.04,0.05,0.01,0.0
Zhirnovsk,50.98448,44.77347,RU,17887,462984,Zhirnovsk,0.0,0.03,0.02,0.05,0.02,0.01,0.1,0.01,0.05,0.06,0.0,0.01
Zhigulevsk,53.39972,49.49528,RU,57094,463082,Zhigulevsk,0.0,0.0,0.0,0.05,0.01,0.02,0.07,0.02,0.04,0.05,0.01,0.0
Zherdevka,51.84861,41.46056,RU,16019,463217,Zherdevka,0.0,0.03,0.01,0.07,0.05,0.02,0.1,0.0,0.08,0.06,0.0,0.01
Zheleznovodsk,44.13944,43.01972,RU,24632,463340,Zheleznovodsk,0.02,0.03,0.12,0.03,0.08,0.05,0.09,0.11,0.06,0.04,0.06,0.02
Zheleznogorsk,52.331,35.3711,RU,97900,463343,Zheleznogorsk,0.01,0.02,0.01,0.04,0.06,0.04,0.16,0.0,0.04,0.06,0.0,0.0
Zheleznodorozhnyy,55.744,38.01684,RU,141648,463355,Zheleznodorozhnyy,0.0,0.0,0.0,0.06,0.04,0.06,0.1,0.03,0.07,0.05,0.01,0.0
Zernograd,46.84518,40.30834,RU,29268,463637,Zernograd,0.04,0.03,0.07,0.03,0.04,0.02,0.04,0.0,0.02,0.04,0.04,0.03
Zelenokumsk,44.40694,43.88056,RU,41306,463824,Zelenokumsk,0.02,0.04,0.08,0.01,0.02,0.01,0.07,0.03,0.02,0.04,0.05,0.03
Zelenogradsk,54.95893,20.47668,RU,15644,463828,Zelenogradsk,0.07,0.01,0.02,0.09,0.09,0.04,0.11,0.07,0.06,0.07,0.02,0.05
Zelenograd,55.9825,37.18139,RU,215727,463829,Zelenograd,0.0,0.0,0.0,0.05,0.06,0.09,0.12,0.03,0.09,0.04,0.01,0.0
Zelenodolsk,55.84376,48.51784,RU,99600,463835,Zelenodolsk,0.0,0.0,0.0,0.07,0.03,0.05,0.06,0.03,0.05,0.05,0.02,0.0
Zelenchukskaya,43.85804,41.5894,RU,21117,463885,Zelenchukskaya,0.01,0.04,0.13,0.04,0.22,0.08,0.09,0.09,0.13,0.08,0.03,0.02
Zavolzh’ye,56.64051,43.39446,RU,42900,464101,Zavolzh’ye,0.0,0.01,0.0,0.05,0.03,0.06,0.1,0.05,0.07,0.06,0.02,0.0
Zavety Il’icha,56.04284,37.85153,RU,20000,464176,Zavety Il’icha,0.0,0.0,0.0,0.06,0.05,0.07,0.1,0.02,0.09,0.05,0.01,0.0
Zarechnyy,53.20356,45.19227,RU,63579,464625,Zarechnyy,0.0,0.01,0.0,0.07,0.03,0.02,0.1,0.02,0.05,0.06,0.01,0.0
Zaraysk,54.7605,38.87841,RU,24637,464687,Zaraysk,0.0,0.01,0.0,0.08,0.03,0.04,0.1,0.02,0.06,0.05,0.01,0.0
Zapolyarnyy,69.41541,30.81355,RU,17789,464790,Zapolyarnyy,0.0,0.0,0.0,0.01,0.04,0.07,0.06,0.13,0.09,0.02,0.02,0.0
Zamoskvorech’ye,55.73333,37.63333,RU,55000,465057,Zamoskvorech’ye,0.0,0.0,0.0,0.05,0.05,0.07,0.11,0.03,0.07,0.04,0.01,0.0
Zainsk,55.3195,52.06942,RU,42044,465543,Zainsk,0.0,0.0,0.0,0.08,0.04,0.05,0.07,0.06,0.04,0.06,0.02,0.0
Yur’yev-Pol’skiy,56.50339,39.67911,RU,19906,466215,Yur’yev-Pol’skiy,0.0,0.0,0.0,0.06,0.04,0.05,0.11,0.05,0.08,0.05,0.02,0.0
Yoshkar-Ola,56.63877,47.89078,RU,268272,466806,Yoshkar-Ola,0.0,0.0,0.0,0.06,0.04,0.09,0.09,0.04,0.06,0.08,0.02,0.0
Yeysk,46.7055,38.2739,RU,87814,466885,Yeysk,0.04,0.04,0.04,0.02,0.02,0.03,0.04,0.0,0.05,0.04,0.03,0.06
Yessentukskaya,44.0328,42.8813,RU,19956,466989,Yessentukskaya,0.01,0.03,0.12,0.03,0.12,0.05,0.09,0.13,0.07,0.03,0.05,0.02
Yessentuki,44.04444,42.86056,RU,81015,466990,Yessentuki,0.01,0.05,0.13,0.02,0.1,0.03,0.07,0.07,0.07,0.04,0.04,0.03
Yershov,51.3513,48.2766,RU,23681,467120,Yershov,0.0,0.0,0.01,0.05,0.02,0.01,0.06,0.0,0.03,0.02,0.01,0.0
Yemva,62.58999,50.85939,RU,16404,467525,Yemva,0.0,0.0,0.0,0.01,0.06,0.11,0.1,0.06,0.11,0.1,0.02,0.0
Yelizavetinskaya,45.04616,38.79491,RU,19306,467854,Yelizavetinskaya,0.06,0.05,0.1,0.05,0.06,0.03,0.03,0.0,0.05,0.06,0.09,0.11
Yelets,52.62366,38.50169,RU,115688,467978,Yelets,0.0,0.02,0.01,0.05,0.05,0.02,0.13,0.0,0.04,0.05,0.0,0.0
Yelan’,50.949,43.73781,RU,15181,468063,Yelan’,0.01,0.04,0.02,0.06,0.03,0.01,0.14,0.01,0.06,0.06,0.0,0.01
Yelabuga,55.76127,52.06493,RU,72643,468082,Yelabuga,0.0,0.0,0.0,0.08,0.04,0.06,0.08,0.08,0.04,0.07,0.02,0.0
Yegor’yevsk,55.38283,39.03233,RU,85200,468250,Yegor’yevsk,0.0,0.0,0.0,0.06,0.03,0.05,0.09,0.02,0.07,0.05,0.01,0.0
Yegorlykskaya,46.56564,40.65621,RU,17978,468307,Yegorlykskaya,0.04,0.03,0.06,0.03,0.04,0.01,0.06,0.0,0.02,0.05,0.04,0.04
Yefremov,53.14806,38.09924,RU,45497,468390,Yefremov,0.0,0.02,0.0,0.05,0.03,0.02,0.09,0.0,0.04,0.06,0.0,0.0
Yasnyy,51.0333,59.8742,RU,17359,468657,Yasnyy,0.0,0.0,0.02,0.06,0.02,0.03,0.02,0.02,0.02,0.03,0.0,0.0
Yasnogorsk,54.48082,37.69854,RU,18022,468671,Yasnogorsk,0.0,0.0,0.0,0.06,0.03,0.03,0.11,0.03,0.05,0.04,0.01,0.0
Yasenevo,55.60686,37.51991,RU,180000,468809,Yasenevo,0.0,0.0,0.0,0.06,0.07,0.06,0.12,0.04,0.07,0.04,0.01,0.0
Yartsevo,55.06491,32.69693,RU,52706,468866,Yartsevo,0.01,0.0,0.0,0.05,0.04,0.1,0.12,0.05,0.09,0.04,0.01,0.0
