name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Umeå,63.82842,20.25972,SE,130224,602150,Umeå,0.01,0.02,0.0,0.05,0.08,0.11,0.19,0.12,0.07,0.09,0.13,0.05
Skellefteå,64.75067,20.95279,SE,35516,602913,Skellefteå,0.01,0.01,0.0,0.03,0.05,0.16,0.18,0.13,0.06,0.08,0.08,0.04
Piteå,65.31717,21.47944,SE,23067,603570,Piteå,0.01,0.0,0.0,0.02,0.05,0.13,0.17,0.14,0.03,0.07,0.07,0.03
Luleå,65.58415,22.15465,SE,43574,604490,Luleå,0.01,0.0,0.0,0.02,0.04,0.13,0.16,0.12,0.04,0.08,0.09,0.04
Kiruna,67.85572,20.22513,SE,17037,605155,Kiruna,0.0,0.0,0.01,0.01,0.1,0.18,0.19,0.11,0.04,0.04,0.0,0.0
Boden,65.82518,21.68864,SE,16830,606531,Boden,0.01,0.0,0.0,0.02,0.04,0.14,0.19,0.13,0.04,0.07,0.07,0.02
Ystad,55.42966,13.82041,SE,18806,2662149,Ystad,0.04,0.05,0.05,0.04,0.05,0.09,0.08,0.06,0.1,0.07,0.08,0.04
Visby,57.64089,18.29602,SE,23402,2662689,Visby,0.02,0.03,0.01,0.03,0.03,0.05,0.14,0.05,0.02,0.08,0.11,0.04
Växjö,56.87767,14.80906,SE,65383,2663536,Växjö,0.03,0.04,0.02,0.07,0.06,0.12,0.1,0.07,0.05,0.14,0.1,0.05
Västra Frölunda,57.64667,11.92944,SE,15924,2664050,Västra Frölunda,0.08,0.12,0.04,0.14,0.11,0.16,0.09,0.1,0.05,0.19,0.17,0.1
Västervik,57.7584,16.63733,SE,21178,2664203,Västervik,0.01,0.02,0.01,0.05,0.04,0.09,0.15,0.06,0.03,0.12,0.13,0.04
Västerås,59.61617,16.55276,SE,127799,2664454,Västerås,0.02,0.01,0.01,0.05,0.07,0.09,0.19,0.04,0.02,0.16,0.16,0.05
Vasastan,59.34571,18.04985,SE,58458,2664740,Vasastan,0.02,0.01,0.01,0.03,0.06,0.08,0.17,0.04,0.03,0.1,0.12,0.04
