name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Vranov nad Topľou,48.88836,21.68479,SK,23246,723195,Vranov nad Topľou,0.02,0.0,0.02,0.04,0.07,0.05,0.08,0.04,0.1,0.13,0.04,0.02
Trebišov,48.62858,21.71954,SK,22947,723358,Trebišov,0.02,0.0,0.03,0.04,0.06,0.04,0.09,0.03,0.08,0.15,0.03,0.02
Stará Ľubovňa,49.29859,20.6862,SK,16000,723505,Stará Ľubovňa,0.01,0.0,0.02,0.05,0.1,0.06,0.12,0.05,0.08,0.05,0.03,0.02
Spišská Nová Ves,48.94464,20.56153,SK,39195,723526,Spišská Nová Ves,0.01,0.0,0.01,0.05,0.07,0.05,0.12,0.06,0.09,0.07,0.04,0.01
Snina,48.98857,22.15099,SK,22221,723559,Snina,0.02,0.0,0.02,0.04,0.07,0.05,0.08,0.04,0.1,0.13,0.04,0.02
Rožňava,48.66009,20.53758,SK,19261,723713,Rožňava,0.01,0.0,0.01,0.03,0.03,0.02,0.11,0.03,0.07,0.07,0.04,0.01
Rimavská Sobota,48.38284,20.02239,SK,25235,723736,Rimavská Sobota,0.01,0.0,0.0,0.03,0.07,0.07,0.13,0.03,0.04,0.08,0.06,0.02
Prešov,48.99839,21.23393,SK,83897,723819,Prešov,0.01,0.0,0.01,0.04,0.07,0.06,0.08,0.06,0.12,0.09,0.03,0.02
Poprad,49.06144,20.29798,SK,57431,723846,Poprad,0.01,0.0,0.01,0.05,0.07,0.06,0.11,0.06,0.08,0.07,0.04,0.01
Michalovce,48.75434,21.9195,SK,40360,724144,Michalovce,0.02,0.0,0.02,0.04,0.07,0.05,0.08,0.04,0.1,0.13,0.04,0.02
Košice,48.71395,21.25808,SK,228249,724443,Košice,0.02,0.0,0.02,0.04,0.05,0.04,0.09,0.04,0.11,0.1,0.03,0.01
Kežmarok,49.13571,20.43352,SK,16381,724503,Kežmarok,0.02,0.0,0.02,0.04,0.1,0.07,0.13,0.05,0.08,0.05,0.04,0.02
Humenné,48.93707,21.91625,SK,35367,724627,Humenné,0.02,0.0,0.02,0.04,0.07,0.05,0.08,0.04,0.1,0.13,0.04,0.02
Bardejov,49.29175,21.27271,SK,33060,725168,Bardejov,0.01,0.0,0.02,0.03,0.05,0.06,0.07,0.05,0.1,0.09,0.03,0.02
Zvolen,48.57442,19.15324,SK,44502,3056459,Zvolen,0.01,0.0,0.0,0.03,0.06,0.06,0.14,0.03,0.03,0.11,0.06,0.02
Zlaté Moravce,48.38553,18.40063,SK,15618,3056495,Zlaté Moravce,0.03,0.0,0.0,0.04,0.06,0.06,0.12,0.03,0.02,0.11,0.04,0.02
Žilina,49.22315,18.73941,SK,81940,3056508,Žilina,0.04,0.0,0.01,0.05,0.11,0.07,0.1,0.05,0.05,0.12,0.05,0.04
Žiar nad Hronom,48.59184,18.84958,SK,19392,3056523,Žiar nad Hronom,0.02,0.0,0.0,0.03,0.07,0.05,0.14,0.03,0.03,0.11,0.05,0.02
Trnava,48.37741,17.58723,SK,63194,3057124,Trnava,0.03,0.0,0.0,0.04,0.06,0.06,0.11,0.03,0.04,0.08,0.04,0.04
Trenčín,48.89452,18.04436,SK,58278,3057140,Trenčín,0.03,0.0,0.01,0.05,0.11,0.07,0.11,0.05,0.04,0.1,0.05,0.04
Stupava,48.27474,17.03173,SK,15095,3057384,Stupava,0.03,0.0,0.01,0.03,0.04,0.07,0.1,0.03,0.04,0.07,0.04,0.03
Staré Mesto,48.15039,17.09002,SK,46080,3057478,Staré Mesto,0.03,0.0,0.01,0.03,0.04,0.07,0.1,0.03,0.04,0.07,0.04,0.03
Skalica,48.8449,17.22635,SK,15013,3057630,Skalica,0.03,0.0,0.01,0.04,0.09,0.05,0.09,0.04,0.04,0.07,0.04,0.04
Senica,48.67922,17.36697,SK,21741,3057691,Senica,0.03,0.0,0.01,0.04,0.09,0.05,0.09,0.04,0.04,0.07,0.04,0.04
Šaľa,48.15127,17.88062,SK,24513,3057769,Šaľa,0.03,0.0,0.0,0.04,0.05,0.05,0.11,0.03,0.02,0.11,0.04,0.02
