name,latitude,longitude,country,population,id
Yüksekova,37.57362,44.28716,TR,71729,296173
Yozgat,39.82,34.80444,TR,87881,296562
Yeşilli,37.33813,40.81739,TR,32072,296832
Erzin,36.95348,36.19839,TR,26316,296852
Yerköy,39.63806,34.46722,TR,35294,296895
Didim,37.38496,27.25643,TR,26000,297090
Yatağan,37.34025,28.14279,TR,19020,297564
Yalvaç,38.29556,31.17778,TR,39145,297789
Yahyalı,38.10228,35.35704,TR,25019,297917
Viranşehir,37.22349,39.75519,TR,154163,298033
Varto,39.17375,41.45402,TR,18691,298088
Van,38.49457,43.38323,TR,371713,298117
Cimin,39.70947,39.70015,TR,39591,298230
Uşak,38.67351,29.4058,TR,152862,298299
Urla,38.32292,26.76403,TR,45199,298316
Ürgüp,38.6296,34.91199,TR,16642,298326
Şanlıurfa,37.16708,38.79392,TR,449549,298333
Turgutlu,38.49533,27.6997,TR,103292,298806
Tunceli,39.09921,39.54351,TR,29062,298846
Torbalı,38.1519,27.36223,TR,50303,298935
Tire,38.08877,27.73508,TR,47220,299137
Tekirova,36.5017,30.52723,TR,20000,299445
Tavşanlı,39.54237,29.49866,TR,52182,299545
Tatvan,38.49221,42.28269,TR,73222,299582
Tarsus,36.91766,34.89277,TR,256482,299817
Talas,38.6908,35.5538,TR,36890,299900
Susurluk,39.91361,28.15778,TR,24816,300058
Suruç,36.97612,38.42533,TR,46694,300075
Sorgun,39.81012,35.18596,TR,62862,300352
Soma,39.18554,27.60945,TR,65934,300371
Solhan,38.96525,41.05443,TR,15303,300377
Söke,37.7482,27.40614,TR,68230,300399
Siverek,37.75503,39.31667,TR,175341,300614
Sivas,39.74833,37.01611,TR,264022,300619
Şırnak,37.51393,42.45432,TR,52743,300640
Simav,39.0882,28.97767,TR,34909,300791
Silvan,38.13708,41.00817,TR,65956,300796
Silopi,37.24379,42.46345,TR,74798,300797
Silifke,36.37778,33.93444,TR,75315,300808
Siirt,37.9293,41.94134,TR,114034,300822
Seydişehir,37.41926,31.84527,TR,51089,301010
Serinyol,36.36139,36.21361,TR,16753,301089
Serik,36.91694,31.09889,TR,36925,301101
Şereflikoçhisar,38.93925,33.5386,TR,44101,301116
Senirkent,38.10444,30.54861,TR,15919,301172
Şemdinli,37.30514,44.5742,TR,18978,301209
Selçuk,37.95137,27.36849,TR,29101,301256
Seferihisar,38.1975,26.83881,TR,19596,301350
Şarkışla,39.35186,36.40976,TR,23800,301537
Şarkîkaraağaç,38.07944,31.36639,TR,32771,301539
Sarayköy,37.92448,28.92516,TR,18937,301827
Sandıklı,38.46472,30.26946,TR,42981,301911
Salihli,38.48258,28.14774,TR,88906,302043
Reyhanlı,36.26791,36.56747,TR,56995,302355
Polatlı,39.57715,32.14132,TR,93262,302525
Pazarcık,37.48685,37.29961,TR,23850,302800
Patnos,39.22493,42.85693,TR,87451,302819
Pasinler,39.97975,41.66997,TR,24553,302824
Osmaniye,37.07417,36.24778,TR,202837,303195
Ortaköy,38.73728,34.03866,TR,31144,303290
Ortaca,36.83915,28.76457,TR,19741,303354
Ödemiş,38.2278,27.96955,TR,67153,303700
Nusaybin,37.07028,41.21465,TR,88977,303750
Nizip,37.00972,37.79417,TR,82308,303798
Niğde,37.96583,34.67935,TR,91039,303827
Nevşehir,38.625,34.71222,TR,75527,303831
Nazilli,37.91631,28.32225,TR,119370,303873
Mut,36.64389,33.43885,TR,49397,304013
Muş,38.73163,41.48482,TR,82536,304081
Muğla,37.21807,28.3665,TR,48183,304184
Mucur,39.06147,34.38286,TR,16522,304196
Milas,37.31639,27.78389,TR,43193,304355
Midyat,37.41908,41.33909,TR,76268,304382
Mersin,36.81196,34.63886,TR,537842,304531
Menemen,38.60754,27.06938,TR,53489,304612
Marmaris,36.855,28.27417,TR,33731,304782
Mardin,37.31309,40.74357,TR,71373,304797
Manisa,38.61202,27.42647,TR,243971,304827
Manavgat,36.78667,31.44306,TR,99254,304854
Malazgirt,39.1465,42.53536,TR,26108,304916
Malatya,38.35018,38.31667,TR,441805,304922
Mahmutlar,36.49463,32.09085,TR,24227,304964
Lice,38.45821,40.63888,TR,16336,305089
Kütahya,39.42417,29.98333,TR,185008,305268
Kuşadası,37.86014,27.25713,TR,63177,305359
Kurtalan,37.92533,41.68493,TR,32114,305532
Beykonak,36.32573,30.30302,TR,30339,305680
Kulu,39.09513,33.07989,TR,47037,305742
Kulp,38.49754,41.00668,TR,26569,305750
Kula,38.54726,28.64976,TR,31100,305810
Kozluk,38.19118,41.47775,TR,29502,306041
Kozan,37.45517,35.81573,TR,88115,306112
Kovancılar,38.71882,39.86268,TR,22976,306207
Korkuteli,37.06498,30.19565,TR,20465,306474
Konya,37.87135,32.48464,TR,1390051,306571
Kızıltepe,37.18836,40.57723,TR,150174,307084
Serinhisar,37.58105,29.26639,TR,17169,307211
Kırşehir,39.14583,34.16389,TR,94336,307515
Kırkağaç,39.10638,27.66925,TR,27053,307623
Kırıkkale,39.84528,33.50639,TR,211138,307654
Kırıkhan,36.49939,36.35755,TR,60916,307657
Kilis,36.71611,37.115,TR,82301,307864
Keskin,39.67306,33.61361,TR,49679,308024
Kemer,36.59778,30.56056,TR,17300,308220
Kemalpaşa,38.42621,27.41731,TR,30411,308224
Kayseri,38.73222,35.48528,TR,1204641,308464
Karapınar,37.71596,33.55064,TR,49509,309415
Karaman,37.18111,33.215,TR,120399,309527
Ağrı,39.71467,43.04015,TR,92022,309647
Karakoçan,38.95178,40.02706,TR,29735,309663
Karaçoban,39.34364,42.09918,TR,20467,310004
Kaman,39.3575,33.72389,TR,28605,310641
Kâhta,37.78552,38.6237,TR,73105,310855
Kahramanmaraş,37.5847,36.92641,TR,376045,310859
Kadirli,37.37389,36.09611,TR,70248,310892
Kadınhanı,38.23972,32.21139,TR,15301,310907
İzmir,38.41273,27.13838,TR,2500603,311046
Isparta,37.76444,30.55222,TR,172334,311073
İskenderun,36.58718,36.17347,TR,159965,311111
İncirliova,37.85222,27.72361,TR,18572,311314
İmamoğlu,37.26506,35.65717,TR,31916,311453
Ilgın,38.27917,31.91389,TR,27423,311553
Iğdır,39.92371,44.045,TR,75721,311665
İdil,37.33481,41.88944,TR,22960,311704
Hizan,38.22498,42.4183,TR,15302,312024
Hınıs,39.35766,41.69253,TR,35472,312114
Hilvan,37.58687,38.95505,TR,16990,312134
Hadim,36.98776,32.45674,TR,20110,312899
Hacılar,38.64631,35.44937,TR,21167,313013
Güroymak,38.5758,42.01558,TR,25826,313331
Gölbaşı,37.78361,37.63667,TR,28078,314136
Göksun,38.02096,36.4973,TR,34243,314188
Genç,38.74773,40.55343,TR,22493,314648
Gemerek,39.18342,36.07189,TR,16916,314665
Gediz,38.99389,29.39131,TR,22058,314716
Gazipaşa,36.26942,32.31792,TR,18371,314812
Gaziantep,37.05944,37.3825,TR,1808948,314830
Foça,38.6703,26.75656,TR,15189,314903
Fethiye,36.64038,29.12758,TR,60437,314967
Ezine,39.78561,26.34083,TR,15677,315061
Eskişehir,39.77667,30.52056,TR,514869,315202
Erzurum,39.90861,41.27694,TR,420691,315368
