name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Yüksekova,37.57362,44.28716,TR,71729,296173,Yüksekova,0.0,0.0,0.07,0.19,0.05,0.01,0.0,0.0,0.0,0.12,0.18,0.05
Yozgat,39.82,34.80444,TR,87881,296562,Yozgat,0.04,0.03,0.02,0.14,0.08,0.01,0.0,0.0,0.05,0.06,0.01,0.07
Yeşilli,37.33813,40.81739,TR,32072,296832,Yeşilli,0.08,0.16,0.13,0.06,0.01,0.0,0.0,0.0,0.0,0.03,0.1,0.1
Erzin,36.95348,36.19839,TR,26316,296852,Erzin,0.1,0.2,0.16,0.09,0.14,0.01,0.0,0.0,0.05,0.05,0.06,0.17
Yerköy,39.63806,34.46722,TR,35294,296895,Yerköy,0.04,0.02,0.02,0.09,0.02,0.01,0.0,0.0,0.05,0.04,0.03,0.07
Didim,37.38496,27.25643,TR,26000,297090,Didim,0.18,0.26,0.09,0.1,0.04,0.0,0.0,0.0,0.0,0.17,0.07,0.25
Yatağan,37.34025,28.14279,TR,19020,297564,Yatağan,0.29,0.28,0.13,0.1,0.06,0.02,0.0,0.0,0.0,0.1,0.03,0.24
Yalvaç,38.29556,31.17778,TR,39145,297789,Yalvaç,0.03,0.03,0.04,0.11,0.05,0.01,0.0,0.01,0.03,0.04,0.01,0.04
Yahyalı,38.10228,35.35704,TR,25019,297917,Yahyalı,0.02,0.01,0.01,0.1,0.04,0.01,0.0,0.0,0.03,0.04,0.02,0.03
Viranşehir,37.22349,39.75519,TR,154163,298033,Viranşehir,0.08,0.16,0.12,0.05,0.01,0.01,0.0,0.0,0.0,0.05,0.05,0.09
Varto,39.17375,41.45402,TR,18691,298088,Varto,0.01,0.01,0.03,0.16,0.09,0.03,0.01,0.0,0.03,0.11,0.09,0.03
Van,38.49457,43.38323,TR,371713,298117,Van,0.01,0.0,0.05,0.06,0.02,0.02,0.0,0.0,0.01,0.05,0.07,0.02
Cimin,39.70947,39.70015,TR,39591,298230,Cimin,0.0,0.0,0.0,0.09,0.07,0.03,0.03,0.0,0.04,0.04,0.02,0.0
Uşak,38.67351,29.4058,TR,152862,298299,Uşak,0.09,0.07,0.04,0.12,0.04,0.02,0.0,0.0,0.0,0.07,0.0,0.09
Urla,38.32292,26.76403,TR,45199,298316,Urla,0.11,0.21,0.04,0.13,0.01,0.0,0.0,0.0,0.01,0.14,0.06,0.18
Ürgüp,38.6296,34.91199,TR,16642,298326,Ürgüp,0.04,0.02,0.02,0.11,0.04,0.0,0.0,0.0,0.03,0.04,0.01,0.03
Şanlıurfa,37.16708,38.79392,TR,449549,298333,Şanlıurfa,0.11,0.15,0.16,0.11,0.02,0.01,0.0,0.0,0.0,0.04,0.08,0.11
Turgutlu,38.49533,27.6997,TR,103292,298806,Turgutlu,0.08,0.15,0.04,0.1,0.03,0.0,0.0,0.0,0.0,0.11,0.05,0.04
Tunceli,39.09921,39.54351,TR,29062,298846,Tunceli,0.03,0.04,0.12,0.17,0.03,0.02,0.0,0.0,0.01,0.06,0.08,0.07
