name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Lebedyn,50.58518,34.4849,UA,24238,613273,Lebedyn,0.0,0.02,0.04,0.06,0.07,0.06,0.16,0.04,0.09,0.02,0.03,0.03
Druzhkivka,48.61897,37.52704,UA,62315,616743,Druzhkivka,0.0,0.01,0.06,0.05,0.04,0.12,0.1,0.07,0.1,0.01,0.0,0.04
Zvenihorodka,49.07765,30.96074,UA,16490,686803,Zvenihorodka,0.0,0.02,0.04,0.05,0.08,0.08,0.14,0.05,0.13,0.0,0.05,0.02
Zuhres,48.0114,38.26444,UA,17924,686818,Zuhres,0.0,0.01,0.07,0.03,0.05,0.11,0.08,0.07,0.09,0.01,0.0,0.03
Zolotonosha,49.66926,32.03637,UA,27818,686875,Zolotonosha,0.0,0.03,0.03,0.07,0.08,0.11,0.15,0.04,0.13,0.0,0.05,0.03
Zolochiv,49.80755,24.90056,UA,22608,686896,Zolochiv,0.01,0.02,0.1,0.06,0.08,0.09,0.21,0.04,0.09,0.01,0.03,0.04
Znamyanka,48.72066,32.65822,UA,22444,686919,Znamyanka,0.0,0.02,0.03,0.05,0.06,0.12,0.13,0.04,0.17,0.01,0.03,0.04
Zhytomyr,50.26487,28.67669,UA,261624,686967,Zhytomyr,0.0,0.01,0.04,0.07,0.07,0.07,0.19,0.04,0.15,0.0,0.04,0.04
Zhmerynka,49.03523,28.11405,UA,34498,687116,Zhmerynka,0.0,0.02,0.07,0.07,0.09,0.09,0.21,0.04,0.1,0.0,0.04,0.04
Zhovti Vody,48.34518,33.49743,UA,42901,687196,Zhovti Vody,0.0,0.01,0.03,0.05,0.06,0.09,0.11,0.03,0.18,0.02,0.02,0.04
Zdolbuniv,50.5206,26.24251,UA,24642,687432,Zdolbuniv,0.01,0.02,0.09,0.06,0.06,0.12,0.27,0.04,0.09,0.01,0.04,0.05
Zaporizhzhya,47.85167,35.11714,UA,710052,687700,Zaporizhzhya,0.01,0.01,0.06,0.03,0.04,0.07,0.07,0.04,0.13,0.01,0.0,0.03
Yuzhne,46.62472,31.10182,UA,32745,687997,Yuzhne,0.0,0.02,0.03,0.05,0.03,0.05,0.01,0.08,0.23,0.01,0.05,0.02
Yevpatoriya,45.20091,33.36655,UA,106202,688105,Yevpatoriya,0.03,0.05,0.05,0.03,0.02,0.09,0.03,0.03,0.05,0.03,0.01,0.02
Yenakiieve,48.23331,38.21137,UA,77053,688148,Yenakiieve,0.0,0.01,0.07,0.04,0.04,0.14,0.1,0.07,0.11,0.01,0.0,0.03
Yasynuvata,48.1298,37.8594,UA,37600,688373,Yasynuvata,0.0,0.01,0.06,0.04,0.05,0.12,0.11,0.06,0.11,0.01,0.0,0.03
Yalta,44.50218,34.16624,UA,77003,688533,Yalta,0.04,0.04,0.04,0.03,0.05,0.15,0.0,0.04,0.03,0.0,0.02,0.03
Yahotyn,50.27975,31.76246,UA,19270,688587,Yahotyn,0.0,0.02,0.05,0.07,0.08,0.1,0.19,0.03,0.17,0.0,0.07,0.03
Vyshhorod,50.58476,30.4898,UA,22080,688723,Vyshhorod,0.0,0.02,0.04,0.06,0.11,0.07,0.17,0.03,0.17,0.0,0.06,0.04
Vynohradiv,48.14126,23.03623,UA,25442,688746,Vynohradiv,0.01,0.03,0.12,0.06,0.08,0.05,0.21,0.01,0.11,0.01,0.09,0.15
Voznesensk,47.56218,31.33602,UA,33442,688860,Voznesensk,0.0,0.02,0.04,0.04,0.08,0.07,0.06,0.07,0.2,0.01,0.07,0.03
Volochysk,49.53606,26.20681,UA,18474,689159,Volochysk,0.0,0.02,0.09,0.07,0.08,0.09,0.28,0.02,0.08,0.0,0.02,0.04
Volnovakha,47.60103,37.49674,UA,21166,689198,Volnovakha,0.0,0.01,0.07,0.04,0.08,0.09,0.05,0.08,0.09,0.01,0.0,0.03
Vilnohirsk,48.48416,34.01708,UA,22458,689200,Vilnohirsk,0.0,0.01,0.04,0.05,0.08,0.08,0.14,0.03,0.19,0.02,0.02,0.04
Vovchansk,50.29078,36.94108,UA,19486,689304,Vovchansk,0.0,0.01,0.03,0.08,0.05,0.13,0.15,0.02,0.07,0.02,0.0,0.05
Volodymyr-Volynskyi,50.85253,24.32364,UA,37910,689378,Volodymyr-Volynskyi,0.01,0.03,0.07,0.07,0.09,0.06,0.22,0.02,0.07,0.02,0.05,0.05
Vyshneve,50.38913,30.3705,UA,42480,689487,Vyshneve,0.0,0.02,0.04,0.07,0.11,0.07,0.17,0.03,0.17,0.0,0.05,0.04
Vinnytsya,49.2322,28.46871,UA,369839,689558,Vinnytsya,0.0,0.02,0.07,0.09,0.11,0.09,0.18,0.04,0.12,0.0,0.05,0.04
Vilnyansk,47.94768,35.44034,UA,15044,689584,Vilnyansk,0.01,0.01,0.05,0.04,0.06,0.07,0.08,0.05,0.13,0.01,0.0,0.04
Verkhnodniprovsk,48.65557,34.3262,UA,16176,689916,Verkhnodniprovsk,0.0,0.01,0.03,0.05,0.09,0.09,0.14,0.02,0.18,0.02,0.02,0.04
Vatutine,49.01198,31.04659,UA,16096,690312,Vatutine,0.0,0.02,0.04,0.05,0.08,0.08,0.14,0.05,0.13,0.0,0.05,0.02
Vasylkiv,50.18693,30.31346,UA,37310,690412,Vasylkiv,0.0,0.02,0.04,0.07,0.11,0.07,0.15,0.04,0.19,0.0,0.05,0.03
Uzhgorod,48.6242,22.2947,UA,115449,690548,Uzhgorod,0.01,0.02,0.1,0.07,0.06,0.04,0.14,0.01,0.09,0.01,0.08,0.11
Uman,48.7501,30.21944,UA,100135,690688,Uman,0.0,0.02,0.04,0.05,0.08,0.09,0.14,0.05,0.16,0.0,0.06,0.02
Tulchyn,48.67397,28.86848,UA,15011,691016,Tulchyn,0.0,0.02,0.06,0.09,0.07,0.07,0.17,0.04,0.12,0.01,0.06,0.03
Oleshky,46.62553,32.72426,UA,24639,691037,Oleshky,0.01,0.01,0.04,0.05,0.05,0.06,0.02,0.04,0.18,0.01,0.02,0.03
Truskavets,49.27832,23.50998,UA,28474,691179,Truskavets,0.0,0.02,0.07,0.06,0.11,0.12,0.19,0.07,0.12,0.01,0.03,0.05
Chystyakove,48.03876,38.59685,UA,53725,691374,Chystyakove,0.0,0.01,0.07,0.04,0.04,0.11,0.07,0.07,0.08,0.01,0.0,0.03
