name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Nukus,42.45306,59.61028,UZ,332500,601294,Nukus,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.01
Qŭnghirot,43.04333,58.83944,UZ,80090,601323,Qŭnghirot,0.0,0.0,0.01,0.01,0.01,0.03,0.0,0.0,0.0,0.01,0.0,0.01
Xo‘jayli Shahri,42.40881,59.44544,UZ,50000,601339,Xo‘jayli Shahri,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.01
Oltinko‘l,43.06874,58.90372,UZ,59122,601417,Oltinko‘l,0.0,0.0,0.01,0.01,0.01,0.03,0.0,0.0,0.0,0.01,0.0,0.01
Zomin Shaharchasi,39.96056,68.39583,UZ,27077,1215694,Zomin Shaharchasi,0.03,0.03,0.09,0.08,0.03,0.04,0.01,0.0,0.03,0.08,0.09,0.07
Urgut Shahri,39.41902,67.26118,UZ,47373,1215839,Urgut Shahri,0.03,0.02,0.06,0.07,0.02,0.02,0.01,0.0,0.02,0.04,0.04,0.06
Tirmiz,37.22417,67.27833,UZ,182800,1215957,Tirmiz,0.03,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03
Sho‘rchi,37.99944,67.7875,UZ,25000,1216115,Sho‘rchi,0.02,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01
Shahrisabz,39.05778,66.83417,UZ,140500,1216187,Shahrisabz,0.04,0.04,0.05,0.04,0.0,0.01,0.0,0.0,0.0,0.03,0.06,0.09
Samarkand,39.65417,66.95972,UZ,513572,1216265,Samarkand,0.05,0.02,0.05,0.07,0.02,0.02,0.0,0.0,0.01,0.05,0.05,0.06
Qarshi,38.86056,65.78905,UZ,278300,1216311,Qarshi,0.03,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04
