name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zvečan,42.9075,20.84028,XK,17000,783770,Zvečan,0.02,0.07,0.09,0.04,0.11,0.14,0.16,0.05,0.01,0.02,0.06,0.04
Vushtrri,42.82306,20.9675,XK,30651,784097,Vushtrri,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Vitina,42.32139,21.35833,XK,46959,784372,Vitina,0.04,0.1,0.09,0.03,0.05,0.09,0.06,0.04,0.0,0.02,0.08,0.04
Ferizaj,42.37056,21.15528,XK,59504,784759,Ferizaj,0.04,0.1,0.09,0.03,0.05,0.09,0.06,0.04,0.0,0.02,0.08,0.04
Suva Reka,42.35861,20.825,XK,72229,785238,Suva Reka,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Shtime,42.43306,21.03972,XK,35000,785485,Shtime,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Prizren,42.21389,20.73972,XK,171464,786712,Prizren,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Pristina,42.67272,21.16688,XK,550000,786714,Pristina,0.01,0.04,0.11,0.04,0.08,0.17,0.24,0.06,0.04,0.03,0.05,0.04
Podujeva,42.91056,21.19306,XK,35000,786950,Podujeva,0.02,0.03,0.12,0.04,0.09,0.16,0.26,0.07,0.04,0.03,0.06,0.04
Peć,42.65913,20.28828,XK,48962,787157,Peć,0.04,0.13,0.18,0.04,0.13,0.16,0.16,0.08,0.02,0.04,0.11,0.06
Orahovac,42.39944,20.65472,XK,22049,787456,Orahovac,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Llazicë,42.55528,20.76333,XK,19863,788470,Llazicë,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Leposaviq,43.10389,20.80278,XK,19000,788731,Leposaviq,0.02,0.07,0.09,0.04,0.11,0.14,0.16,0.05,0.01,0.02,0.06,0.04
Mitrovicë,42.88333,20.86667,XK,107045,789225,Mitrovicë,0.02,0.07,0.09,0.04,0.11,0.14,0.16,0.05,0.01,0.02,0.06,0.04
Kosovo Polje,42.66394,21.09611,XK,16154,789228,Kosovo Polje,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Istok,42.78083,20.4875,XK,40000,789996,Istok,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Gjilan,42.46045,21.46986,XK,51912,790674,Gjilan,0.02,0.04,0.12,0.05,0.06,0.13,0.15,0.05,0.02,0.02,0.05,0.04
Glogovac,42.62833,20.89389,XK,58579,790701,Glogovac,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
Dragash,42.0265,20.65333,XK,35000,791122,Dragash,0.02,0.07,0.11,0.06,0.19,0.23,0.19,0.14,0.02,0.05,0.08,0.03
Deçan,42.54018,20.28793,XK,50500,791580,Deçan,0.07,0.15,0.19,0.05,0.11,0.17,0.05,0.08,0.01,0.04,0.12,0.06
Gjakovë,42.38028,20.43083,XK,94158,791646,Gjakovë,0.04,0.09,0.1,0.03,0.1,0.14,0.09,0.06,0.01,0.02,0.08,0.04
