name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Sarandë,39.87534,20.00477,AL,15147,363243,Sarandë,11.93,7.79,11.22,13.96,21.03,26.14,27.11,27.96,23.1,19.24,16.01,11.33
Pogradec,40.9025,20.6525,AL,61530,781988,Pogradec,2.91,-1.67,4.84,8.38,18.56,22.39,23.51,24.7,17.26,12.35,9.07,2.7
Kukës,42.07694,20.42194,AL,17832,782661,Kukës,2.33,-1.55,5.12,9.33,19.89,23.43,23.87,25.3,17.42,12.35,9.55,2.58
Korçë,40.61861,20.78083,AL,58259,782756,Korçë,1.96,-2.56,3.84,7.3,17.56,21.4,22.67,23.65,16.1,11.53,7.7,1.72
Gjirokastër,40.07583,20.13889,AL,23437,783148,Gjirokastër,8.89,4.48,8.67,11.95,19.65,24.22,25.32,26.01,20.18,16.53,13.45,8.74
Elbasan,41.1125,20.08222,AL,100903,783263,Elbasan,6.55,2.34,7.47,11.32,20.12,24.6,25.44,26.53,19.55,14.97,11.91,6.13
Burrel,41.61028,20.00889,AL,15405,783493,Burrel,4.39,-0.53,6.18,10.12,19.55,23.8,24.62,25.98,18.53,13.75,10.79,4.2
Vlorë,40.4686,19.48318,AL,89546,3183719,Vlorë,10.03,5.99,9.93,13.73,21.77,26.95,27.96,28.62,21.98,17.96,14.7,9.65
Tirana,41.3275,19.81889,AL,418495,3183875,Tirana,8.24,4.26,8.98,12.46,19.98,24.67,25.54,26.81,20.44,16.14,13.54,7.94
Shkodër,42.06828,19.51258,AL,88245,3184081,Shkodër,6.2,2.73,8.53,12.43,22.0,26.28,26.59,28.23,20.22,15.33,12.18,6.2
Patos Fshat,40.64278,19.65083,AL,22679,3184517,Patos Fshat,8.15,3.92,8.29,12.35,20.44,25.55,26.46,27.27,20.37,16.45,13.17,7.63
Patos,40.68333,19.61944,AL,16000,3184518,Patos,8.54,4.38,8.66,12.58,20.57,25.75,26.6,27.34,20.64,16.72,13.51,8.03
Lushnjë,40.94194,19.705,AL,41469,3184862,Lushnjë,8.31,4.23,8.83,12.71,20.87,26.15,26.82,27.79,20.9,16.58,13.35,7.69
Lezhë,41.78361,19.64361,AL,18695,3184935,Lezhë,8.54,4.64,10.33,13.92,22.54,27.08,27.38,28.82,21.23,16.59,13.86,8.06
Laç,41.63556,19.71306,AL,24825,3185012,Laç,8.39,4.5,10.18,13.77,22.39,26.93,27.23,28.67,21.07,16.44,13.71,7.91
Krujë,41.50917,19.79278,AL,21286,3185082,Krujë,4.54,-0.38,5.2,9.1,17.6,21.89,22.57,23.99,17.17,12.9,10.26,4.28
Kavajë,41.18556,19.55694,AL,29354,3185211,Kavajë,9.41,5.56,9.81,13.0,20.14,25.06,25.97,26.8,20.98,17.04,14.41,9.12
Fier-Çifçi,40.71667,19.56667,AL,60995,3185670,Fier-Çifçi,8.9,4.73,9.01,12.93,20.92,26.1,26.95,27.69,20.99,17.07,13.86,8.37
Fier,40.72389,19.55611,AL,56297,3185672,Fier,8.84,4.68,8.96,12.88,20.87,26.05,26.9,27.64,20.94,17.02,13.81,8.33
Durrës,41.32355,19.45469,AL,122034,3185728,Durrës,10.46,6.62,10.75,13.58,20.08,24.81,25.8,26.57,21.49,17.74,15.54,10.5
Berat,40.70583,19.95222,AL,46866,3186084,Berat,7.47,3.21,8.02,12.0,20.52,25.46,26.21,27.21,20.17,15.9,12.59,6.89
