name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Kapan,39.20755,46.40576,AM,33160,174875,Kapan,-2.9,-0.8,2.98,11.05,15.75,19.76,24.29,20.75,15.98,10.54,7.96,4.1
Goris,39.51111,46.34168,AM,20379,174895,Goris,-6.55,-4.24,-0.23,7.43,12.72,16.53,20.77,17.65,13.21,7.71,4.99,1.24
Hats’avan,39.46405,45.97047,AM,15208,174972,Hats’avan,-7.83,-4.78,-0.78,5.8,12.29,16.12,19.49,16.74,14.42,8.42,3.36,0.59
Artashat,39.96144,44.54447,AM,20562,174979,Artashat,-5.63,-1.38,4.11,10.1,16.06,21.59,26.91,24.1,19.27,12.52,7.17,2.79
Ararat,39.83069,44.70569,AM,28832,174991,Ararat,-4.46,-1.03,4.84,11.29,17.27,22.7,27.73,24.83,20.36,13.66,8.5,3.66
Yerevan,40.18111,44.51361,AM,1093485,616052,Yerevan,-6.41,-2.87,2.3,8.47,14.53,19.93,25.35,22.37,17.42,10.7,5.64,1.73
Vagharshapat,40.16557,44.29462,AM,46200,616062,Vagharshapat,-5.83,-2.25,3.33,9.39,15.56,21.08,26.32,23.43,18.24,11.77,6.62,2.45
Stepanavan,41.00995,44.38531,AM,23782,616194,Stepanavan,-8.15,-4.83,-1.14,6.33,12.01,15.38,19.25,16.22,12.81,7.35,4.14,0.48
Spitak,40.83221,44.26731,AM,15059,616199,Spitak,-9.22,-5.49,-1.82,5.31,11.45,14.71,18.39,15.5,12.4,7.06,3.54,0.06
Sevan,40.5473,44.94171,AM,17083,616250,Sevan,-7.04,-6.02,-2.9,3.83,9.58,12.93,16.88,14.14,11.37,6.45,3.51,0.3
Masis,40.06572,44.41913,AM,18911,616435,Masis,-5.76,-1.5,3.73,9.61,15.57,21.11,26.5,23.68,18.74,12.12,6.92,2.7
Vanadzor,40.80456,44.4939,AM,101098,616530,Vanadzor,-7.16,-4.56,-0.75,7.12,12.6,15.7,19.26,16.25,13.08,8.0,4.96,1.54
Gavar,40.35398,45.12386,AM,21680,616599,Gavar,-8.75,-6.77,-3.3,2.73,9.77,13.49,17.24,14.49,12.12,6.54,2.57,-0.75
Hrazdan,40.49748,44.7662,AM,40795,616629,Hrazdan,-7.96,-5.26,-0.91,5.46,11.76,15.97,20.43,17.55,14.1,8.01,4.01,0.53
Armavir,40.15446,44.03815,AM,25963,616631,Armavir,-5.49,-2.17,3.63,9.69,15.78,21.27,26.21,23.44,18.33,12.17,6.85,2.18
Gyumri,40.7942,43.84528,AM,148381,616635,Gyumri,-10.04,-6.27,-1.76,5.12,11.13,15.09,19.36,16.7,13.04,7.09,3.07,-0.5
Ch’arents’avan,40.40289,44.64447,AM,18500,616785,Ch’arents’avan,-8.02,-5.07,-0.36,6.24,12.39,16.83,21.45,18.54,14.79,8.37,4.2,0.63
Ashtarak,40.2991,44.36204,AM,18779,616877,Ashtarak,-7.32,-3.9,1.65,8.23,14.65,20.13,25.49,22.51,17.33,10.46,5.18,1.19
Abovyan,40.27368,44.63348,AM,35673,617026,Abovyan,-8.09,-4.84,0.33,6.86,13.02,18.15,23.39,20.42,15.97,8.95,4.09,0.28
