name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Wilten,47.25829,11.38808,AT,18142,2761164,Wilten,-3.05,-2.99,5.28,7.2,14.91,21.0,19.48,21.76,14.19,5.85,5.69,-0.49
Wiener Neustadt,47.80485,16.23196,AT,44820,2761353,Wiener Neustadt,-1.41,-2.38,5.67,8.96,16.98,21.68,21.02,23.36,15.28,7.03,6.21,0.57
Vienna,48.20849,16.37208,AT,1691468,2761369,Vienna,-1.42,-1.67,5.5,9.24,17.54,22.09,21.64,23.69,15.78,7.49,6.55,0.87
Wetzelsdorf,47.05293,15.39923,AT,15687,2761436,Wetzelsdorf,-3.67,-4.09,5.26,8.0,16.49,21.12,20.86,22.36,14.1,6.88,5.26,0.48
Wels,48.16667,14.03333,AT,16857,2761524,Wels,-1.37,-3.07,5.61,8.97,16.47,21.81,20.9,23.04,15.48,6.97,5.63,0.75
Weinzierl bei Krems,48.4,15.6,AT,24092,2761669,Weinzierl bei Krems,-1.69,-2.77,5.36,8.99,17.1,21.75,21.21,23.22,15.42,6.96,5.99,0.72
Villach,46.61028,13.85583,AT,58882,2762372,Villach,-2.29,-3.42,6.02,7.47,16.14,21.42,20.77,22.69,14.45,6.71,5.87,1.3
Telfs,47.30707,11.06817,AT,15229,2763810,Telfs,-3.21,-3.29,4.92,6.86,14.46,20.52,19.09,21.25,13.94,5.7,5.37,-0.73
Straßgang,47.03333,15.4,AT,16268,2764178,Straßgang,-3.9,-4.24,5.18,8.06,16.51,21.14,20.92,22.4,14.13,7.05,5.1,0.31
Stockerau,48.38333,16.21667,AT,16292,2764279,Stockerau,-1.58,-1.68,5.44,9.21,17.43,21.79,21.4,23.41,15.69,7.51,6.53,0.94
Steyr,48.04274,14.42127,AT,38331,2764359,Steyr,-1.7,-3.41,5.16,8.42,16.03,21.29,20.41,22.46,14.88,6.49,5.67,0.23
Simmering,48.18333,16.43333,AT,101420,2765028,Simmering,-1.17,-1.43,5.75,9.48,17.79,22.34,21.89,23.93,16.03,7.74,6.8,1.12
Sankt Pölten,48.2,15.63333,AT,21911,2766429,Sankt Pölten,-1.77,-3.27,5.13,8.64,16.71,21.4,20.79,22.81,15.07,6.68,5.84,0.58
Sankt Peter,47.05,15.46667,AT,15187,2766446,Sankt Peter,-3.95,-4.29,5.13,8.01,16.46,21.09,20.87,22.35,14.08,7.0,5.05,0.26
Sankt Peter,46.62978,14.34016,AT,20320,2766447,Sankt Peter,-2.78,-2.82,6.11,7.99,16.54,21.75,21.22,22.89,14.71,7.07,5.83,1.27
Sankt Martin,46.61667,14.28333,AT,20000,2766522,Sankt Martin,-2.83,-2.87,6.06,7.94,16.49,21.71,21.17,22.84,14.66,7.01,5.78,1.22
Salzburg,47.79941,13.04399,AT,157245,2766824,Salzburg,-2.18,-4.92,4.55,7.98,15.07,20.47,19.29,21.63,13.61,6.3,5.15,-0.21
Saalfelden am Steinernen Meer,47.42681,12.848,AT,16790,2766922,Saalfelden am Steinernen Meer,-4.1,-4.98,3.74,5.44,13.79,19.28,18.08,20.32,12.52,4.93,4.58,-0.75
Pradl,47.26539,11.4152,AT,32588,2768442,Pradl,-3.0,-2.94,5.33,7.25,14.96,21.05,19.53,21.81,14.24,5.89,5.74,-0.44
Perchtoldsdorf,48.11935,16.26607,AT,15047,2769110,Perchtoldsdorf,-1.53,-2.05,5.31,8.83,17.05,21.67,21.18,23.29,15.32,7.1,6.27,0.68
Ottakring,48.21667,16.3,AT,104627,2769359,Ottakring,-1.5,-1.92,5.32,8.91,17.2,21.68,21.19,23.23,15.4,7.26,6.41,0.84
Mödling,48.08605,16.28921,AT,20555,2771335,Mödling,-1.33,-1.85,5.51,9.03,17.25,21.87,21.38,23.49,15.52,7.3,6.47,0.88
Meidling,48.16667,16.33333,AT,97624,2771706,Meidling,-1.25,-1.67,5.57,9.16,17.45,21.93,21.44,23.48,15.66,7.51,6.66,1.08
Lustenau,47.42642,9.65851,AT,22821,2772173,Lustenau,-0.56,-2.52,5.38,8.79,15.16,22.16,20.11,22.84,15.03,7.47,5.63,1.17
Linz,48.30639,14.28611,AT,204846,2772400,Linz,-1.48,-3.14,5.54,9.01,16.61,21.87,20.91,23.15,15.68,7.06,5.81,0.86
Klosterneuburg,48.30521,16.32522,AT,15614,2773913,Klosterneuburg,-1.34,-1.58,5.56,9.26,17.49,21.88,21.4,23.43,15.72,7.63,6.67,1.05
Klagenfurt am Wörthersee,46.62472,14.30528,AT,100316,2774326,Klagenfurt am Wörthersee,-2.88,-2.92,6.01,7.89,16.44,21.66,21.12,22.79,14.61,6.97,5.73,1.17
Innsbruck,47.26266,11.39454,AT,132493,2775220,Innsbruck,-3.0,-2.94,5.33,7.25,14.96,21.05,19.53,21.81,14.24,5.89,5.74,-0.44
Innere Stadt,48.20906,16.37135,AT,16450,2775260,Innere Stadt,-1.42,-1.67,5.5,9.24,17.54,22.09,21.64,23.69,15.78,7.49,6.55,0.87
Hötting,47.26815,11.36868,AT,35043,2775479,Hötting,-3.6,-3.54,4.73,6.65,14.36,20.45,18.93,21.21,13.64,5.29,5.14,-1.04
Hohenems,47.36121,9.68694,AT,16317,2775742,Hohenems,-0.76,-2.72,5.18,8.59,14.96,21.96,19.91,22.64,14.83,7.27,5.43,0.97
Hietzing,48.18623,16.2965,AT,54265,2776421,Hietzing,-1.15,-1.57,5.67,9.26,17.55,22.03,21.54,23.58,15.76,7.61,6.76,1.18
Hernals,48.23333,16.26667,AT,57546,2776488,Hernals,-2.05,-2.47,4.77,8.36,16.65,21.13,20.64,22.68,14.86,6.71,5.86,0.28
Graz,47.06667,15.45,AT,295424,2778067,Graz,-4.0,-4.34,5.08,7.96,16.41,21.04,20.82,22.3,14.03,6.95,5.0,0.21
Floridsdorf,48.25,16.4,AT,162779,2779469,Floridsdorf,-1.36,-1.51,5.62,9.44,17.68,22.11,21.65,23.68,15.96,7.75,6.76,1.06
Feldkirch,47.23306,9.6,AT,33420,2779674,Feldkirch,-1.37,-3.56,5.55,8.57,14.87,21.42,19.59,22.08,14.53,7.16,5.3,-0.09
Eggenberg,47.07,15.39871,AT,20511,2780361,Eggenberg,-3.73,-4.14,5.21,7.95,16.45,21.07,20.81,22.31,14.04,6.83,5.2,0.43
Dornbirn,47.41427,9.74195,AT,49278,2780741,Dornbirn,-0.76,-2.72,5.18,8.59,14.96,21.96,19.91,22.64,14.83,7.27,5.43,0.97
Bregenz,47.50311,9.7471,AT,29806,2781503,Bregenz,-0.19,-2.36,5.5,9.0,15.61,22.77,20.7,23.71,15.64,7.84,5.93,1.35
Baden,48.00543,16.23264,AT,26286,2782067,Baden,-1.31,-1.96,5.56,9.03,17.17,21.89,21.39,23.62,15.49,7.18,6.29,0.68
Amstetten,48.1229,14.87206,AT,15559,2782555,Amstetten,-1.93,-3.85,5.05,8.61,16.27,21.35,20.46,22.58,14.86,6.51,5.7,-0.07
Favoriten,48.16116,16.38233,AT,201882,8063098,Favoriten,-1.72,-1.97,5.2,8.94,17.24,21.79,21.34,23.39,15.48,7.19,6.25,0.57
Donaustadt,48.2333,16.46002,AT,187007,11903636,Donaustadt,-1.4,-1.6,5.58,9.4,17.73,22.24,21.71,23.84,15.97,7.68,6.66,0.9
Jakomini,47.05441,15.44984,AT,32912,11903637,Jakomini,-3.53,-3.94,5.41,8.15,16.65,21.27,21.01,22.51,14.24,7.03,5.4,0.63
Lend,47.08256,15.41589,AT,31147,11903638,Lend,-3.63,-4.04,5.31,8.05,16.55,21.17,20.91,22.41,14.14,6.93,5.3,0.53
Geidorf,47.08393,15.444,AT,24767,11903639,Geidorf,-3.73,-4.14,5.21,7.95,16.45,21.07,20.81,22.31,14.04,6.83,5.2,0.43
Sankt Leonhard,47.06924,15.45784,AT,15853,11903640,Sankt Leonhard,-3.78,-3.62,5.06,7.93,16.52,21.1,20.85,22.4,14.16,7.21,5.39,0.51
Andritz,47.11387,15.42348,AT,19020,11903641,Andritz,-3.73,-4.14,5.21,7.95,16.45,21.07,20.81,22.31,14.04,6.83,5.2,0.43
Gries,47.06236,15.42421,AT,29363,11903642,Gries,-3.57,-3.99,5.36,8.1,16.59,21.22,20.96,22.46,14.2,6.98,5.36,0.58
