name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Xankandi,39.8177,46.7528,AZ,53100,146970,Xankandi,-4.64,-2.61,1.74,9.88,15.24,19.55,24.74,21.37,16.0,9.79,7.26,3.77
Əhmədbəyli,39.88074,48.39158,AZ,17242,147059,Əhmədbəyli,2.55,4.55,7.53,14.25,19.77,25.74,30.72,27.32,21.59,14.97,12.09,8.44
Şuşa,39.76006,46.74989,AZ,18662,147105,Şuşa,-7.22,-4.97,-0.79,6.89,12.5,16.27,21.1,17.93,13.56,7.4,4.95,1.37
Salyan,39.59621,48.98479,AZ,36555,147271,Salyan,3.11,5.0,7.47,13.49,18.93,24.47,28.88,26.37,21.27,15.25,12.6,9.16
Saatlı,39.93214,48.36892,AZ,87000,147288,Saatlı,2.51,4.51,7.48,14.2,19.71,25.68,30.66,27.27,21.55,14.92,12.04,8.39
Neftçala,39.3768,49.247,AZ,18661,147425,Neftçala,4.4,6.01,7.84,12.94,18.15,23.47,27.55,25.93,21.29,15.94,13.49,10.35
Nakhchivan,39.20889,45.41222,AZ,64754,147429,Nakhchivan,-2.44,0.04,5.11,12.25,18.31,24.27,29.38,26.14,21.09,14.29,8.21,4.2
Lerik,38.77388,48.41497,AZ,87000,147611,Lerik,-3.53,-1.58,1.88,10.37,14.96,18.83,23.21,20.25,16.13,10.72,8.51,4.0
Lankaran,38.75428,48.85062,AZ,240300,147622,Lankaran,3.73,4.32,7.14,13.06,18.07,22.23,26.2,24.48,20.07,15.47,13.42,9.95
Imishli,39.87095,48.05995,AZ,34178,147982,Imishli,2.43,4.32,7.42,14.5,20.09,26.01,31.02,27.53,21.65,14.92,11.94,8.31
Fizuli,39.60094,47.14529,AZ,26765,148106,Fizuli,-2.05,0.03,4.33,12.31,17.73,22.57,28.14,24.42,18.43,12.01,9.38,6.03
Jalilabad,39.20963,48.49186,AZ,36259,148290,Jalilabad,1.46,3.14,6.38,13.18,18.1,22.58,27.19,24.81,20.22,14.39,11.68,8.1
Pushkino,39.45833,48.545,AZ,18182,148340,Pushkino,2.16,4.1,7.13,13.79,19.0,24.42,29.06,26.28,21.17,14.82,12.13,8.57
Beylagan,39.77556,47.61861,AZ,15599,148354,Beylagan,1.66,3.59,6.8,14.22,19.78,25.65,30.89,27.25,21.04,14.32,11.3,7.91
