name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zenica,44.20169,17.90397,BA,164423,3186573,Zenica,-0.38,-2.18,5.74,9.61,18.6,22.46,22.16,24.63,16.52,10.35,8.8,2.07
Visoko,43.98889,18.17806,BA,17890,3187609,Visoko,-0.95,-3.02,5.09,8.78,17.91,21.63,21.47,23.85,15.86,9.63,8.08,1.45
Velika Kladuša,45.18497,15.80579,BA,19330,3188225,Velika Kladuša,-1.11,-2.07,6.31,9.98,18.86,22.87,22.92,24.8,15.99,10.05,8.74,2.47
Tuzla,44.53842,18.66709,BA,142486,3188582,Tuzla,-1.14,-2.98,5.72,10.06,19.08,23.18,22.16,24.39,16.34,10.17,8.1,0.9
Trebinje,42.71197,18.34362,BA,33178,3188893,Trebinje,6.84,2.98,7.99,11.27,19.43,24.01,24.79,26.24,18.91,14.24,11.85,7.09
Travnik,44.22637,17.66583,BA,31127,3188924,Travnik,-1.56,-3.99,4.17,8.51,17.5,21.41,21.02,23.54,15.32,9.15,7.79,0.91
Sarajevo,43.84864,18.35644,BA,696731,3191281,Sarajevo,-1.21,-4.09,4.16,8.09,17.35,20.94,20.91,23.11,15.24,9.09,7.6,0.92
Prijedor,44.97991,16.71401,BA,36347,3192409,Prijedor,-1.07,-1.51,6.25,10.09,18.91,23.42,22.97,25.32,16.68,10.37,8.28,2.17
Mostar,43.34333,17.80806,BA,104518,3194828,Mostar,4.33,0.82,7.27,11.23,20.21,25.54,26.09,27.78,19.06,13.06,10.31,4.84
Lukavac,44.54245,18.52618,BA,44520,3196079,Lukavac,-0.72,-2.47,6.36,10.55,19.48,23.62,22.76,25.14,16.77,10.58,8.56,1.3
Gradačac,44.87851,18.42764,BA,15659,3199744,Gradačac,-1.34,-2.15,5.96,10.67,20.18,24.32,23.19,25.01,16.84,10.52,8.04,1.82
Gračanica,44.70307,18.3101,BA,15758,3199779,Gračanica,-1.14,-2.42,5.7,10.24,19.7,23.82,22.79,24.62,16.42,10.31,8.0,1.78
Goražde,43.66795,18.97564,BA,17650,3200396,Goražde,0.75,-2.9,5.65,9.87,19.53,22.7,22.58,24.47,16.97,11.01,9.16,2.22
Doboj,44.73179,18.08698,BA,27235,3201984,Doboj,-0.88,-1.72,6.29,10.69,19.86,24.25,23.18,25.17,16.75,10.62,8.2,2.1
Cazin,44.96694,15.94306,BA,21741,3202822,Cazin,-1.64,-3.12,5.18,8.97,17.8,21.84,21.96,23.87,15.07,9.13,8.12,1.75
Bugojno,44.05722,17.45083,BA,41378,3203099,Bugojno,-0.83,-4.77,3.6,8.3,17.63,21.6,21.23,23.59,15.38,9.19,8.09,1.61
Brčko,44.86995,18.81012,BA,38968,3203521,Brčko,-1.56,-2.55,6.16,11.0,20.48,24.64,23.39,25.06,17.21,10.73,8.0,1.79
Bosanska Krupa,44.8825,16.15139,BA,15193,3203653,Bosanska Krupa,-1.07,-2.04,6.41,10.18,19.13,23.19,23.03,25.16,16.34,10.21,8.69,2.35
Bijeljina,44.75874,19.21437,BA,37692,3204186,Bijeljina,-1.35,-2.16,5.88,10.95,20.53,24.82,23.49,24.94,17.18,10.88,8.22,2.05
Bihać,44.81694,15.87083,BA,75641,3204222,Bihać,-0.93,-2.69,5.77,9.67,18.38,22.58,22.83,24.76,15.83,9.71,8.9,2.45
Banja Luka,44.77842,17.19386,BA,221106,3204541,Banja Luka,-1.35,-1.8,5.92,10.09,18.64,23.25,22.8,25.16,16.54,10.29,8.08,1.81
Konjic,43.65126,17.96082,BA,15950,3337476,Konjic,1.6,-2.71,5.42,9.78,19.52,23.35,23.45,25.43,17.54,11.28,9.77,3.53
