name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zwijndrecht,51.21979,4.32664,BE,18249,2783081,Zwijndrecht,1.94,1.69,2.74,8.27,11.46,15.64,20.06,18.76,15.14,13.02,6.86,5.74
Zwevegem,50.81268,3.33848,BE,23358,2783089,Zwevegem,2.2,1.93,2.95,8.17,10.88,15.23,19.63,18.47,15.08,13.12,7.06,5.71
Zottegem,50.86955,3.81052,BE,24434,2783175,Zottegem,1.87,1.54,2.59,8.03,10.92,15.3,19.73,18.42,14.89,12.89,6.63,5.48
Zonhoven,50.99064,5.36819,BE,19922,2783188,Zonhoven,1.81,1.14,2.36,8.52,11.75,16.15,20.5,18.78,15.04,12.92,6.21,5.35
Zolder,51.02455,5.30983,BE,17289,2783197,Zolder,1.84,1.23,2.44,8.54,11.78,16.17,20.55,18.83,15.08,12.98,6.28,5.39
Zemst,50.98318,4.46079,BE,21096,2783274,Zemst,1.88,1.54,2.62,8.42,11.47,15.84,20.27,18.85,15.13,13.1,6.59,5.62
Zele,51.06566,4.0403,BE,20236,2783293,Zele,1.91,1.76,2.77,8.23,11.31,15.52,19.97,18.73,15.1,13.07,6.91,5.73
Zedelgem,51.14236,3.1368,BE,21968,2783308,Zedelgem,2.53,2.32,3.04,7.87,10.75,14.7,19.01,18.5,15.29,13.3,7.81,6.24
Zaventem,50.88365,4.47298,BE,28188,2783310,Zaventem,1.79,1.29,2.41,8.25,11.22,15.63,20.08,18.62,14.95,12.94,6.37,5.48
Wondelgem,51.08705,3.70909,BE,23546,2783456,Wondelgem,1.97,1.89,2.82,8.17,11.2,15.37,19.87,18.71,15.13,13.07,7.05,5.78
Woluwe-Saint-Lambert,50.84389,4.42912,BE,56584,2783476,Woluwe-Saint-Lambert,1.71,1.19,2.32,8.19,11.09,15.52,20.0,18.53,14.87,12.91,6.3,5.41
Wilrijk,51.16734,4.39513,BE,41403,2783615,Wilrijk,1.83,1.55,2.62,8.19,11.4,15.6,20.02,18.67,15.04,12.9,6.68,5.58
Willebroek,51.06041,4.36019,BE,22808,2783632,Willebroek,1.88,1.61,2.67,8.33,11.45,15.73,20.13,18.79,15.12,13.05,6.71,5.65
Wevelgem,50.8,3.16667,BE,30954,2783759,Wevelgem,2.32,2.07,3.07,8.25,10.94,15.26,19.66,18.56,15.2,13.23,7.22,5.84
Wetteren,51.00526,3.88341,BE,22930,2783763,Wetteren,1.96,1.76,2.71,8.25,11.24,15.55,20.01,18.72,15.09,13.1,6.86,5.71
Westerlo,51.09049,4.91544,BE,22579,2783801,Westerlo,1.93,1.45,2.6,8.45,11.63,15.96,20.3,18.77,15.1,13.0,6.5,5.61
Wervik,50.78069,3.03854,BE,17340,2783820,Wervik,2.37,2.12,3.0,8.14,10.79,15.08,19.48,18.51,15.2,13.2,7.28,5.87
Wavre,50.71717,4.60138,BE,34305,2783941,Wavre,1.72,1.07,2.29,8.28,11.15,15.61,20.14,18.59,14.91,12.97,6.22,5.43
Watermael-Boitsfort,50.80154,4.41436,BE,25157,2783979,Watermael-Boitsfort,1.58,1.06,2.19,8.04,10.94,15.37,19.85,18.38,14.72,12.75,6.15,5.26
Waterloo,50.71469,4.3991,BE,29778,2783985,Waterloo,1.5,0.91,2.1,7.98,10.82,15.29,19.79,18.29,14.64,12.71,6.03,5.17
Waregem,50.88898,3.42756,BE,35896,2784068,Waregem,2.17,1.97,2.93,8.23,11.04,15.34,19.76,18.59,15.14,13.15,7.11,5.77
Walcourt,50.25401,4.43796,BE,17501,2784189,Walcourt,1.49,0.4,1.99,7.68,10.35,14.95,19.53,17.84,14.49,12.46,5.59,4.76
Visé,50.7376,5.69907,BE,17054,2784548,Visé,1.84,0.21,2.09,8.45,11.47,15.73,20.16,18.67,14.79,12.84,5.91,5.42
Vilvoorde,50.92814,4.42938,BE,36955,2784604,Vilvoorde,1.99,1.52,2.63,8.41,11.38,15.77,20.22,18.79,15.14,13.14,6.61,5.68
Verviers,50.58907,5.86241,BE,52824,2784821,Verviers,1.17,-0.54,1.36,7.79,10.8,15.06,19.47,18.01,14.11,12.16,5.22,4.79
Uccle,50.80225,4.33943,BE,82929,2785123,Uccle,1.89,1.39,2.51,8.31,11.19,15.62,20.08,18.65,15.0,13.05,6.48,5.54
Turnhout,51.32254,4.94471,BE,44000,2785141,Turnhout,1.73,1.36,2.45,8.22,11.53,15.73,19.99,18.56,14.95,12.74,6.44,5.45
Tubize,50.69059,4.2009,BE,18000,2785169,Tubize,1.99,1.49,2.64,8.42,11.24,15.71,20.16,18.72,15.09,13.2,6.56,5.6
Tournai,50.60715,3.38932,BE,69554,2785341,Tournai,2.36,1.91,3.03,8.3,10.98,15.49,19.9,18.57,15.23,13.27,6.96,5.7
Torhout,51.0656,3.10085,BE,18933,2785364,Torhout,2.43,2.22,2.94,7.77,10.65,14.6,18.91,18.4,15.19,13.2,7.71,6.14
Tongeren,50.78054,5.46484,BE,29816,2785389,Tongeren,1.6,0.38,1.98,8.17,11.22,15.55,19.96,18.39,14.57,12.59,5.74,5.14
Tienen,50.80745,4.9378,BE,31743,2785470,Tienen,1.75,1.1,2.31,8.35,11.37,15.76,20.22,18.67,14.91,12.99,6.25,5.45
Tielt,50.99931,3.32707,BE,19299,2785476,Tielt,1.76,1.7,2.52,7.8,10.7,14.92,19.37,18.25,14.8,12.8,6.85,5.47
Tessenderlo,51.06513,5.08856,BE,16574,2785612,Tessenderlo,1.86,1.33,2.51,8.46,11.68,16.02,20.33,18.73,15.06,12.94,6.39,5.5
Tervuren,50.82372,4.51418,BE,20623,2785622,Tervuren,1.68,1.11,2.26,8.15,11.05,15.49,19.98,18.48,14.81,12.84,6.2,5.36
Temse,51.12794,4.21372,BE,26054,2785778,Temse,1.93,1.63,2.68,8.24,11.32,15.56,19.97,18.69,15.06,13.02,6.8,5.69
Stekene,51.2099,4.03651,BE,16989,2786087,Stekene,1.91,1.78,2.76,8.16,11.31,15.42,19.92,18.69,15.09,12.99,6.96,5.74
Stabroek,51.33189,4.37127,BE,17294,2786229,Stabroek,1.85,1.68,2.72,8.23,11.51,15.63,20.02,18.73,15.14,12.94,6.85,5.69
Soumagne,50.61385,5.74679,BE,15237,2786344,Soumagne,1.13,-0.66,1.37,7.72,10.72,14.99,19.43,17.9,14.04,12.08,5.15,4.63
