name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Yambol,42.48333,26.5,BG,63656,725578,Yambol,2.09,-1.25,3.43,8.41,18.17,22.71,23.89,25.02,17.64,12.74,7.99,2.81
Vratsa,43.21,23.5625,BG,64941,725712,Vratsa,-1.34,-6.26,3.45,8.7,17.99,21.43,21.66,23.65,15.89,10.14,6.89,0.15
Vidin,43.99159,22.88236,BG,40422,725905,Vidin,-0.76,-2.21,5.02,10.84,20.28,24.09,24.5,26.9,18.07,11.12,7.52,0.79
Velingrad,42.02754,23.99155,BG,24036,725988,Velingrad,0.01,-4.91,1.9,5.7,15.7,19.18,19.66,20.86,14.37,10.02,5.84,-0.93
Veliko Tŭrnovo,43.08124,25.62904,BG,66217,725993,Veliko Tŭrnovo,0.4,-3.31,3.41,8.81,18.76,22.21,22.89,24.67,16.44,10.98,7.23,0.8
Varna,43.21667,27.91667,BG,312770,726050,Varna,2.87,-1.88,3.51,8.09,17.08,21.91,23.25,24.1,17.4,13.27,9.17,4.28
Targovishte,43.2512,26.57215,BG,34793,726174,Targovishte,0.73,-3.86,3.04,8.46,18.33,22.31,23.07,24.51,16.21,11.22,7.41,1.36
Troyan,42.89427,24.71589,BG,21162,726320,Troyan,-0.1,-3.97,3.32,8.32,18.09,21.27,21.48,23.27,15.61,10.3,7.15,0.47
Dobrich,43.56667,27.83333,BG,79269,726418,Dobrich,0.76,-4.85,2.41,7.77,17.75,21.64,22.4,23.46,15.84,11.52,7.79,2.2
Svishtov,43.61875,25.35033,BG,30157,726534,Svishtov,-0.55,-2.49,4.12,10.32,20.52,23.8,24.35,26.04,17.63,11.42,7.73,0.69
Svilengrad,41.76667,26.2,BG,19279,726546,Svilengrad,3.85,-0.08,4.49,9.46,19.51,24.59,25.66,27.19,19.54,14.56,9.15,3.81
Stara Zagora,42.43278,25.64194,BG,143431,726848,Stara Zagora,1.61,-0.87,3.93,8.77,18.93,22.56,23.33,24.8,17.36,12.52,7.9,1.59
Dupnitsa,42.26667,23.11667,BG,34764,726872,Dupnitsa,1.29,-1.84,3.86,8.04,18.11,21.63,22.27,23.79,15.99,11.51,7.46,1.32
Sofia,42.69751,23.32415,BG,1152556,727011,Sofia,-0.67,-4.01,3.56,7.72,17.78,21.2,21.1,23.1,15.33,10.0,6.68,-0.16
Smolyan,41.57439,24.71204,BG,26167,727030,Smolyan,0.59,-5.33,1.83,5.23,15.95,19.03,19.55,20.65,14.18,10.39,6.61,0.28
Sliven,42.68583,26.32917,BG,83740,727079,Sliven,1.26,-1.77,3.17,8.21,18.24,22.1,23.2,24.57,17.02,11.9,7.26,1.73
Silistra,44.1171,27.26056,BG,29498,727221,Silistra,0.09,-4.84,2.98,9.58,20.08,23.65,24.13,25.49,16.75,11.57,8.11,1.52
Shumen,43.27064,26.92286,BG,72342,727233,Shumen,0.29,-4.42,2.39,7.77,17.65,21.86,22.69,23.94,15.68,10.89,7.08,1.2
Sevlievo,43.02583,25.11361,BG,24582,727337,Sevlievo,0.81,-2.78,4.38,9.49,19.29,22.74,23.09,25.01,17.01,11.44,7.89,1.29
